Processing bluepill_f103c8 (platform: ststm32; board: bluepill_f103c8; framework: arduino)
--------------------------------------------------------------------------------
Verbose mode can be enabled via `-v, --verbose` option
CONFIGURATION: https://docs.platformio.org/page/boards/ststm32/bluepill_f103c8.html
PLATFORM: ST STM32 (17.0.0) > BluePill F103C8
HARDWARE: STM32F103C8T6 72MHz, 20KB RAM, 64KB Flash
DEBUG: Current (stlink) External (blackmagic, cmsis-dap, jlink, stlink)
PACKAGES: 
 - framework-arduinoststm32 @ 4.20600.231001 (2.6.0) 
 - framework-cmsis @ 2.50700.210515 (5.7.0) 
 - tool-dfuutil @ 1.11.0 
 - tool-dfuutil-arduino @ 1.11.0 
 - tool-openocd @ 3.1200.0 (12.0) 
 - tool-stm32duino @ 1.0.2 
 - toolchain-gccarmnoneeabi @ 1.120301.0 (12.3.1)
LDF: Library Dependency Finder -> https://bit.ly/configure-pio-ldf
LDF Modes: Finder ~ chain, Compatibility ~ soft
Found 17 compatible libraries
Scanning dependencies...
Dependency Graph
|-- ArduinoEigen @ 0.3.0
|-- SPI @ 1.0.0
Building in release mode
Checking size .pio\build\bluepill_f103c8\firmware.elf
Advanced Memory Usage is available via "PlatformIO Home > Project Inspect"
RAM:   [=         ]   8.0% (used 1632 bytes from 20480 bytes)
Flash: [====      ]  38.3% (used 25100 bytes from 65536 bytes)
Configuring upload protocol...
AVAILABLE: blackmagic, cmsis-dap, dfu, jlink, mbed, stlink
CURRENT: upload_protocol = stlink
Uploading .pio\build\bluepill_f103c8\firmware.elf
--- Terminal on COM5 | 460800 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),Left_Error(deg),Right_Error(deg),Left_PWM,Right_PWM
0.00,0.00,0.00,-88.40,-56.84,5.00,-5.00
0.90,0.00,0.00,-88.35,-62.42,5.00,-5.00
1.61,0.00,0.00,-88.35,-56.84,5.00,-5.00
2.37,0.00,0.00,-82.81,-56.84,5.00,-5.00
3.63,0.00,0.00,-82.73,-62.56,5.00,-5.00
4.37,0.00,0.00,-82.81,-62.56,5.00,-5.00
5.24,0.00,0.00,-88.48,-62.69,5.00,-5.00
6.45,0.00,0.00,-82.95,-57.19,5.00,-5.00
7.17,0.00,0.00,-82.99,-57.19,5.00,-5.00
7.94,0.00,0.00,-82.99,-57.33,5.00,-5.00
8.72,0.00,0.00,-83.08,-63.08,5.00,-5.00
9.92,0.00,0.00,-83.21,-57.59,5.00,-5.00
10.81,0.00,0.00,-83.30,-57.72,5.00,-5.00
11.53,0.00,0.00,-88.97,-63.39,5.00,-5.00
12.72,0.00,0.00,-83.43,-63.57,5.00,-5.00
13.62,0.00,0.00,-83.61,-58.21,5.00,-5.00
14.34,0.00,0.00,-83.69,-63.87,5.00,-5.00
15.53,0.00,0.00,-89.45,-58.43,5.00,-5.00
16.37,0.00,0.00,-83.91,-64.23,5.00,-5.00
17.12,0.00,0.00,-89.71,-64.40,5.00,-5.00
18.01,0.00,0.00,-89.85,-58.95,5.00,-5.00
19.25,0.00,0.00,-90.00,-59.17,5.00,-5.00
19.96,0.00,0.00,-90.22,-59.39,5.00,-5.00
20.73,0.00,0.00,-90.31,-59.52,5.00,-5.00
21.99,0.00,0.00,-90.53,-59.79,5.00,-5.00
22.74,0.00,0.00,-96.28,-65.59,5.00,-5.00
23.62,0.00,0.00,-90.88,-65.76,5.00,-5.00
24.86,0.00,0.00,-91.14,-66.07,5.00,-5.00
25.57,0.00,0.00,-96.94,-66.25,5.00,-5.00
26.34,0.00,0.00,-91.49,-60.80,5.00,-5.00
27.56,0.00,0.00,-91.80,-61.11,5.00,-5.00
28.37,0.00,0.00,-97.60,-61.19,5.00,-5.00
29.19,0.00,0.00,-97.87,-61.50,5.00,-5.00
