Processing bluepill_f103c8 (platform: ststm32; board: bluepill_f103c8; framework: arduino)
--------------------------------------------------------------------------------
Verbose mode can be enabled via `-v, --verbose` option
CONFIGURATION: https://docs.platformio.org/page/boards/ststm32/bluepill_f103c8.html
PLATFORM: ST STM32 (17.0.0) > BluePill F103C8
HARDWARE: STM32F103C8T6 72MHz, 20KB RAM, 64KB Flash
DEBUG: Current (stlink) External (blackmagic, cmsis-dap, jlink, stlink)
PACKAGES: 
 - framework-arduinoststm32 @ 4.20600.231001 (2.6.0) 
 - framework-cmsis @ 2.50700.210515 (5.7.0) 
 - tool-dfuutil @ 1.11.0 
 - tool-dfuutil-arduino @ 1.11.0 
 - tool-openocd @ 3.1200.0 (12.0) 
 - tool-stm32duino @ 1.0.2 
 - toolchain-gccarmnoneeabi @ 1.120301.0 (12.3.1)
LDF: Library Dependency Finder -> https://bit.ly/configure-pio-ldf
LDF Modes: Finder ~ chain, Compatibility ~ soft
Found 17 compatible libraries
Scanning dependencies...
Dependency Graph
|-- ArduinoEigen @ 0.3.0
|-- SPI @ 1.0.0
Building in release mode
Compiling .pio\build\bluepill_f103c8\src\main.cpp.o
Linking .pio\build\bluepill_f103c8\firmware.elf
Checking size .pio\build\bluepill_f103c8\firmware.elf
Advanced Memory Usage is available via "PlatformIO Home > Project Inspect"
RAM:   [=         ]   8.0% (used 1632 bytes from 20480 bytes)
Flash: [====      ]  38.3% (used 25068 bytes from 65536 bytes)
Configuring upload protocol...
AVAILABLE: blackmagic, cmsis-dap, dfu, jlink, mbed, stlink
CURRENT: upload_protocol = stlink
Uploading .pio\build\bluepill_f103c8\firmware.elf
--- Terminal on COM5 | 460800 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),Left_Error(deg),Right_Error(deg),Left_PWM,Right_PWM
0.00,0.00,0.00,-21.05,95.21,0.00,0.00
0.87,0.00,0.00,-15.42,100.88,0.00,0.00
1.55,0.00,0.00,-15.42,95.21,0.00,0.00
2.44,0.00,0.00,-15.47,100.88,0.00,0.00
3.60,0.00,0.00,-15.47,95.16,0.00,0.00
4.28,0.00,0.00,-15.38,95.25,0.00,0.00
5.16,0.00,0.00,-15.42,100.83,0.00,0.00
5.84,0.00,0.00,-21.05,95.25,0.00,0.00
6.70,0.00,0.00,-15.47,100.83,0.00,0.00
7.90,0.00,0.00,-21.09,100.83,0.00,0.00
8.58,0.00,0.00,-15.34,95.25,0.00,0.00
9.45,0.00,0.00,-21.09,100.79,0.00,0.00
10.13,0.00,0.00,-21.01,95.25,0.00,0.00
11.31,0.00,0.00,-15.38,100.88,0.00,0.00
12.26,0.00,0.00,-21.05,100.83,0.00,0.00
12.94,0.00,0.00,-15.38,95.12,0.00,0.00
14.13,0.00,0.00,-15.42,95.30,0.00,0.00
14.89,0.00,0.00,-21.05,100.88,0.00,0.00
15.67,0.00,0.00,-21.01,95.34,0.00,0.00
16.54,0.00,0.00,-15.42,100.92,0.00,0.00
17.75,0.00,0.00,-21.05,95.25,0.00,0.00
18.43,0.00,0.00,-15.42,95.21,0.00,0.00
19.31,0.00,0.00,-21.09,95.25,0.00,0.00
19.99,0.00,0.00,-21.05,95.21,0.00,0.00
21.18,0.00,0.00,-15.38,95.21,0.00,0.00
22.01,0.00,0.00,-15.47,100.79,0.00,0.00
22.73,0.00,0.00,-21.01,95.25,0.00,0.00
23.66,0.00,0.00,-15.47,100.88,0.00,0.00
24.76,0.00,0.00,-15.42,95.21,0.00,0.00
25.52,0.00,0.00,-21.01,95.16,0.00,0.00
26.32,0.00,0.00,-15.42,95.25,0.00,0.00
27.07,0.00,0.00,-15.38,95.25,0.00,0.00
28.25,0.00,0.00,-21.01,95.25,0.00,0.00
29.14,0.00,0.00,-21.01,95.21,0.00,0.00
29.82,0.00,0.00,-21.05,95.25,0.00,0.00
30.67,0.00,0.00,-15.38,100.83,0.00,0.00
31.91,0.00,0.00,-21.01,95.21,0.00,0.00
32.60,0.00,0.00,-15.47,100.83,0.00,0.00
33.41,0.00,0.00,-21.05,100.83,0.00,0.00
34.14,0.00,0.00,-21.05,95.25,0.00,0.00
35.32,0.00,0.00,-21.05,100.92,0.00,0.00
36.30,0.00,0.00,-21.09,100.83,0.00,0.00
36.98,0.00,0.00,-15.42,100.88,0.00,0.00
38.17,0.00,0.00,-21.09,100.88,0.00,0.00
38.90,0.00,0.00,-21.09,100.92,0.00,0.00
39.73,0.00,0.00,-21.05,100.83,0.00,0.00
40.51,0.00,0.00,-15.42,95.30,0.00,0.00
41.76,0.00,0.00,-15.47,100.83,0.00,0.00
42.48,0.00,0.00,-15.47,100.88,0.00,0.00
43.33,0.00,0.00,-15.47,95.25,0.00,0.00
44.03,0.00,0.00,-21.05,95.30,0.00,0.00
45.21,0.00,0.00,-21.05,100.88,0.00,0.00
46.19,0.00,0.00,-21.05,95.25,0.00,0.00
46.87,0.00,0.00,-15.47,100.83,0.00,0.00
48.01,0.00,0.00,-21.05,95.25,0.00,0.00
48.82,0.00,0.00,-21.01,95.25,0.00,0.00
49.57,0.00,0.00,-21.05,95.30,0.00,0.00
50.44,0.00,0.00,-15.47,100.83,0.00,0.00
51.65,0.00,0.00,-15.42,100.83,0.00,0.00
52.34,0.00,0.00,-15.47,100.83,0.00,0.00
53.24,0.00,0.00,-15.42,95.25,0.00,0.00
53.93,0.00,0.00,-21.05,95.21,0.00,0.00
55.10,0.00,0.00,-15.34,100.83,0.00,0.00
55.99,0.00,0.00,-21.05,95.30,0.00,0.00
56.67,0.00,0.00,-21.09,100.83,0.00,0.00
57.51,0.00,0.00,-15.42,95.30,0.00,0.00
58.74,0.00,0.00,-21.01,100.92,0.00,0.00
59.43,0.00,0.00,-15.42,95.25,0.00,0.00
60.31,0.00,0.00,-21.05,95.25,0.00,0.00
60.99,0.00,0.00,-21.09,100.88,0.00,0.00
62.18,0.00,0.00,-21.05,95.16,0.00,0.00
63.12,0.00,0.00,-15.38,100.83,0.00,0.00
63.80,0.00,0.00,-15.42,100.83,0.00,0.00
64.99,0.00,0.00,-21.05,100.88,0.00,0.00
65.81,0.00,0.00,-21.05,100.83,0.00,0.00
66.55,0.00,0.00,-15.42,95.25,0.00,0.00
67.37,0.00,0.00,-15.42,95.25,0.00,0.00
68.57,0.00,0.00,-15.38,95.25,0.00,0.00
69.29,0.00,0.00,-21.05,95.25,0.00,0.00
70.18,0.00,0.00,-21.05,100.83,0.00,0.00
70.86,0.00,0.00,-15.42,100.88,0.00,0.00
72.05,0.00,0.00,-21.09,100.88,0.00,0.00
73.00,0.00,0.00,-15.47,100.88,0.00,0.00
73.68,0.00,0.00,-21.05,95.25,0.00,0.00
74.86,0.00,0.00,-21.05,100.88,0.00,0.00
75.64,0.00,0.00,-21.09,100.92,0.00,0.00
76.43,0.00,0.00,-21.09,100.83,0.00,0.00
77.20,0.00,0.00,-15.47,100.88,0.00,0.00
78.44,0.00,0.00,-15.42,100.83,0.00,0.00
79.21,0.00,0.00,-21.05,100.88,0.00,0.00
80.03,0.00,0.00,-21.01,95.25,0.00,0.00
80.76,0.00,0.00,-21.09,100.92,0.00,0.00
81.94,0.00,0.00,-15.42,95.16,0.00,0.00
82.91,0.00,0.00,-15.42,95.25,0.00,0.00
83.59,0.00,0.00,-21.09,100.83,0.00,0.00
84.71,0.00,0.00,-21.05,95.30,0.00,0.00
85.52,0.00,0.00,-21.05,95.25,0.00,0.00
86.30,0.00,0.00,-21.05,100.83,0.00,0.00
87.14,0.00,0.00,-15.42,100.79,0.00,0.00
88.38,0.00,0.00,-15.47,100.83,0.00,0.00
89.07,0.00,0.00,-15.47,100.88,0.00,0.00
89.95,0.00,0.00,-15.47,100.83,0.00,0.00
90.63,0.00,0.00,-15.34,100.83,0.00,0.00
91.82,0.00,0.00,-15.42,95.25,0.00,0.00
92.77,0.00,0.00,-21.05,100.83,0.00,0.00
93.46,0.00,0.00,-15.38,95.25,0.00,0.00
94.64,0.00,0.00,-21.05,95.30,0.00,0.00
95.38,0.00,0.00,-21.05,95.25,0.00,0.00
96.19,0.00,0.00,-21.01,95.30,0.00,0.00
96.99,0.00,0.00,-15.42,100.70,0.00,0.00
97.75,0.00,0.00,-15.38,100.88,0.00,0.00
98.94,0.00,0.00,-21.14,100.92,0.00,0.00
99.79,0.00,0.00,-15.38,95.30,0.00,0.00
100.49,0.00,0.00,-21.05,100.83,0.00,0.00
101.46,0.00,0.00,-15.42,100.83,0.00,0.00
102.62,0.00,0.00,-21.05,100.83,0.00,0.00
103.30,0.00,0.00,-15.47,95.16,0.00,0.00
104.22,0.00,0.00,-21.14,95.25,0.00,0.00
105.44,0.00,0.00,-21.05,95.25,0.00,0.00
106.12,0.00,0.00,-15.38,100.79,0.00,0.00
106.91,0.00,0.00,-15.42,100.88,0.00,0.00
108.18,0.00,0.00,-21.05,100.79,0.00,0.00
108.89,0.00,0.00,-15.42,100.74,0.00,0.00
109.80,0.00,0.00,-15.42,100.83,0.00,0.00
111.05,0.00,0.00,-15.47,95.25,0.00,0.00
111.73,0.00,0.00,-15.47,95.25,0.00,0.00
112.51,0.00,0.00,-15.34,95.25,0.00,0.00
113.30,0.00,0.00,-15.42,95.21,0.00,0.00
114.47,0.00,0.00,-15.42,100.88,0.00,0.00
115.35,0.00,0.00,-21.05,95.21,0.00,0.00
116.05,0.00,0.00,-21.05,100.83,0.00,0.00
117.25,0.00,0.00,-21.09,100.79,0.00,0.00
118.21,0.00,0.00,-15.42,95.30,0.00,0.00
118.89,0.00,0.00,-15.42,100.92,0.00,0.00
120.08,0.00,0.00,-15.42,95.25,0.00,0.00
120.94,0.00,0.00,-21.05,100.83,0.00,0.00
121.65,0.00,0.00,-15.42,95.21,0.00,0.00
122.56,0.00,0.00,-15.42,95.21,0.00,0.00
123.79,0.00,0.00,-15.42,100.83,0.00,0.00
124.48,0.00,0.00,-21.05,95.30,0.00,0.00
125.24,0.00,0.00,-15.42,95.25,0.00,0.00
126.49,0.00,0.00,-15.38,95.25,0.00,0.00
