Processing bluepill_f103c8 (platform: ststm32; board: bluepill_f103c8; framework: arduino)
--------------------------------------------------------------------------------
Verbose mode can be enabled via `-v, --verbose` option
CONFIGURATION: https://docs.platformio.org/page/boards/ststm32/bluepill_f103c8.html
PLATFORM: ST STM32 (17.0.0) > BluePill F103C8
HARDWARE: STM32F103C8T6 72MHz, 20KB RAM, 64KB Flash
DEBUG: Current (stlink) External (blackmagic, cmsis-dap, jlink, stlink)
PACKAGES: 
 - framework-arduinoststm32 @ 4.20600.231001 (2.6.0) 
 - framework-cmsis @ 2.50700.210515 (5.7.0) 
 - tool-dfuutil @ 1.11.0 
 - tool-dfuutil-arduino @ 1.11.0 
 - tool-openocd @ 3.1200.0 (12.0) 
 - tool-stm32duino @ 1.0.2 
 - toolchain-gccarmnoneeabi @ 1.120301.0 (12.3.1)
LDF: Library Dependency Finder -> https://bit.ly/configure-pio-ldf
LDF Modes: Finder ~ chain, Compatibility ~ soft
Found 17 compatible libraries
Scanning dependencies...
Dependency Graph
|-- ArduinoEigen @ 0.3.0
|-- SPI @ 1.0.0
Building in release mode
Compiling .pio\build\bluepill_f103c8\src\main.cpp.o
Linking .pio\build\bluepill_f103c8\firmware.elf
Checking size .pio\build\bluepill_f103c8\firmware.elf
Advanced Memory Usage is available via "PlatformIO Home > Project Inspect"
RAM:   [=         ]   8.0% (used 1632 bytes from 20480 bytes)
Flash: [====      ]  38.3% (used 25100 bytes from 65536 bytes)
Configuring upload protocol...
AVAILABLE: blackmagic, cmsis-dap, dfu, jlink, mbed, stlink
CURRENT: upload_protocol = stlink
Uploading .pio\build\bluepill_f103c8\firmware.elf
--- Terminal on COM5 | 460800 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),Left_Error(deg),Right_Error(deg),Left_PWM,Right_PWM
0.00,0.00,0.00,82.86,115.84,50.00,50.00
0.88,0.00,0.00,82.81,121.42,50.00,50.00
1.56,0.00,0.00,88.31,121.29,50.00,50.00
2.46,0.00,0.00,82.33,115.40,50.00,50.00
3.69,0.00,0.00,87.21,114.65,50.00,50.00
4.38,0.00,0.00,81.10,119.75,50.00,50.00
5.15,0.00,0.00,80.40,113.51,50.00,50.00
6.43,0.00,0.00,79.26,117.97,50.00,50.00
7.13,0.00,0.00,78.53,122.85,50.00,50.00
8.03,0.00,0.00,77.56,121.84,50.00,50.00
8.72,0.00,0.00,76.68,115.29,50.00,50.00
9.92,0.00,0.00,74.97,113.40,50.00,50.00
10.82,0.00,0.00,73.48,111.84,50.00,50.00
11.51,0.00,0.00,77.89,104.99,50.00,50.00
12.71,0.00,0.00,69.98,108.19,50.00,50.00
13.61,0.00,0.00,73.76,112.04,50.00,50.00
14.29,0.00,0.00,66.67,110.72,50.00,50.00
15.21,0.00,0.00,64.51,102.99,50.00,50.00
16.45,0.00,0.00,67.08,94.17,50.00,50.00
17.13,0.00,0.00,65.19,98.04,50.00,50.00
17.91,0.00,0.00,57.50,95.80,50.00,50.00
19.17,0.00,0.00,54.01,92.09,50.00,50.00
19.88,0.00,0.00,51.86,89.91,50.00,50.00
20.74,0.00,0.00,49.37,87.14,50.00,50.00
21.99,0.00,0.00,51.00,88.57,50.00,50.00
22.67,0.00,0.00,37.66,80.75,50.00,50.00
23.55,0.00,0.00,34.58,71.89,50.00,50.00
24.23,0.00,0.00,43.40,75.01,50.00,50.00
25.43,0.00,0.00,27.73,70.47,50.00,50.00
26.37,0.00,0.00,29.66,66.67,50.00,50.00
27.06,0.00,0.00,26.83,58.23,50.00,50.00
28.25,0.00,0.00,16.44,58.91,50.00,50.00
29.05,0.00,0.00,12.92,49.97,50.00,50.00
29.80,0.00,0.00,20.90,52.25,50.00,50.00
30.68,0.00,0.00,11.40,48.32,50.00,50.00
31.94,0.00,0.00,5.67,36.83,50.00,50.00
32.62,0.00,0.00,7.98,39.31,50.00,50.00
