Processing bluepill_f103c8 (platform: ststm32; board: bluepill_f103c8; framework: arduino)
--------------------------------------------------------------------------------
Verbose mode can be enabled via `-v, --verbose` option
CONFIGURATION: https://docs.platformio.org/page/boards/ststm32/bluepill_f103c8.html
PLATFORM: ST STM32 (17.0.0) > BluePill F103C8
HARDWARE: STM32F103C8T6 72MHz, 20KB RAM, 64KB Flash
DEBUG: Current (stlink) External (blackmagic, cmsis-dap, jlink, stlink)
PACKAGES: 
 - framework-arduinoststm32 @ 4.20600.231001 (2.6.0) 
 - framework-cmsis @ 2.50700.210515 (5.7.0) 
 - tool-dfuutil @ 1.11.0 
 - tool-dfuutil-arduino @ 1.11.0 
 - tool-openocd @ 3.1200.0 (12.0) 
 - tool-stm32duino @ 1.0.2 
 - toolchain-gccarmnoneeabi @ 1.120301.0 (12.3.1)
LDF: Library Dependency Finder -> https://bit.ly/configure-pio-ldf
LDF Modes: Finder ~ chain, Compatibility ~ soft
Found 17 compatible libraries
Scanning dependencies...
Dependency Graph
|-- ArduinoEigen @ 0.3.0
|-- SPI @ 1.0.0
Building in release mode
Checking size .pio\build\bluepill_f103c8\firmware.elf
Advanced Memory Usage is available via "PlatformIO Home > Project Inspect"
RAM:   [=         ]   8.0% (used 1632 bytes from 20480 bytes)
Flash: [====      ]  38.3% (used 25092 bytes from 65536 bytes)
Configuring upload protocol...
AVAILABLE: blackmagic, cmsis-dap, dfu, jlink, mbed, stlink
CURRENT: upload_protocol = stlink
Uploading .pio\build\bluepill_f103c8\firmware.elf
--- Terminal on COM5 | 460800 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),Left_Error(deg),Right_Error(deg),Left_PWM,Right_PWM
0.00,0.00,0.00,-99.65,5.23,90.00,90.00
0.87,0.00,0.00,-94.06,5.10,90.00,90.00
1.57,0.00,0.00,-94.15,5.10,90.00,90.00
2.39,0.00,0.00,-94.77,10.15,90.00,90.00
3.64,0.00,0.00,-101.65,3.43,90.00,90.00
4.35,0.00,0.00,-108.24,8.13,90.00,90.00
5.15,0.00,0.00,-109.34,6.90,90.00,90.00
5.93,0.00,0.00,-104.99,5.76,90.00,90.00
7.12,0.00,0.00,-106.83,3.76,90.00,90.00
7.94,0.00,0.00,-108.26,2.13,90.00,90.00
8.68,0.00,0.00,-103.91,0.59,90.00,90.00
9.60,0.00,0.00,-105.75,-7.16,90.00,90.00
10.78,0.00,0.00,-114.35,-10.24,90.00,90.00
11.50,0.00,0.00,-122.12,-0.99,90.00,90.00
12.71,0.00,0.00,-115.03,-4.46,90.00,90.00
13.65,0.00,0.00,-129.81,-18.81,90.00,90.00
14.36,0.00,0.00,-132.58,-21.40,90.00,90.00
15.60,0.00,0.00,-131.99,-20.63,90.00,90.00
16.41,0.00,0.00,-140.93,-29.58,90.00,90.00
17.19,0.00,0.00,-144.14,-27.42,90.00,90.00
18.43,0.00,0.00,-143.72,-32.81,90.00,90.00
19.36,0.00,0.00,-147.96,-37.22,90.00,90.00
20.56,0.00,0.00,-153.65,-43.35,90.00,90.00
21.29,0.00,0.00,-157.26,-52.95,90.00,90.00
22.17,0.00,0.00,-161.72,-46.60,90.00,90.00
23.47,0.00,0.00,-168.97,-65.35,90.00,90.00
24.19,0.00,0.00,-178.81,-64.18,90.00,90.00
25.42,0.00,0.00,-186.55,-77.34,90.00,90.00
26.21,0.00,0.00,-180.51,-71.17,90.00,90.00
27.03,0.00,0.00,-197.27,-87.80,90.00,90.00
28.25,0.00,0.00,-194.61,-90.62,90.00,90.00
29.16,0.00,0.00,-212.34,-91.34,90.00,90.00
29.88,0.00,0.00,-206.30,-102.00,90.00,90.00
31.13,0.00,0.00,-221.20,-105.71,90.00,90.00
31.99,0.00,0.00,-227.46,-123.62,90.00,90.00
