Processing bluepill_f103c8 (platform: ststm32; board: bluepill_f103c8; framework: arduino),,,,,,,,,
--------------------------------------------------------------------------------,,,,,,,,,
Verbose mode can be enabled via `-v, --verbose` option,,,,,,,,
CONFIGURATION: https://docs.platformio.org/page/boards/ststm32/bluepill_f103c8.html,,,,,,,,,
PLATFORM: ST STM32 (17.0.0) > BluePill F103C8,,,,,,,,,
HARDWARE: STM32F103C8T6 72MHz, 20KB RAM, 64KB Flash,,,,,,,
DEBUG: Current (stlink) External (blackmagic, cmsis-dap, jlink, stlink),,,,,,
PACKAGES: ,,,,,,,,,
 - framework-arduinoststm32 @ 4.20600.231001 (2.6.0) ,,,,,,,,,
 - framework-cmsis @ 2.50700.210515 (5.7.0) ,,,,,,,,,
 - tool-dfuutil @ 1.11.0 ,,,,,,,,,
 - tool-dfuutil-arduino @ 1.11.0 ,,,,,,,,,
 - tool-openocd @ 3.1200.0 (12.0) ,,,,,,,,,
 - tool-stm32duino @ 1.0.2 ,,,,,,,,,
 - toolchain-gccarmnoneeabi @ 1.120301.0 (12.3.1),,,,,,,,,
LDF: Library Dependency Finder -> https://bit.ly/configure-pio-ldf,,,,,,,,,
LDF Modes: Finder ~ chain, Compatibility ~ soft,,,,,,,,
Found 17 compatible libraries,,,,,,,,,
Scanning dependencies...,,,,,,,,,
Dependency Graph,,,,,,,,,
|-- ArduinoEigen @ 0.3.0,,,,,,,,,
|-- SPI @ 1.0.0,,,,,,,,,
Building in release mode,,,,,,,,,
Compiling .pio\build\bluepill_f103c8\src\main.cpp.o,,,,,,,,,
Linking .pio\build\bluepill_f103c8\firmware.elf,,,,,,,,,
Checking size .pio\build\bluepill_f103c8\firmware.elf,,,,,,,,,
"Advanced Memory Usage is available via ""PlatformIO Home > Project Inspect""",,,,,,,,,
RAM:   [=         ]   8.0% (used 1632 bytes from 20480 bytes),,,,,,,,,
Flash: [====      ]  38.3% (used 25092 bytes from 65536 bytes),,,,,,,,,
Configuring upload protocol...,,,,,,,,,
AVAILABLE: blackmagic, cmsis-dap, dfu, jlink, mbed, stlink,,,,
CURRENT: upload_protocol = stlink,,,,,,,,,
Uploading .pio\build\bluepill_f103c8\firmware.elf,,,,,,,,,
--- Terminal on COM5 | 460800 8-N-1,,,,,,,,,
#NAME?, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters,,,,,,,,,
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H,,,,,,,,,
BEGIN CSV,,,,,,,,,
Time(ms),X_Target(cm),Y_Target(cm),Left_Error(deg),Right_Error(deg),Left_PWM,Right_PWM,,,
0,0,0,-99.73,20.57,100,100,,,
0.88,0,0,-94.15,20.52,100,100,,,
1.58,0,0,-100,14.77,100,100,,,
2.82,0,0,-101.01,19.51,100,100,,,
3.78,0,0,-102.17,13.01,100,100,,,
4.47,0,0,-108.72,12.17,100,100,,,
5.71,0,0,-105.07,22.08,100,100,,,
6.55,0,0,-106.44,21.07,100,100,,,
7.86,0,0,-102.9,13.43,100,100,,,
8.55,0,0,-104.17,11.93,100,100,,,
9.47,0,0,-106.06,9.8,100,100,,,
10.7,0,0,-120.19,0.57,100,100,,,
11.39,0,0,-122.21,9.65,100,100,,,
12.35,0,0,-114.1,0.99,100,100,,,
13.56,0,0,-124.32,-8.53,100,100,,,
14.25,0,0,-127.13,-11.07,100,100,,,
15.25,0,0,-125.84,-8.99,100,100,,,
16.51,0,0,-142.73,-19.78,100,100,,,
17.2,0,0,-145.99,-17.38,100,100,,,
18.44,0,0,-152.05,-23.2,100,100,,,
19.32,0,0,-156.58,-33.35,100,100,,,
20.64,0,0,-157.85,-34.67,100,100,,,
21.33,0,0,-161.72,-44.12,100,100,,,
22.59,0,0,-174.46,-51.72,100,100,,,
23.54,0,0,-174.53,-52.23,100,100,,,
24.81,0,0,-182.29,-65.83,100,100,,,
25.5,0,0,-186.79,-59.3,100,100,,,
26.48,0,0,-199.03,-71.63,100,100,,,
27.7,0,0,-202.3,-80.24,100,100,,,
28.4,0,0,-213.18,-85.36,100,100,,,
29.66,0,0,-223.24,-100.63,100,100,,,
30.66,0,0,-231.46,-108.5,100,100,,,
31.83,0,0,-230.03,-112.43,100,100,,,
32.62,0,0,-242.38,-119.16,100,100,,,
33.9,0,0,-247.65,-124.43,100,100,,,
34.79,0,0,-261.08,-143.57,100,100,,,
36.15,0,0,-273.21,-150.47,100,100,,,
36.84,0,0,-273.93,-156.95,100,100,,,
37.66,0,0,-281.8,-159.02,100,100,,,
39,0,0,-300.34,-177.56,100,100,,,
39.74,0,0,-307.92,-190.63,100,100,,,
41,0,0,-315.24,-192.11,100,100,,,
42.05,0,0,-331.94,-208.76,100,100,,,
43.17,0,0,-343.98,-220.41,100,100,,,
43.96,0,0,-358.29,-234.54,100,100,,,
45.23,0,0,-366.7,-242.73,100,100,,,
46.17,0,0,-377.2,-253.23,100,100,,,
47.46,0,0,-386.35,-268,100,100,,,
48.15,0,0,-399.97,-270.46,100,100,,,
49.11,0,0,-405.68,-287.47,100,100,,,
50.45,0,0,-421.55,-303.38,100,100,,,
51.52,0,0,-445.96,-316.54,100,100,,,
52.4,0,0,-451.19,-333.06,100,100,,,
53.67,0,0,-461.62,-343.5,100,100,,,
54.47,0,0,-477.51,-353.72,100,100,,,
55.3,0,0,-493.9,-370.15,100,100,,,
56.57,0,0,-505.09,-381.12,100,100,,,
57.51,0,0,-523.26,-393.46,100,100,,,
58.84,0,0,-535.94,-405.73,100,100,,,
59.54,0,0,-551.16,-420.78,100,100,,,
60.81,0,0,-563.2,-432.66,100,100,,,
61.63,0,0,-580.47,-444.05,100,100,,,
62.96,0,0,-587.97,-462.77,100,100,,,
63.7,0,0,-598.51,-473.31,100,100,,,
64.97,0,0,-628.07,-502.87,100,100,,,
65.93,0,0,-636.44,-511.13,100,100,,,
67.19,0,0,-660.81,-535.43,100,100,,,
67.9,0,0,-665.68,-546.02,100,100,,,
68.89,0,0,-680.73,-555.21,100,100,,,
70.18,0,0,-706.03,-580.34,100,100,,,
70.87,0,0,-711.12,-585.31,100,100,,,
72.15,0,0,-725.38,-599.35,100,100,,,
72.92,0,0,-743.16,-611.43,100,100,,,
74.26,0,0,-764.14,-638.02,100,100,,,
75.05,0,0,-782.31,-650.59,100,100,,,
76.31,0,0,-791.13,-664.83,100,100,,,
77.31,0,0,-812.86,-692.01,100,100,,,
78.5,0,0,-832.26,-705.74,100,100,,,
79.24,0,0,-850.03,-712.33,100,100,,,
80.51,0,0,-859.72,-733.34,-100,-100,,,
