Processing bluepill_f103c8 (platform: ststm32; board: bluepill_f103c8; framework: arduino)
--------------------------------------------------------------------------------
Verbose mode can be enabled via `-v, --verbose` option
CONFIGURATION: https://docs.platformio.org/page/boards/ststm32/bluepill_f103c8.html
PLATFORM: ST STM32 (17.0.0) > BluePill F103C8
HARDWARE: STM32F103C8T6 72MHz, 20KB RAM, 64KB Flash
DEBUG: Current (stlink) External (blackmagic, cmsis-dap, jlink, stlink)
PACKAGES: 
 - framework-arduinoststm32 @ 4.20600.231001 (2.6.0) 
 - framework-cmsis @ 2.50700.210515 (5.7.0) 
 - tool-dfuutil @ 1.11.0 
 - tool-dfuutil-arduino @ 1.11.0 
 - tool-openocd @ 3.1200.0 (12.0) 
 - tool-stm32duino @ 1.0.2 
 - toolchain-gccarmnoneeabi @ 1.120301.0 (12.3.1)
LDF: Library Dependency Finder -> https://bit.ly/configure-pio-ldf
LDF Modes: Finder ~ chain, Compatibility ~ soft
Found 17 compatible libraries
Scanning dependencies...
Dependency Graph
|-- ArduinoEigen @ 0.3.0
|-- SPI @ 1.0.0
Building in release mode
Compiling .pio\build\bluepill_f103c8\src\main.cpp.o
Linking .pio\build\bluepill_f103c8\firmware.elf
Checking size .pio\build\bluepill_f103c8\firmware.elf
Advanced Memory Usage is available via "PlatformIO Home > Project Inspect"
RAM:   [=         ]   8.0% (used 1632 bytes from 20480 bytes)
Flash: [====      ]  38.3% (used 25108 bytes from 65536 bytes)
Configuring upload protocol...
AVAILABLE: blackmagic, cmsis-dap, dfu, jlink, mbed, stlink
CURRENT: upload_protocol = stlink
Uploading .pio\build\bluepill_f103c8\firmware.elf
--- Terminal on COM5 | 460800 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),Left_Error(deg),Right_Error(deg),Left_PWM,Right_PWM
0.00,0.00,0.00,172.60,44.54,70.00,-70.00
0.88,0.00,0.00,178.18,38.91,70.00,-70.00
1.60,0.00,0.00,177.96,44.76,70.00,-70.00
2.47,0.00,0.00,177.56,34.41,70.00,-70.00
3.72,0.00,0.00,176.46,36.83,70.00,-70.00
4.43,0.00,0.00,175.67,44.65,70.00,-70.00
5.64,0.00,0.00,168.77,55.31,70.00,-70.00
6.42,0.00,0.00,162.38,53.79,70.00,-70.00
7.22,0.00,0.00,161.54,64.18,70.00,-70.00
8.00,0.00,0.00,166.38,63.81,70.00,-70.00
9.27,0.00,0.00,159.35,73.43,70.00,-70.00
10.01,0.00,0.00,158.51,79.74,70.00,-70.00
10.90,0.00,0.00,162.84,87.71,70.00,-70.00
12.18,0.00,0.00,166.44,100.24,70.00,-70.00
12.90,0.00,0.00,165.26,107.75,70.00,-70.00
14.13,0.00,0.00,151.70,115.75,70.00,-70.00
14.91,0.00,0.00,155.65,124.63,70.00,-70.00
15.72,0.00,0.00,153.72,145.70,70.00,-70.00
16.95,0.00,0.00,150.53,149.90,70.00,-70.00
17.86,0.00,0.00,148.16,161.59,70.00,-70.00
18.57,0.00,0.00,146.07,171.21,70.00,-70.00
19.80,0.00,0.00,136.85,199.40,70.00,-70.00
20.75,0.00,0.00,145.31,207.22,70.00,-70.00
21.47,0.00,0.00,143.24,223.31,70.00,-70.00
22.69,0.00,0.00,128.45,230.05,70.00,-70.00
23.53,0.00,0.00,131.62,248.44,70.00,-70.00
24.80,0.00,0.00,127.33,262.49,70.00,-70.00
25.52,0.00,0.00,130.41,273.82,70.00,-70.00
26.46,0.00,0.00,115.62,300.21,70.00,-70.00
27.63,0.00,0.00,116.61,308.10,70.00,-70.00
28.39,0.00,0.00,119.25,326.27,70.00,-70.00
29.28,0.00,0.00,104.37,346.88,70.00,-70.00
30.58,0.00,0.00,104.39,369.03,70.00,-70.00
31.29,0.00,0.00,101.32,375.71,70.00,-70.00
32.52,0.00,0.00,95.67,397.38,70.00,-70.00
