Processing bluepill_f103c8 (platform: ststm32; board: bluepill_f103c8; framework: arduino)
--------------------------------------------------------------------------------
Verbose mode can be enabled via `-v, --verbose` option
CONFIGURATION: https://docs.platformio.org/page/boards/ststm32/bluepill_f103c8.html
PLATFORM: ST STM32 (17.0.0) > BluePill F103C8
HARDWARE: STM32F103C8T6 72MHz, 20KB RAM, 64KB Flash
DEBUG: Current (stlink) External (blackmagic, cmsis-dap, jlink, stlink)
PACKAGES: 
 - framework-arduinoststm32 @ 4.20600.231001 (2.6.0) 
 - framework-cmsis @ 2.50700.210515 (5.7.0) 
 - tool-dfuutil @ 1.11.0 
 - tool-dfuutil-arduino @ 1.11.0 
 - tool-openocd @ 3.1200.0 (12.0) 
 - tool-stm32duino @ 1.0.2 
 - toolchain-gccarmnoneeabi @ 1.120301.0 (12.3.1)
LDF: Library Dependency Finder -> https://bit.ly/configure-pio-ldf
LDF Modes: Finder ~ chain, Compatibility ~ soft
Found 17 compatible libraries
Scanning dependencies...
Dependency Graph
|-- ArduinoEigen @ 0.3.0
|-- SPI @ 1.0.0
Building in release mode
Checking size .pio\build\bluepill_f103c8\firmware.elf
Advanced Memory Usage is available via "PlatformIO Home > Project Inspect"
RAM:   [=         ]   8.0% (used 1632 bytes from 20480 bytes)
Flash: [====      ]  38.3% (used 25108 bytes from 65536 bytes)
Configuring upload protocol...
AVAILABLE: blackmagic, cmsis-dap, dfu, jlink, mbed, stlink
CURRENT: upload_protocol = stlink
Uploading .pio\build\bluepill_f103c8\firmware.elf
--- Terminal on COM5 | 460800 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),Left_Error(deg),Right_Error(deg),Left_PWM,Right_PWM
0.00,0.00,0.00,-108.17,-118.76,20.00,-20.00
0.92,0.00,0.00,-102.59,-113.14,20.00,-20.00
1.64,0.00,0.00,-108.26,-113.09,20.00,-20.00
2.90,0.00,0.00,-108.39,-118.37,20.00,-20.00
3.77,0.00,0.00,-102.94,-117.86,20.00,-20.00
5.08,0.00,0.00,-103.25,-122.43,20.00,-20.00
5.80,0.00,0.00,-103.43,-121.51,20.00,-20.00
6.60,0.00,0.00,-109.23,-114.83,20.00,-20.00
7.91,0.00,0.00,-103.86,-112.81,20.00,-20.00
8.64,0.00,0.00,-109.67,-111.47,20.00,-20.00
9.89,0.00,0.00,-104.39,-103.29,20.00,-20.00
10.86,0.00,0.00,-104.79,-106.48,20.00,-20.00
11.96,0.00,0.00,-110.72,-103.71,20.00,-20.00
12.85,0.00,0.00,-105.40,-106.96,20.00,-20.00
13.62,0.00,0.00,-105.80,-93.67,20.00,-20.00
14.94,0.00,0.00,-112.08,-95.19,20.00,-20.00
15.70,0.00,0.00,-106.72,-98.53,20.00,-20.00
16.95,0.00,0.00,-118.70,-83.21,20.00,-20.00
17.87,0.00,0.00,-119.22,-80.00,20.00,-20.00
18.59,0.00,0.00,-119.66,-83.10,20.00,-20.00
19.84,0.00,0.00,-120.37,-78.55,20.00,-20.00
20.75,0.00,0.00,-115.27,-69.54,20.00,-20.00
21.98,0.00,0.00,-121.68,-70.49,20.00,-20.00
22.72,0.00,0.00,-116.41,-73.26,20.00,-20.00
23.62,0.00,0.00,-117.03,-58.47,20.00,-20.00
24.91,0.00,0.00,-117.95,-64.47,20.00,-20.00
25.63,0.00,0.00,-112.83,-55.88,20.00,-20.00
26.86,0.00,0.00,-113.84,-50.69,20.00,-20.00
27.77,0.00,0.00,-114.59,-46.80,20.00,-20.00
28.49,0.00,0.00,-120.78,-38.21,20.00,-20.00
29.74,0.00,0.00,-116.17,-43.99,20.00,-20.00
30.67,0.00,0.00,-117.00,-34.15,20.00,-20.00
31.90,0.00,0.00,-118.02,-23.09,20.00,-20.00
32.62,0.00,0.00,-124.32,-25.40,20.00,-20.00
33.55,0.00,0.00,-125.07,-21.29,20.00,-20.00
34.85,0.00,0.00,-131.88,-15.21,20.00,-20.00
35.57,0.00,0.00,-126.87,-17.45,20.00,-20.00
36.81,0.00,0.00,-133.59,-0.42,20.00,-20.00
37.56,0.00,0.00,-134.34,-2.46,20.00,-20.00
38.43,0.00,0.00,-123.95,7.36,20.00,-20.00
39.64,0.00,0.00,-130.72,2.02,20.00,-20.00
40.48,0.00,0.00,-131.46,17.34,20.00,-20.00
41.77,0.00,0.00,-127.20,18.02,20.00,-20.00
42.48,0.00,0.00,-127.90,21.58,20.00,-20.00
43.32,0.00,0.00,-128.83,25.64,20.00,-20.00
44.61,0.00,0.00,-135.79,26.50,20.00,-20.00
45.34,0.00,0.00,-136.54,35.75,20.00,-20.00
46.20,0.00,0.00,-137.46,34.41,20.00,-20.00
47.47,0.00,0.00,-138.87,46.43,20.00,-20.00
48.19,0.00,0.00,-139.75,50.12,20.00,-20.00
49.44,0.00,0.00,-135.51,56.36,20.00,-20.00
50.28,0.00,0.00,-136.60,66.29,20.00,-20.00
51.04,0.00,0.00,-143.02,58.97,20.00,-20.00
52.27,0.00,0.00,-144.51,76.49,20.00,-20.00
53.24,0.00,0.00,-145.74,70.14,20.00,-20.00
53.95,0.00,0.00,-146.65,79.56,20.00,-20.00
55.18,0.00,0.00,-153.76,80.24,20.00,-20.00
55.97,0.00,0.00,-154.82,90.00,20.00,-20.00
57.24,0.00,0.00,-156.36,90.92,20.00,-20.00
58.01,0.00,0.00,-151.74,95.05,20.00,-20.00
58.90,0.00,0.00,-147.33,110.98,20.00,-20.00
60.18,0.00,0.00,-154.75,112.06,20.00,-20.00
60.90,0.00,0.00,-150.14,121.40,20.00,-20.00
61.74,0.00,0.00,-151.33,114.70,20.00,-20.00
63.06,0.00,0.00,-158.73,132.91,20.00,-20.00
63.78,0.00,0.00,-165.37,125.51,20.00,-20.00
65.01,0.00,0.00,-161.59,137.61,20.00,-20.00
65.94,0.00,0.00,-162.99,136.98,20.00,-20.00
67.15,0.00,0.00,-164.82,149.00,20.00,-20.00
67.89,0.00,0.00,-166.05,152.97,20.00,-20.00
68.82,0.00,0.00,-167.41,163.54,20.00,-20.00
70.09,0.00,0.00,-169.32,159.04,20.00,-20.00
70.81,0.00,0.00,-170.46,168.57,20.00,-20.00
72.05,0.00,0.00,-178.02,175.21,20.00,-20.00
72.93,0.00,0.00,-173.80,174.24,20.00,-20.00
73.65,0.00,0.00,-175.06,189.25,20.00,-20.00
74.90,0.00,0.00,-171.45,190.42,20.00,-20.00
