Processing bluepill_f103c8 (platform: ststm32; board: bluepill_f103c8; framework: arduino)
--------------------------------------------------------------------------------
Verbose mode can be enabled via `-v, --verbose` option
CONFIGURATION: https://docs.platformio.org/page/boards/ststm32/bluepill_f103c8.html
PLATFORM: ST STM32 (17.0.0) > BluePill F103C8
HARDWARE: STM32F103C8T6 72MHz, 20KB RAM, 64KB Flash
DEBUG: Current (stlink) External (blackmagic, cmsis-dap, jlink, stlink)
PACKAGES: 
 - framework-arduinoststm32 @ 4.20600.231001 (2.6.0) 
 - framework-cmsis @ 2.50700.210515 (5.7.0) 
 - tool-dfuutil @ 1.11.0 
 - tool-dfuutil-arduino @ 1.11.0 
 - tool-openocd @ 3.1200.0 (12.0) 
 - tool-stm32duino @ 1.0.2 
 - toolchain-gccarmnoneeabi @ 1.120301.0 (12.3.1)
LDF: Library Dependency Finder -> https://bit.ly/configure-pio-ldf
LDF Modes: Finder ~ chain, Compatibility ~ soft
Found 17 compatible libraries
Scanning dependencies...
Dependency Graph
|-- ArduinoEigen @ 0.3.0
|-- SPI @ 1.0.0
Building in release mode
Compiling .pio\build\bluepill_f103c8\src\main.cpp.o
Linking .pio\build\bluepill_f103c8\firmware.elf
Checking size .pio\build\bluepill_f103c8\firmware.elf
Advanced Memory Usage is available via "PlatformIO Home > Project Inspect"
RAM:   [=         ]   8.0% (used 1632 bytes from 20480 bytes)
Flash: [====      ]  38.5% (used 25204 bytes from 65536 bytes)
Configuring upload protocol...
AVAILABLE: blackmagic, cmsis-dap, dfu, jlink, mbed, stlink
CURRENT: upload_protocol = stlink
Uploading .pio\build\bluepill_f103c8\firmware.elf
--- Terminal on COM5 | 460800 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),Left_Error(deg),Right_Error(deg),Left_PWM,Right_PWM
0.00,0.00,0.00,131.46,-119.88,80.00,80.00
0.90,0.00,0.00,131.44,-119.79,80.00,80.00
1.62,0.00,0.00,131.26,-119.95,80.00,80.00
2.85,0.00,0.00,130.47,-120.59,80.00,80.00
3.72,0.00,0.00,129.53,-121.44,80.00,80.00
4.44,0.00,0.00,128.58,-122.08,80.00,80.00
5.66,0.00,0.00,126.74,-123.55,80.00,80.00
6.61,0.00,0.00,125.24,-124.89,80.00,80.00
7.34,0.00,0.00,123.95,-126.08,80.00,80.00
8.46,0.00,0.00,121.90,-128.03,80.00,80.00
9.46,0.00,0.00,119.82,-130.28,80.00,80.00
10.18,0.00,0.00,118.19,-132.19,80.00,80.00
11.34,0.00,0.00,115.42,-135.42,80.00,80.00
12.26,0.00,0.00,112.87,-138.14,80.00,80.00
13.42,0.00,0.00,109.23,-141.68,80.00,80.00
14.23,0.00,0.00,106.33,-144.07,80.00,80.00
15.01,0.00,0.00,103.40,-146.78,80.00,80.00
16.31,0.00,0.00,98.06,-151.48,80.00,80.00
17.06,0.00,0.00,94.79,-154.60,80.00,80.00
17.92,0.00,0.00,91.12,-158.29,80.00,80.00
19.21,0.00,0.00,85.43,-163.78,80.00,80.00
19.93,0.00,0.00,82.24,-166.99,80.00,80.00
20.70,0.00,0.00,78.57,-170.60,80.00,80.00
21.97,0.00,0.00,72.36,-177.10,80.00,80.00
22.73,0.00,0.00,68.47,-181.27,80.00,80.00
23.62,0.00,0.00,63.85,-186.44,80.00,80.00
24.88,0.00,0.00,56.95,-193.62,80.00,80.00
25.61,0.00,0.00,52.80,-198.00,80.00,80.00
26.83,0.00,0.00,45.29,-205.49,80.00,80.00
27.56,0.00,0.00,40.63,-209.99,80.00,80.00
28.42,0.00,0.00,34.91,-215.57,80.00,80.00
29.66,0.00,0.00,26.43,-223.79,80.00,80.00
30.42,0.00,0.00,21.09,-228.85,80.00,80.00
31.25,0.00,0.00,15.18,-234.45,80.00,80.00
32.48,0.00,0.00,6.13,-243.15,80.00,80.00
33.26,0.00,0.00,0.42,-248.99,80.00,80.00
34.05,0.00,0.00,-5.67,-255.01,80.00,80.00
34.92,0.00,0.00,-12.33,-261.76,80.00,80.00
36.20,0.00,0.00,-22.57,-272.24,80.00,80.00
36.93,0.00,0.00,-28.41,-278.13,80.00,80.00
38.17,0.00,0.00,-38.63,-288.37,80.00,80.00
38.98,0.00,0.00,-45.37,-295.11,80.00,80.00
39.75,0.00,0.00,-51.94,-301.64,80.00,80.00
