Processing bluepill_f103c8 (platform: ststm32; board: bluepill_f103c8; framework: arduino)
--------------------------------------------------------------------------------
Verbose mode can be enabled via `-v, --verbose` option
CONFIGURATION: https://docs.platformio.org/page/boards/ststm32/bluepill_f103c8.html
PLATFORM: ST STM32 (17.0.0) > BluePill F103C8
HARDWARE: STM32F103C8T6 72MHz, 20KB RAM, 64KB Flash
DEBUG: Current (stlink) External (blackmagic, cmsis-dap, jlink, stlink)
PACKAGES: 
 - framework-arduinoststm32 @ 4.20600.231001 (2.6.0) 
 - framework-cmsis @ 2.50700.210515 (5.7.0) 
 - tool-dfuutil @ 1.11.0 
 - tool-dfuutil-arduino @ 1.11.0 
 - tool-openocd @ 3.1200.0 (12.0) 
 - tool-stm32duino @ 1.0.2 
 - toolchain-gccarmnoneeabi @ 1.120301.0 (12.3.1)
LDF: Library Dependency Finder -> https://bit.ly/configure-pio-ldf
LDF Modes: Finder ~ chain, Compatibility ~ soft
Found 17 compatible libraries
Scanning dependencies...
Dependency Graph
|-- ArduinoEigen @ 0.3.0
|-- SPI @ 1.0.0
Building in release mode
Checking size .pio\build\bluepill_f103c8\firmware.elf
Advanced Memory Usage is available via "PlatformIO Home > Project Inspect"
RAM:   [=         ]   8.0% (used 1632 bytes from 20480 bytes)
Flash: [====      ]  37.5% (used 24564 bytes from 65536 bytes)
Configuring upload protocol...
AVAILABLE: blackmagic, cmsis-dap, dfu, jlink, mbed, stlink
CURRENT: upload_protocol = stlink
Uploading .pio\build\bluepill_f103c8\firmware.elf
--- Terminal on COM5 | 460800 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),Left_Error(deg),Right_Error(deg),Left_PWM,Right_PWM
0.00,0.00,0.00,25.88,183.65,0,0
0.81,0.00,0.00,25.88,183.63,0,0
1.41,0.00,0.00,25.84,183.60,0,0
2.28,0.00,0.00,25.82,183.58,0,0
2.82,0.00,0.00,25.88,183.67,0,0
3.75,0.00,0.00,25.84,183.69,0,0
4.24,0.00,0.00,25.88,183.58,0,0
5.22,0.00,0.00,25.82,183.65,0,0
5.69,0.00,0.00,25.86,183.63,0,0
6.58,0.00,0.00,25.88,183.69,0,0
7.10,0.00,0.00,25.82,183.65,0,0
8.06,0.00,0.00,25.84,183.65,0,0
8.53,0.00,0.00,25.84,183.65,0,0
9.48,0.00,0.00,25.84,183.58,0,0
9.96,0.00,0.00,25.88,183.65,0,0
10.92,0.00,0.00,25.82,183.67,0,0
11.39,0.00,0.00,25.75,183.63,0,0
12.36,0.00,0.00,25.86,183.63,0,0
12.84,0.00,0.00,25.91,183.69,0,0
13.79,0.00,0.00,25.82,183.58,0,0
14.28,0.00,0.00,25.86,183.58,0,0
15.31,0.00,0.00,25.86,183.65,0,0
16.35,0.00,0.00,25.88,183.67,0,0
16.82,0.00,0.00,25.86,183.65,0,0
17.74,0.00,0.00,25.84,183.60,0,0
18.37,0.00,0.00,25.82,183.65,0,0
19.27,0.00,0.00,25.84,183.60,0,0
19.79,0.00,0.00,25.82,183.71,0,0
20.80,0.00,0.00,25.88,183.63,0,0
21.27,0.00,0.00,25.86,183.69,0,0
22.07,0.00,0.00,25.84,183.74,0,0
22.71,0.00,0.00,25.88,183.60,0,0
23.56,0.00,0.00,25.84,183.67,0,0
24.14,0.00,0.00,25.84,183.63,0,0
25.03,0.00,0.00,25.88,183.63,0,0
25.59,0.00,0.00,25.86,183.67,0,0
26.55,0.00,0.00,25.80,183.63,0,0
27.04,0.00,0.00,25.86,183.65,0,0
28.01,0.00,0.00,25.91,183.60,0,0
29.16,0.00,0.00,25.86,183.60,0,0
29.63,0.00,0.00,25.84,183.69,0,0
30.51,0.00,0.00,25.84,183.58,0,0
31.09,0.00,0.00,25.84,183.60,0,0
32.03,0.00,0.00,25.80,183.63,0,0
32.50,0.00,0.00,25.84,183.67,0,0
33.57,0.00,0.00,25.82,183.60,0,0
34.05,0.00,0.00,25.86,183.65,0,0
34.72,0.00,0.00,25.91,183.67,0,0
35.48,0.00,0.00,25.86,183.54,0,0
36.20,0.00,0.00,25.82,183.65,0,0
36.94,0.00,0.00,25.91,183.58,0,0
37.70,0.00,0.00,25.82,183.60,0,0
38.37,0.00,0.00,25.84,183.65,0,0
39.22,0.00,0.00,25.77,183.69,0,0
40.37,0.00,0.00,25.82,183.67,0,0
40.84,0.00,0.00,25.84,183.65,0,0
41.76,0.00,0.00,25.86,183.63,0,0
