Processing bluepill_f103c8 (platform: ststm32; board: bluepill_f103c8; framework: arduino)
--------------------------------------------------------------------------------
Verbose mode can be enabled via `-v, --verbose` option
CONFIGURATION: https://docs.platformio.org/page/boards/ststm32/bluepill_f103c8.html
PLATFORM: ST STM32 (17.0.0) > BluePill F103C8
HARDWARE: STM32F103C8T6 72MHz, 20KB RAM, 64KB Flash
DEBUG: Current (stlink) External (blackmagic, cmsis-dap, jlink, stlink)
PACKAGES: 
 - framework-arduinoststm32 @ 4.20600.231001 (2.6.0) 
 - framework-cmsis @ 2.50700.210515 (5.7.0) 
 - tool-dfuutil @ 1.11.0 
 - tool-dfuutil-arduino @ 1.11.0 
 - tool-openocd @ 3.1200.0 (12.0) 
 - tool-stm32duino @ 1.0.2 
 - toolchain-gccarmnoneeabi @ 1.120301.0 (12.3.1)
LDF: Library Dependency Finder -> https://bit.ly/configure-pio-ldf
LDF Modes: Finder ~ chain, Compatibility ~ soft
Found 17 compatible libraries
Scanning dependencies...
Dependency Graph
|-- ArduinoEigen @ 0.3.0
|-- SPI @ 1.0.0
Building in release mode
Compiling .pio\build\bluepill_f103c8\src\main.cpp.o
Linking .pio\build\bluepill_f103c8\firmware.elf
Checking size .pio\build\bluepill_f103c8\firmware.elf
Advanced Memory Usage is available via "PlatformIO Home > Project Inspect"
RAM:   [=         ]  10.4% (used 2120 bytes from 20480 bytes)
Flash: [====      ]  42.7% (used 28012 bytes from 65536 bytes)
Configuring upload protocol...
AVAILABLE: blackmagic, cmsis-dap, dfu, jlink, mbed, stlink
CURRENT: upload_protocol = stlink
Uploading .pio\build\bluepill_f103c8\firmware.elf
--- Terminal on COM5 | 460800 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Fully Homed
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),Left_Error(deg),Right_Error(deg),Left_PID,Right_PID,Left_Feed_Forward,Right_Feed_Forward,X_Puck(cm),Y_Puck(cm)
0.01,6.99,5.08,-0.00,0.04,-0.00,0.04,3.80,-8.48,3.80,-8.44
1.44,6.99,5.08,0.00,-0.11,0.00,-0.11,3.79,-8.54,3.79,-8.65
3.00,6.99,5.08,0.05,-0.17,0.05,-0.17,3.78,-8.60,3.82,-8.77
4.55,7.00,5.09,0.12,-0.26,0.12,-0.26,3.77,-8.67,3.88,-8.92
6.09,7.00,5.09,0.30,-0.49,0.30,-0.49,3.75,-8.73,4.05,-9.22
7.63,7.01,5.10,0.39,-0.73,0.39,-0.73,3.74,-8.79,4.13,-9.52
9.18,7.01,5.10,0.55,-1.04,0.55,-1.04,3.73,-8.85,4.28,-9.89
10.73,7.02,5.11,0.69,-1.34,0.69,-1.34,3.71,-8.92,4.40,-10.26
12.28,7.03,5.12,0.85,-1.64,0.85,-1.64,3.70,-8.98,4.55,-10.62
13.83,7.04,5.13,0.97,-2.03,0.97,-2.03,3.69,-9.04,4.66,-11.07
15.37,7.05,5.15,1.25,-2.59,1.25,-2.59,3.67,-9.10,4.92,-11.69
16.92,7.07,5.16,1.48,-3.16,1.48,-3.16,3.66,-9.16,5.14,-12.32
18.47,7.08,5.18,1.78,-3.87,1.78,-3.87,3.65,-9.22,5.43,-13.09
20.01,7.10,5.19,2.15,-4.58,2.15,-4.58,3.63,-9.28,5.78,-13.86
21.56,7.12,5.21,2.47,-5.29,2.47,-5.29,3.62,-9.34,6.09,-14.63
23.11,7.13,5.23,2.77,-6.18,2.77,-6.18,3.61,-9.39,6.38,-15.57
24.67,7.15,5.25,3.08,-7.04,3.08,-7.04,3.59,-9.45,6.67,-16.49
26.22,7.17,5.27,3.47,-8.12,3.47,-8.12,3.58,-9.51,7.05,-17.63
27.78,7.20,5.30,3.84,-9.16,3.84,-9.16,3.57,-9.57,7.41,-18.72
29.33,7.22,5.32,4.35,-10.34,4.35,-10.34,3.55,-9.62,7.90,-19.96
30.88,7.24,5.35,4.88,-11.58,4.88,-11.58,3.54,-9.68,8.42,-21.26
32.45,7.27,5.38,5.41,-12.92,5.41,-12.92,3.53,-9.74,8.93,-22.66
