Processing bluepill_f103c8 (platform: ststm32; board: bluepill_f103c8; framework: arduino)
--------------------------------------------------------------------------------
Verbose mode can be enabled via `-v, --verbose` option
CONFIGURATION: https://docs.platformio.org/page/boards/ststm32/bluepill_f103c8.html
PLATFORM: ST STM32 (17.0.0) > BluePill F103C8
HARDWARE: STM32F103C8T6 72MHz, 20KB RAM, 64KB Flash
DEBUG: Current (stlink) External (blackmagic, cmsis-dap, jlink, stlink)
PACKAGES: 
 - framework-arduinoststm32 @ 4.20600.231001 (2.6.0) 
 - framework-cmsis @ 2.50700.210515 (5.7.0) 
 - tool-dfuutil @ 1.11.0 
 - tool-dfuutil-arduino @ 1.11.0 
 - tool-openocd @ 3.1200.0 (12.0) 
 - tool-stm32duino @ 1.0.2 
 - toolchain-gccarmnoneeabi @ 1.120301.0 (12.3.1)
LDF: Library Dependency Finder -> https://bit.ly/configure-pio-ldf
LDF Modes: Finder ~ chain, Compatibility ~ soft
Found 17 compatible libraries
Scanning dependencies...
Dependency Graph
|-- ArduinoEigen @ 0.3.0
|-- SPI @ 1.0.0
Building in release mode
Checking size .pio\build\bluepill_f103c8\firmware.elf
Advanced Memory Usage is available via "PlatformIO Home > Project Inspect"
RAM:   [=         ]   7.9% (used 1620 bytes from 20480 bytes)
Flash: [====      ]  37.0% (used 24248 bytes from 65536 bytes)
Configuring upload protocol...
AVAILABLE: blackmagic, cmsis-dap, dfu, jlink, mbed, stlink
CURRENT: upload_protocol = stlink
Uploading .pio\build\bluepill_f103c8\firmware.elf
--- Terminal on COM5 | 460800 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
00,0.00,141.22,-170.27,-0.01,0.10
286.45,0.00,0.00,141.20,-170.24,-0.01,0.10
287.52,0.00,0.00,141.26,-170.31,-0.01,0.10
288.31,0.00,0.00,141.24,-170.24,-0.01,0.10
289.15,0.00,0.00,141.26,-170.24,-0.01,0.10
290.44,0.00,0.00,141.26,-170.27,-0.01,0.10
291.15,0.00,0.00,141.22,-170.29,-0.01,0.10
292.07,0.00,0.00,141.20,-170.27,-0.01,0.10
293.37,0.00,0.00,141.22,-170.33,-0.01,0.10
294.00,0.00,0.00,141.22,-170.29,-0.01,0.10
295.00,0.00,0.00,141.22,-170.27,-0.01,0.10
296.26,0.00,0.00,141.20,-170.35,-0.01,0.10
296.88,0.00,0.00,141.24,-170.22,-0.01,0.10
298.10,0.00,0.00,141.20,-170.33,-0.01,0.10
299.05,0.00,0.00,141.20,-170.29,-0.01,0.10
299.70,0.00,0.00,141.24,-170.22,-0.01,0.10
300.92,0.00,0.00,141.24,-170.31,-0.01,0.10
301.99,0.00,0.00,141.17,-170.24,-0.01,0.10
303.06,0.00,0.00,141.22,-170.27,-0.01,0.10
303.85,0.00,0.00,141.20,-170.29,-0.01,0.10
304.69,0.00,0.00,141.28,-170.27,-0.01,0.10
305.98,0.00,0.00,141.22,-170.29,-0.01,0.10
306.69,0.00,0.00,141.17,-170.29,-0.01,0.10
307.61,0.00,0.00,141.20,-170.27,-0.01,0.10
308.91,0.00,0.00,141.22,-170.33,-0.01,0.10
309.54,0.00,0.00,141.22,-170.35,-0.01,0.10
310.54,0.00,0.00,141.26,-170.33,-0.01,0.10
311.80,0.00,0.00,141.20,-170.35,-0.01,0.10
312.42,0.00,0.00,141.22,-170.29,-0.01,0.10
313.64,0.00,0.00,141.22,-170.33,-0.01,0.10
314.59,0.00,0.00,141.26,-170.33,-0.01,0.10
315.24,0.00,0.00,141.24,-170.27,-0.01,0.10
316.46,0.00,0.00,141.28,-170.24,-0.01,0.10
317.53,0.00,0.00,141.20,-170.29,-0.01,0.10
318.60,0.00,0.00,141.28,-170.29,-0.01,0.10
319.40,0.00,0.00,141.28,-170.31,-0.01,0.10
320.23,0.00,0.00,141.22,-170.31,-0.01,0.10
321.52,0.00,0.00,141.26,-170.29,-0.01,0.10
322.23,0.00,0.00,141.22,-170.29,-0.01,0.10
323.17,0.00,0.00,141.33,-170.33,-0.01,0.10
324.47,0.00,0.00,141.22,-170.24,-0.01,0.10
325.10,0.00,0.00,141.26,-170.35,-0.01,0.10
325.97,0.00,0.00,141.22,-170.42,-0.01,0.10
327.29,0.00,0.00,141.24,-170.35,-0.01,0.10
327.92,0.00,0.00,141.22,-170.27,-0.01,0.10
328.98,0.00,0.00,141.22,-170.33,-0.01,0.10
330.13,0.00,0.00,141.22,-170.27,-0.01,0.10
330.78,0.00,0.00,141.28,-170.29,-0.01,0.10
332.00,0.00,0.00,141.24,-170.31,-0.01,0.10
333.07,0.00,0.00,141.26,-170.27,-0.01,0.10
334.14,0.00,0.00,141.22,-170.22,-0.01,0.10
334.93,0.00,0.00,141.17,-170.31,-0.01,0.10
335.77,0.00,0.00,141.24,-170.31,-0.01,0.10
337.06,0.00,0.00,141.22,-170.31,-0.01,0.10
337.77,0.00,0.00,141.24,-170.24,-0.01,0.10
338.69,0.00,0.00,141.20,-170.31,-0.01,0.10
339.99,0.00,0.00,141.17,-170.29,-0.01,0.10
340.62,0.00,0.00,141.24,-170.31,-0.01,0.10
341.62,0.00,0.00,141.22,-170.27,-0.01,0.10
342.88,0.00,0.00,141.20,-170.33,-0.01,0.10
343.50,0.00,0.00,141.22,-170.31,-0.01,0.10
344.72,0.00,0.00,141.28,-170.24,-0.01,0.10
345.66,0.00,0.00,141.26,-170.29,-0.01,0.10
346.32,0.00,0.00,141.20,-170.29,-0.01,0.10
347.54,0.00,0.00,141.24,-170.35,-0.01,0.10
348.61,0.00,0.00,141.22,-170.29,-0.01,0.10
349.68,0.00,0.00,141.24,-170.27,-0.01,0.10
350.48,0.00,0.00,141.28,-170.31,-0.01,0.10
351.31,0.00,0.00,141.24,-170.24,-0.01,0.10
352.60,0.00,0.00,141.26,-170.22,-0.01,0.10
353.31,0.00,0.00,141.28,-170.27,-0.01,0.10
354.23,0.00,0.00,141.24,-170.35,-0.01,0.10
355.53,0.00,0.00,141.26,-170.35,-0.01,0.10
356.15,0.00,0.00,141.24,-170.27,-0.01,0.10
357.16,0.00,0.00,141.22,-170.35,-0.01,0.10
358.42,0.00,0.00,141.20,-170.31,-0.01,0.10
359.04,0.00,0.00,141.22,-170.31,-0.01,0.10
360.26,0.00,0.00,141.17,-170.24,-0.01,0.10
361.20,0.00,0.00,141.26,-170.31,-0.01,0.10
361.86,0.00,0.00,141.24,-170.22,-0.01,0.10
363.08,0.00,0.00,141.22,-170.29,-0.01,0.10
364.14,0.00,0.00,141.22,-170.29,-0.01,0.10
365.22,0.00,0.00,141.26,-170.31,-0.01,0.10
366.01,0.00,0.00,141.20,-170.31,-0.01,0.10
366.85,0.00,0.00,141.28,-170.35,-0.01,0.10
368.14,0.00,0.00,141.28,-170.31,-0.01,0.10
368.84,0.00,0.00,141.28,-170.24,-0.01,0.10
369.77,0.00,0.00,141.24,-170.27,-0.01,0.10
371.07,0.00,0.00,141.20,-170.24,-0.01,0.10
371.69,0.00,0.00,141.28,-170.31,-0.01,0.10
372.70,0.00,0.00,141.17,-170.31,-0.01,0.10
373.96,0.00,0.00,141.24,-170.27,-0.01,0.10
374.58,0.00,0.00,141.22,-170.27,-0.01,0.10
375.80,0.00,0.00,141.24,-170.38,-0.01,0.10
376.74,0.00,0.00,141.24,-170.31,-0.01,0.10
377.40,0.00,0.00,141.26,-170.29,-0.01,0.10
378.62,0.00,0.00,141.24,-170.29,-0.01,0.10
379.68,0.00,0.00,141.24,-170.27,-0.01,0.10
380.76,0.00,0.00,141.28,-170.31,-0.01,0.10
381.55,0.00,0.00,141.20,-170.35,-0.01,0.10
382.39,0.00,0.00,141.22,-170.31,-0.01,0.10
383.68,0.00,0.00,141.24,-170.29,-0.01,0.10
384.39,0.00,0.00,141.22,-170.22,-0.01,0.10
385.33,0.00,0.00,141.20,-170.27,-0.01,0.10
386.63,0.00,0.00,141.24,-170.33,-0.01,0.10
387.25,0.00,0.00,141.22,-170.24,-0.01,0.10
388.13,0.00,0.00,141.22,-170.27,-0.01,0.10
389.45,0.00,0.00,141.20,-170.22,-0.01,0.10
390.08,0.00,0.00,141.20,-170.29,-0.01,0.10
391.14,0.00,0.00,141.22,-170.27,-0.01,0.10
392.28,0.00,0.00,141.31,-170.31,-0.01,0.10
392.94,0.00,0.00,141.22,-170.33,-0.01,0.10
394.16,0.00,0.00,141.22,-170.31,-0.01,0.10
395.22,0.00,0.00,141.24,-170.31,-0.01,0.10
396.30,0.00,0.00,141.24,-170.27,-0.01,0.10
397.09,0.00,0.00,141.22,-170.20,-0.01,0.10
397.92,0.00,0.00,141.22,-170.35,-0.01,0.10
399.22,0.00,0.00,141.20,-170.24,-0.01,0.10
399.92,0.00,0.00,141.24,-170.31,-0.01,0.10
400.85,0.00,0.00,141.22,-170.29,-0.01,0.10
402.15,0.00,0.00,141.20,-170.24,-0.01,0.10
402.77,0.00,0.00,141.24,-170.31,-0.01,0.10
403.78,0.00,0.00,141.20,-170.29,-0.01,0.10
405.03,0.00,0.00,141.20,-170.24,-0.01,0.10
405.66,0.00,0.00,141.22,-170.31,-0.01,0.10
406.88,0.00,0.00,141.22,-170.27,-0.01,0.10
407.82,0.00,0.00,141.22,-170.27,-0.01,0.10
408.48,0.00,0.00,141.24,-170.29,-0.01,0.10
409.70,0.00,0.00,141.24,-170.31,-0.01,0.10
410.76,0.00,0.00,141.22,-170.33,-0.01,0.10
411.84,0.00,0.00,141.26,-170.29,-0.01,0.10
412.63,0.00,0.00,141.24,-170.33,-0.01,0.10
413.47,0.00,0.00,141.24,-170.29,-0.01,0.10
414.75,0.00,0.00,141.24,-170.31,-0.01,0.10
415.47,0.00,0.00,141.22,-170.29,-0.01,0.10
416.39,0.00,0.00,141.20,-170.27,-0.01,0.10
417.69,0.00,0.00,141.26,-170.31,-0.01,0.10
418.31,0.00,0.00,141.17,-170.31,-0.01,0.10
