Processing bluepill_f103c8 (platform: ststm32; board: bluepill_f103c8; framework: arduino)
--------------------------------------------------------------------------------
Verbose mode can be enabled via `-v, --verbose` option
CONFIGURATION: https://docs.platformio.org/page/boards/ststm32/bluepill_f103c8.html
PLATFORM: ST STM32 (17.0.0) > BluePill F103C8
HARDWARE: STM32F103C8T6 72MHz, 20KB RAM, 64KB Flash
DEBUG: Current (stlink) External (blackmagic, cmsis-dap, jlink, stlink)
PACKAGES: 
 - framework-arduinoststm32 @ 4.20600.231001 (2.6.0) 
 - framework-cmsis @ 2.50700.210515 (5.7.0) 
 - tool-dfuutil @ 1.11.0 
 - tool-dfuutil-arduino @ 1.11.0 
 - tool-openocd @ 3.1200.0 (12.0) 
 - tool-stm32duino @ 1.0.2 
 - toolchain-gccarmnoneeabi @ 1.120301.0 (12.3.1)
LDF: Library Dependency Finder -> https://bit.ly/configure-pio-ldf
LDF Modes: Finder ~ chain, Compatibility ~ soft
Found 17 compatible libraries
Scanning dependencies...
Dependency Graph
|-- ArduinoEigen @ 0.3.0
|-- SPI @ 1.0.0
Building in release mode
Compiling .pio\build\bluepill_f103c8\src\main.cpp.o
Linking .pio\build\bluepill_f103c8\firmware.elf
Checking size .pio\build\bluepill_f103c8\firmware.elf
Advanced Memory Usage is available via "PlatformIO Home > Project Inspect"
RAM:   [=         ]  10.3% (used 2108 bytes from 20480 bytes)
Flash: [====      ]  42.9% (used 28124 bytes from 65536 bytes)
Configuring upload protocol...
AVAILABLE: blackmagic, cmsis-dap, dfu, jlink, mbed, stlink
CURRENT: upload_protocol = stlink
Uploading .pio\build\bluepill_f103c8\firmware.elf
--- Terminal on COM5 | 460800 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Fully Homed
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),Left_Angle(deg),Right_Angle(deg),Left_Error(deg),Right_Error(deg),Left_PID,Right_PID,Left_Feed_Forward,Right_Feed_Forward,Left_PWM, Right_PWM,X_Puck(cm),Y_Puck(cm)
0.00,6.99,5.08,31.38,197.48,-0.11,0.11,0.00,0.00,-3.80,8.48,3.80,-8.48,0.07,0.05
1.65,6.99,5.08,31.36,197.48,-0.09,0.13,0.00,0.00,-3.79,8.55,3.79,-8.55,0.07,0.05
3.66,6.99,5.08,31.31,197.46,-0.05,0.26,0.00,0.00,-3.77,8.63,3.77,-8.63,0.07,0.05
5.41,7.00,5.09,31.14,197.57,0.12,0.29,0.00,0.00,-3.76,8.70,3.76,-8.70,0.07,0.05
7.15,7.00,5.09,30.96,197.63,0.29,0.43,0.00,0.00,-3.74,8.77,3.74,-8.77,0.07,0.05
8.89,7.01,5.10,30.83,197.65,0.42,0.66,0.00,0.00,-3.73,8.84,3.73,-8.84,0.07,0.05
10.96,7.02,5.11,30.56,197.76,0.67,0.93,0.00,0.00,-3.71,8.93,3.71,-8.93,0.07,0.05
12.79,7.03,5.13,30.34,197.81,0.88,1.28,0.00,0.00,-3.70,9.00,3.70,-9.00,0.07,0.05
14.62,7.05,5.14,30.08,197.72,1.13,1.82,0.00,0.00,-3.68,9.07,3.68,-9.07,0.07,0.05
16.37,7.06,5.16,29.86,197.85,1.34,2.18,0.00,0.00,-3.66,9.14,3.66,-9.14,0.07,0.05
18.29,7.08,5.18,29.53,198.07,1.65,2.56,0.00,0.00,-3.65,9.21,3.65,-9.21,0.07,0.05
20.13,7.10,5.20,29.16,198.31,2.01,2.96,0.00,0.00,-3.63,9.28,3.63,-9.28,0.07,0.05
21.88,7.12,5.22,28.89,198.60,2.25,3.33,0.00,0.00,-3.62,9.35,3.62,-9.35,0.07,0.05
23.75,7.14,5.24,28.50,198.91,2.63,3.79,0.00,0.00,-3.60,9.42,3.60,-9.42,0.07,0.05
25.52,7.16,5.26,28.26,199.15,2.85,4.33,0.00,0.00,-3.59,9.48,3.59,-9.48,0.07,0.05
27.34,7.19,5.29,27.93,199.43,3.15,4.90,0.00,0.00,-3.57,9.55,3.57,-9.55,0.07,0.05
29.09,7.22,5.32,27.62,199.94,3.43,5.27,0.00,0.00,-3.56,9.62,3.56,-9.62,0.07,0.05
