Processing bluepill_f103c8 (platform: ststm32; board: bluepill_f103c8; framework: arduino)
--------------------------------------------------------------------------------
Verbose mode can be enabled via `-v, --verbose` option
CONFIGURATION: https://docs.platformio.org/page/boards/ststm32/bluepill_f103c8.html
PLATFORM: ST STM32 (17.0.0) > BluePill F103C8
HARDWARE: STM32F103C8T6 72MHz, 20KB RAM, 64KB Flash
DEBUG: Current (stlink) External (blackmagic, cmsis-dap, jlink, stlink)
PACKAGES: 
 - framework-arduinoststm32 @ 4.20600.231001 (2.6.0) 
 - framework-cmsis @ 2.50700.210515 (5.7.0) 
 - tool-dfuutil @ 1.11.0 
 - tool-dfuutil-arduino @ 1.11.0 
 - tool-openocd @ 3.1200.0 (12.0) 
 - tool-stm32duino @ 1.0.2 
 - toolchain-gccarmnoneeabi @ 1.120301.0 (12.3.1)
LDF: Library Dependency Finder -> https://bit.ly/configure-pio-ldf
LDF Modes: Finder ~ chain, Compatibility ~ soft
Found 17 compatible libraries
Scanning dependencies...
Dependency Graph
|-- ArduinoEigen @ 0.3.0
|-- SPI @ 1.0.0
Building in release mode
Compiling .pio\build\bluepill_f103c8\src\main.cpp.o
Linking .pio\build\bluepill_f103c8\firmware.elf
Checking size .pio\build\bluepill_f103c8\firmware.elf
Advanced Memory Usage is available via "PlatformIO Home > Project Inspect"
RAM:   [=         ]  10.3% (used 2108 bytes from 20480 bytes)
Flash: [====      ]  42.9% (used 28124 bytes from 65536 bytes)
Configuring upload protocol...
AVAILABLE: blackmagic, cmsis-dap, dfu, jlink, mbed, stlink
CURRENT: upload_protocol = stlink
Uploading .pio\build\bluepill_f103c8\firmware.elf
--- Terminal on COM5 | 460800 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Fully Homed
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),Left_Angle(deg),Right_Angle(deg),Left_Error(deg),Right_Error(deg),Left_PID,Right_PID,Left_Feed_Forward,Right_Feed_Forward,Left_PWM, Right_PWM,X_Puck(cm),Y_Puck(cm)
0.00,6.99,5.08,31.25,197.59,0.02,0.00,0.00,0.00,-3.80,8.48,-3.80,8.48,0.07,0.05
1.63,6.99,5.08,31.25,197.57,0.02,0.05,0.00,0.00,-3.79,8.55,-3.79,8.55,0.07,0.05
3.65,6.99,5.08,31.29,197.61,-0.03,0.10,0.00,0.00,-3.77,8.63,-3.77,8.63,0.07,0.05
5.48,7.00,5.09,31.42,197.52,-0.16,0.34,0.00,0.00,-3.76,8.71,-3.76,8.71,0.07,0.05
7.23,7.00,5.10,31.66,197.43,-0.41,0.63,0.00,0.00,-3.74,8.78,-3.74,8.78,0.07,0.05
8.97,7.01,5.10,31.79,197.39,-0.55,0.94,0.00,0.00,-3.73,8.85,-3.73,8.85,0.07,0.05
10.95,7.02,5.11,31.93,197.39,-0.69,1.30,0.00,0.00,-3.71,8.93,-3.71,8.93,0.07,0.05
12.79,7.03,5.13,32.08,197.30,-0.85,1.78,0.00,0.00,-3.70,9.00,-3.70,9.00,0.07,0.05
14.54,7.05,5.14,32.26,197.28,-1.04,2.24,0.00,0.00,-3.68,9.07,-3.68,9.07,0.07,0.05
16.76,7.07,5.16,32.65,197.15,-1.46,3.00,0.00,0.00,-3.66,9.15,-3.66,9.15,0.07,0.05
18.57,7.08,5.18,33.00,196.89,-1.82,3.84,0.00,0.00,-3.65,9.22,-3.65,9.22,0.07,0.05
20.33,7.10,5.20,33.29,196.67,-2.13,4.68,0.00,0.00,-3.63,9.29,-3.63,9.29,0.07,0.05
22.08,7.12,5.22,33.62,196.47,-2.47,5.54,0.00,0.00,-3.62,9.36,-3.62,9.36,0.07,0.05
24.03,7.15,5.24,33.95,196.18,-2.83,6.63,0.00,0.00,-3.60,9.43,-3.60,9.43,0.07,0.05
25.80,7.17,5.27,34.15,196.12,-3.05,7.49,0.00,0.00,-3.58,9.49,-3.58,9.49,0.07,0.05
27.60,7.19,5.30,34.15,195.76,-3.07,8.70,0.00,0.00,-3.57,9.56,-3.57,9.56,0.07,0.05
29.80,7.23,5.33,34.12,195.72,-3.08,9.86,0.00,0.00,-3.55,9.64,-3.55,9.64,0.07,0.05
31.65,7.26,5.36,34.12,195.70,-3.11,10.89,0.00,0.00,-3.53,9.71,-3.53,9.71,0.07,0.05
33.49,7.29,5.40,34.19,195.83,-3.20,11.82,0.00,0.00,-3.52,9.77,-3.52,9.77,0.07,0.05
35.53,7.33,5.43,34.28,195.83,-3.33,13.06,0.00,0.00,-3.50,9.85,-3.50,9.85,0.07,0.05
37.38,7.36,5.47,34.37,195.85,-3.45,14.22,0.00,0.00,-3.48,9.91,-3.48,9.91,0.07,0.05
39.31,7.40,5.51,34.43,195.87,-3.55,15.50,0.00,0.00,-3.47,9.98,-3.47,9.98,0.07,0.05
41.07,7.44,5.55,34.30,195.98,-3.45,16.62,0.00,0.00,-3.45,10.04,-3.45,10.04,0.07,0.05
43.30,7.48,5.60,34.15,196.16,-3.34,18.09,0.00,0.00,-3.43,10.11,-3.43,10.11,0.07,0.05
45.17,7.53,5.65,34.04,196.36,-3.27,19.33,0.00,0.00,-3.42,10.18,-3.42,10.18,0.07,0.05
