Processing bluepill_f103c8 (platform: ststm32; board: bluepill_f103c8; framework: arduino)
--------------------------------------------------------------------------------
Verbose mode can be enabled via `-v, --verbose` option
CONFIGURATION: https://docs.platformio.org/page/boards/ststm32/bluepill_f103c8.html
PLATFORM: ST STM32 (17.0.0) > BluePill F103C8
HARDWARE: STM32F103C8T6 72MHz, 20KB RAM, 64KB Flash
DEBUG: Current (stlink) External (blackmagic, cmsis-dap, jlink, stlink)
PACKAGES: 
 - framework-arduinoststm32 @ 4.20600.231001 (2.6.0) 
 - framework-cmsis @ 2.50700.210515 (5.7.0) 
 - tool-dfuutil @ 1.11.0 
 - tool-dfuutil-arduino @ 1.11.0 
 - tool-openocd @ 3.1200.0 (12.0) 
 - tool-stm32duino @ 1.0.2 
 - toolchain-gccarmnoneeabi @ 1.120301.0 (12.3.1)
LDF: Library Dependency Finder -> https://bit.ly/configure-pio-ldf
LDF Modes: Finder ~ chain, Compatibility ~ soft
Found 17 compatible libraries
Scanning dependencies...
Dependency Graph
|-- ArduinoEigen @ 0.3.0
|-- SPI @ 1.0.0
Building in release mode
Compiling .pio\build\bluepill_f103c8\src\main.cpp.o
Linking .pio\build\bluepill_f103c8\firmware.elf
Checking size .pio\build\bluepill_f103c8\firmware.elf
Advanced Memory Usage is available via "PlatformIO Home > Project Inspect"
RAM:   [=         ]   8.0% (used 1632 bytes from 20480 bytes)
Flash: [====      ]  39.3% (used 25772 bytes from 65536 bytes)
Configuring upload protocol...
AVAILABLE: blackmagic, cmsis-dap, dfu, jlink, mbed, stlink
CURRENT: upload_protocol = stlink
Uploading .pio\build\bluepill_f103c8\firmware.elf
--- Terminal on COM5 | 460800 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),X_Puck(cm),Y_Puck(cm),Left_Angle(deg),Right_Angle(deg),Left_PWM,Right_PWM
0.00,0.00,0.00,-0.29,4.79,83.14,-73.67,30.00,-30.00
1.69,0.00,0.00,-0.29,4.79,83.12,-73.65,30.00,-30.00
2.61,0.00,0.00,-0.29,4.77,82.88,-73.39,30.00,-30.00
3.80,0.00,0.00,-0.29,4.75,82.49,-73.04,30.00,-30.00
5.09,0.00,0.00,-0.29,4.72,82.00,-72.60,30.00,-30.00
6.42,0.00,0.00,-0.28,4.70,81.54,-72.22,30.00,-30.00
7.26,0.00,0.00,-0.28,4.68,81.28,-71.98,30.00,-30.00
8.55,0.00,0.00,-0.28,4.66,80.99,-71.70,30.00,-30.00
9.52,0.00,0.00,-0.28,4.65,80.68,-71.46,30.00,-30.00
10.87,0.00,0.00,-0.28,4.62,80.24,-70.97,30.00,-30.00
12.13,0.00,0.00,-0.28,4.60,79.85,-70.69,30.00,-30.00
13.49,0.00,0.00,-0.27,4.56,79.10,-70.18,30.00,-30.00
14.33,0.00,0.00,-0.27,4.53,78.62,-69.83,30.00,-30.00
15.64,0.00,0.00,-0.27,4.49,77.83,-69.02,30.00,-30.00
16.97,0.00,0.00,-0.27,4.43,76.97,-67.98,30.00,-30.00
17.92,0.00,0.00,-0.28,4.38,76.22,-67.17,30.00,-30.00
19.30,0.00,0.00,-0.28,4.31,75.17,-66.05,30.00,-30.00
20.49,0.00,0.00,-0.28,4.26,74.25,-65.19,30.00,-30.00
21.43,0.00,0.00,-0.28,4.21,73.61,-64.36,30.00,-30.00
22.73,0.00,0.00,-0.28,4.15,72.47,-63.37,30.00,-30.00
24.04,0.00,0.00,-0.29,4.08,71.48,-62.14,30.00,-30.00
25.09,0.00,0.00,-0.29,4.03,70.69,-61.17,30.00,-30.00
26.35,0.00,0.00,-0.29,3.95,69.35,-59.99,30.00,-30.00
27.70,0.00,0.00,-0.30,3.87,68.14,-58.43,30.00,-30.00
28.98,0.00,0.00,-0.30,3.78,66.84,-57.00,30.00,-30.00
29.83,0.00,0.00,-0.30,3.72,65.83,-56.03,30.00,-30.00
31.15,0.00,0.00,-0.30,3.63,64.23,-54.49,30.00,-30.00
