Processing bluepill_f103c8 (platform: ststm32; board: bluepill_f103c8; framework: arduino)
--------------------------------------------------------------------------------
Verbose mode can be enabled via `-v, --verbose` option
CONFIGURATION: https://docs.platformio.org/page/boards/ststm32/bluepill_f103c8.html
PLATFORM: ST STM32 (17.0.0) > BluePill F103C8
HARDWARE: STM32F103C8T6 72MHz, 20KB RAM, 64KB Flash
DEBUG: Current (stlink) External (blackmagic, cmsis-dap, jlink, stlink)
PACKAGES: 
 - framework-arduinoststm32 @ 4.20600.231001 (2.6.0) 
 - framework-cmsis @ 2.50700.210515 (5.7.0) 
 - tool-dfuutil @ 1.11.0 
 - tool-dfuutil-arduino @ 1.11.0 
 - tool-openocd @ 3.1200.0 (12.0) 
 - tool-stm32duino @ 1.0.2 
 - toolchain-gccarmnoneeabi @ 1.120301.0 (12.3.1)
LDF: Library Dependency Finder -> https://bit.ly/configure-pio-ldf
LDF Modes: Finder ~ chain, Compatibility ~ soft
Found 17 compatible libraries
Scanning dependencies...
Dependency Graph
|-- ArduinoEigen @ 0.3.0
|-- SPI @ 1.0.0
Building in release mode
Checking size .pio\build\bluepill_f103c8\firmware.elf
Advanced Memory Usage is available via "PlatformIO Home > Project Inspect"
RAM:   [=         ]  10.4% (used 2120 bytes from 20480 bytes)
Flash: [====      ]  43.2% (used 28304 bytes from 65536 bytes)
Configuring upload protocol...
AVAILABLE: blackmagic, cmsis-dap, dfu, jlink, mbed, stlink
CURRENT: upload_protocol = stlink
Uploading .pio\build\bluepill_f103c8\firmware.elf
--- Terminal on COM5 | 460800 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Fully Homed
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),X_Puck(cm),Y_Puck(cm),Left_Angle(deg),Right_Angle(deg),Left_Error(deg),Right_Error(deg),Left_PID,Right_PID,Left_Feed_Forward,Right_Feed_Forward,Left_PWM, Right_PWM
0.00,6.99,5.08,6.99,5.09,197.72,31.20,-0.13,0.07,-0.13,0.07,72.23,-38.87,72.09,-38.80
1.85,6.99,5.08,6.99,5.08,197.65,31.20,-0.07,0.07,-0.07,0.07,72.15,-38.38,72.08,-38.32
4.16,6.99,5.08,7.01,5.13,198.64,30.72,-1.05,0.55,-1.05,0.55,72.04,-37.77,70.98,-37.22
6.34,6.99,5.09,7.04,5.22,200.73,29.66,-2.92,1.38,-2.92,1.38,71.91,-37.19,68.99,-35.81
8.34,6.99,5.16,7.07,5.31,202.60,28.89,-3.67,1.04,-3.67,1.04,71.78,-36.65,68.10,-35.61
10.77,6.99,5.27,7.12,5.39,204.77,28.37,-4.11,-0.17,-4.11,-0.17,71.60,-35.99,67.49,-36.16
12.83,6.99,5.38,7.16,5.45,206.47,28.04,-4.00,-1.65,-4.00,-1.65,71.43,-35.43,67.43,-37.07
15.12,6.99,5.52,7.23,5.55,209.26,27.60,-4.44,-3.55,-4.44,-3.55,71.22,-34.80,66.78,-38.35
17.22,6.99,5.67,7.31,5.69,212.75,26.61,-5.47,-5.03,-5.47,-5.03,71.02,-34.22,65.54,-39.25
19.24,6.99,5.83,7.40,5.86,217.17,25.27,-7.23,-6.35,-7.23,-6.35,70.80,-33.66,63.58,-40.01
21.28,6.99,6.01,7.51,6.06,222.04,23.69,-9.16,-7.72,-9.16,-7.72,70.57,-33.09,61.41,-40.81
23.41,6.99,6.22,7.60,6.25,226.75,22.06,-10.49,-9.46,-10.49,-9.46,70.31,-32.49,59.82,-41.95
25.65,6.99,6.46,7.70,6.45,231.62,20.43,-11.50,-11.70,-11.50,-11.70,70.02,-31.85,58.51,-43.55
27.78,6.99,6.70,7.80,6.67,236.88,18.44,-12.79,-13.67,-12.79,-13.67,69.72,-31.25,56.93,-44.91
30.34,6.99,7.01,7.93,6.98,244.02,15.56,-14.81,-15.91,-14.81,-15.91,69.35,-30.51,54.54,-46.42
32.45,6.99,7.29,8.03,7.27,250.34,12.46,-16.63,-17.32,-16.63,-17.32,69.02,-29.90,52.39,-47.22
35.18,7.08,7.67,8.17,7.66,259.16,8.22,-17.67,-17.76,-17.67,-17.76,68.57,-29.11,50.89,-46.86
37.24,7.32,7.97,8.26,7.97,265.79,4.70,-15.43,-15.28,-15.43,-15.28,68.21,-28.51,52.78,-43.79
39.29,7.57,8.29,8.35,8.28,272.34,1.10,-12.70,-12.76,-12.70,-12.76,67.84,-27.90,55.14,-40.66
41.74,7.89,8.68,8.46,8.67,280.43,-3.49,-9.15,-9.51,-9.15,-9.51,67.37,-27.17,58.22,-36.69
43.80,8.16,9.03,8.56,9.03,287.98,-7.82,-6.51,-6.35,-6.51,-6.35,66.96,-26.56,60.45,-32.91
45.82,8.45,9.39,8.64,9.41,295.54,-12.59,-3.63,-2.77,-3.63,-2.77,66.54,-25.95,62.91,-28.72
47.95,8.75,9.77,8.74,9.83,304.02,-17.75,-0.77,1.12,-0.77,1.12,66.09,-25.31,65.32,-24.19
50.40,9.12,10.23,8.88,10.32,314.20,-23.53,2.63,5.38,2.63,5.38,65.54,-24.57,68.18,-19.19
52.56,9.46,10.65,9.00,10.75,323.29,-28.54,5.98,9.02,5.98,9.02,65.04,-23.91,71.02,-14.89
54.66,9.80,11.07,9.15,11.18,332.72,-33.20,8.99,12.32,8.99,12.32,64.54,-23.26,73.53,-10.94
56.68,10.13,11.49,9.30,11.61,342.21,-37.77,11.82,15.55,11.82,15.55,64.04,-22.64,75.86,-7.08
58.97,10.53,11.98,9.50,12.12,353.86,-42.87,14.50,19.12,14.50,19.12,63.46,-21.93,77.95,-2.81
61.41,10.95,12.51,9.74,12.69,367.11,-48.21,16.98,22.79,16.98,22.79,62.82,-21.16,79.79,1.63
63.65,11.36,13.01,10.00,13.22,380.12,-52.80,18.86,25.82,18.86,25.82,62.20,-20.46,80.00,5.37
66.42,11.88,13.65,10.34,13.87,396.42,-57.79,21.40,28.86,21.40,28.86,61.42,-19.58,80.00,9.29
68.67,12.31,14.18,10.66,14.41,410.46,-61.41,23.11,30.88,23.11,30.88,60.77,-18.86,80.00,12.02
