Processing bluepill_f103c8 (platform: ststm32; board: bluepill_f103c8; framework: arduino)
--------------------------------------------------------------------------------
Verbose mode can be enabled via `-v, --verbose` option
CONFIGURATION: https://docs.platformio.org/page/boards/ststm32/bluepill_f103c8.html
PLATFORM: ST STM32 (17.0.0) > BluePill F103C8
HARDWARE: STM32F103C8T6 72MHz, 20KB RAM, 64KB Flash
DEBUG: Current (stlink) External (blackmagic, cmsis-dap, jlink, stlink)
PACKAGES: 
 - framework-arduinoststm32 @ 4.20600.231001 (2.6.0) 
 - framework-cmsis @ 2.50700.210515 (5.7.0) 
 - tool-dfuutil @ 1.11.0 
 - tool-dfuutil-arduino @ 1.11.0 
 - tool-openocd @ 3.1200.0 (12.0) 
 - tool-stm32duino @ 1.0.2 
 - toolchain-gccarmnoneeabi @ 1.120301.0 (12.3.1)
LDF: Library Dependency Finder -> https://bit.ly/configure-pio-ldf
LDF Modes: Finder ~ chain, Compatibility ~ soft
Found 17 compatible libraries
Scanning dependencies...
Dependency Graph
|-- ArduinoEigen @ 0.3.0
|-- SPI @ 1.0.0
Building in release mode
Compiling .pio\build\bluepill_f103c8\src\main.cpp.o
Linking .pio\build\bluepill_f103c8\firmware.elf
Checking size .pio\build\bluepill_f103c8\firmware.elf
Advanced Memory Usage is available via "PlatformIO Home > Project Inspect"
RAM:   [=         ]  10.4% (used 2120 bytes from 20480 bytes)
Flash: [====      ]  43.2% (used 28304 bytes from 65536 bytes)
Configuring upload protocol...
AVAILABLE: blackmagic, cmsis-dap, dfu, jlink, mbed, stlink
CURRENT: upload_protocol = stlink
Uploading .pio\build\bluepill_f103c8\firmware.elf
--- Terminal on COM5 | 460800 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Fully Homed
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),X_Puck(cm),Y_Puck(cm),Left_Angle(deg),Right_Angle(deg),Left_Error(deg),Right_Error(deg),Left_PID,Right_PID,Left_Feed_Forward,Right_Feed_Forward,Left_PWM, Right_PWM
0.00,6.99,5.08,6.99,5.08,197.46,31.25,0.13,0.02,0.13,0.02,72.23,-38.87,72.36,-38.85
1.84,6.99,5.08,6.99,5.08,197.52,31.27,0.07,0.00,0.07,0.00,72.15,-38.38,72.22,-38.38
3.84,6.99,5.08,7.00,5.11,198.16,30.98,-0.57,0.29,-0.57,0.29,72.05,-37.85,71.48,-37.57
5.92,6.99,5.08,7.03,5.20,200.14,30.04,-2.52,1.20,-2.52,1.20,71.94,-37.30,69.42,-36.10
7.93,6.99,5.15,7.08,5.29,202.42,29.25,-3.75,0.94,-3.75,0.94,71.81,-36.76,68.05,-35.82
10.16,6.99,5.24,7.12,5.36,204.29,28.76,-4.11,-0.09,-4.11,-0.09,71.65,-36.15,67.54,-36.25
12.25,6.99,5.34,7.17,5.42,206.16,28.65,-4.24,-1.72,-4.24,-1.72,71.48,-35.59,67.24,-37.31
14.70,6.99,5.49,7.25,5.51,208.82,28.39,-4.46,-3.89,-4.46,-3.89,71.26,-34.91,66.80,-38.80
16.77,6.99,5.64,7.33,5.64,212.24,27.62,-5.52,-5.49,-5.52,-5.49,71.06,-34.34,65.55,-39.84
18.85,6.99,5.80,7.43,5.82,216.84,26.43,-7.44,-6.98,-7.44,-6.98,70.84,-33.77,63.41,-40.75
21.23,6.99,6.01,7.55,6.04,222.46,24.57,-9.64,-8.53,-9.64,-8.53,70.57,-33.10,60.94,-41.64
23.33,6.99,6.21,7.65,6.24,227.30,23.09,-11.16,-10.37,-11.16,-10.37,70.32,-32.51,59.15,-42.88
25.79,6.99,6.47,7.75,6.45,232.53,21.27,-12.15,-12.79,-12.15,-12.79,70.00,-31.81,57.85,-44.60
27.91,6.99,6.71,7.85,6.67,237.73,19.23,-13.40,-14.70,-13.40,-14.70,69.70,-31.21,56.30,-45.91
30.56,6.99,7.04,7.97,6.99,244.98,15.97,-15.32,-16.78,-15.32,-16.78,69.31,-30.45,53.99,-47.23
32.66,6.99,7.31,8.06,7.28,251.20,12.74,-17.03,-18.06,-17.03,-18.06,68.98,-29.84,51.95,-47.90
35.50,7.12,7.71,8.19,7.70,260.14,8.13,-17.32,-17.83,-17.32,-17.83,68.51,-29.01,51.19,-46.84
37.57,7.36,8.02,8.28,8.01,266.69,4.37,-14.87,-15.12,-14.87,-15.12,68.15,-28.41,53.28,-43.53
39.65,7.62,8.34,8.36,8.33,273.20,0.57,-11.85,-12.43,-11.85,-12.43,67.77,-27.79,55.91,-40.22
42.34,7.97,8.78,8.48,8.77,282.32,-4.81,-8.08,-8.53,-8.08,-8.53,67.25,-26.99,59.17,-35.53
44.37,8.24,9.13,8.56,9.14,289.76,-9.54,-5.36,-4.97,-5.36,-4.97,66.84,-26.39,61.48,-31.36
46.41,8.53,9.49,8.65,9.52,297.45,-14.39,-2.43,-1.32,-2.43,-1.32,66.42,-25.77,63.98,-27.09
48.55,8.84,9.88,8.75,9.94,305.87,-19.53,0.69,2.53,0.69,2.53,65.96,-25.13,66.64,-22.60
50.56,9.15,10.26,8.86,10.34,314.18,-24.26,3.60,6.00,3.60,6.00,65.51,-24.52,69.11,-18.51
52.76,9.49,10.69,8.98,10.79,323.60,-29.53,6.82,9.88,6.82,9.88,65.00,-23.85,71.82,-13.96
54.94,9.84,11.13,9.13,11.24,333.47,-34.54,9.93,13.47,9.93,13.47,64.47,-23.17,74.40,-9.70
57.14,10.21,11.59,9.30,11.71,343.97,-39.48,12.89,16.96,12.89,16.96,63.93,-22.49,76.82,-5.53
59.39,10.60,12.07,9.50,12.22,355.55,-44.65,15.52,20.61,15.52,20.61,63.35,-21.79,78.87,-1.19
62.07,11.07,12.65,9.76,12.85,370.07,-50.58,18.37,24.70,18.37,24.70,62.64,-20.95,81.00,3.75
64.32,11.48,13.16,10.02,13.38,382.97,-55.02,20.48,27.58,20.48,27.58,62.02,-20.25,82.50,7.33
66.34,11.86,13.63,10.27,13.86,395.01,-58.73,22.27,29.86,22.27,29.86,61.44,-19.60,83.71,10.26
69.08,12.39,14.27,10.66,14.52,412.13,-63.19,24.32,32.37,24.32,32.37,60.64,-18.73,84.96,13.64
71.18,12.80,14.78,10.99,15.03,426.04,-66.07,25.49,33.74,25.49,33.74,60.01,-18.05,85.50,15.68
73.57,13.28,15.36,11.43,15.63,443.00,-68.77,25.99,34.71,25.99,34.71,59.27,-17.28,85.26,17.43
75.79,13.74,15.92,11.88,16.21,459.81,-70.80,25.74,35.12,25.74,35.12,58.56,-16.56,84.31,18.55
78.65,14.34,16.65,12.52,16.96,482.60,-72.53,24.79,34.76,24.79,34.76,57.62,-15.62,82.41,19.13
80.90,14.82,17.23,13.09,17.55,501.45,-73.04,23.34,33.62,23.34,33.62,56.87,-14.89,80.21,18.73
83.15,15.32,17.83,13.68,18.14,520.81,-73.04,21.74,31.97,21.74,31.97,56.09,-14.14,77.83,17.82
85.45,15.83,18.44,14.32,18.75,541.50,-72.53,19.53,29.77,19.53,29.77,55.27,-13.37,74.80,16.40
87.86,16.37,19.09,15.04,19.41,564.05,-71.48,16.55,26.96,16.55,26.96,54.40,-12.57,70.95,14.39
90.16,16.90,19.72,15.76,20.04,586.18,-70.09,13.40,23.90,13.40,23.90,53.54,-11.79,66.94,12.11
92.79,17.52,20.46,16.62,20.78,612.12,-68.14,9.51,20.04,9.51,20.04,52.54,-10.90,62.05,9.14
95.04,18.05,21.09,17.37,21.41,634.93,-66.16,5.71,16.46,5.71,16.46,51.66,-10.14,57.37,6.32
97.03,18.53,21.65,18.06,21.98,655.37,-64.14,2.37,13.02,2.37,13.02,50.86,-9.45,53.23,3.57
