Processing bluepill_f103c8 (platform: ststm32; board: bluepill_f103c8; framework: arduino)
--------------------------------------------------------------------------------
Verbose mode can be enabled via `-v, --verbose` option
CONFIGURATION: https://docs.platformio.org/page/boards/ststm32/bluepill_f103c8.html
PLATFORM: ST STM32 (17.0.0) > BluePill F103C8
HARDWARE: STM32F103C8T6 72MHz, 20KB RAM, 64KB Flash
DEBUG: Current (stlink) External (blackmagic, cmsis-dap, jlink, stlink)
PACKAGES: 
 - framework-arduinoststm32 @ 4.20600.231001 (2.6.0) 
 - framework-cmsis @ 2.50700.210515 (5.7.0) 
 - tool-dfuutil @ 1.11.0 
 - tool-dfuutil-arduino @ 1.11.0 
 - tool-openocd @ 3.1200.0 (12.0) 
 - tool-stm32duino @ 1.0.2 
 - toolchain-gccarmnoneeabi @ 1.120301.0 (12.3.1)
LDF: Library Dependency Finder -> https://bit.ly/configure-pio-ldf
LDF Modes: Finder ~ chain, Compatibility ~ soft
Found 17 compatible libraries
Scanning dependencies...
Dependency Graph
|-- ArduinoEigen @ 0.3.0
|-- SPI @ 1.0.0
Building in release mode
Compiling .pio\build\bluepill_f103c8\src\main.cpp.o
Linking .pio\build\bluepill_f103c8\firmware.elf
Checking size .pio\build\bluepill_f103c8\firmware.elf
Advanced Memory Usage is available via "PlatformIO Home > Project Inspect"
RAM:   [=         ]   8.0% (used 1632 bytes from 20480 bytes)
Flash: [====      ]  39.5% (used 25884 bytes from 65536 bytes)
Configuring upload protocol...
AVAILABLE: blackmagic, cmsis-dap, dfu, jlink, mbed, stlink
CURRENT: upload_protocol = stlink
Uploading .pio\build\bluepill_f103c8\firmware.elf
--- Terminal on COM5 | 460800 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),X_Puck(cm),Y_Puck(cm),Left_Angle(deg),Right_Angle(deg),Left_PWM,Right_PWM
0.00,0.00,0.00,0.35,2.96,54.14,-42.65,-50.00,-50.00
1.69,0.00,0.00,0.34,2.96,54.01,-42.82,-50.00,-50.00
2.62,0.00,0.00,0.32,2.95,53.59,-43.15,-50.00,-50.00
3.80,0.00,0.00,0.28,2.95,52.82,-43.77,-50.00,-50.00
5.12,0.00,0.00,0.21,2.95,51.77,-44.76,-50.00,-50.00
6.40,0.00,0.00,0.14,2.95,50.58,-45.86,-50.00,-50.00
7.23,0.00,0.00,0.10,2.94,49.77,-46.63,-50.00,-50.00
8.54,0.00,0.00,-0.00,2.95,48.21,-48.36,-50.00,-50.00
9.57,0.00,0.00,-0.10,2.95,46.67,-49.83,-50.00,-50.00
10.93,0.00,0.00,-0.24,2.94,44.32,-52.10,-50.00,-50.00
12.14,0.00,0.00,-0.38,2.96,42.17,-54.60,-50.00,-50.00
13.51,0.00,0.00,-0.56,2.96,39.35,-57.61,-50.00,-50.00
14.33,0.00,0.00,-0.67,2.97,37.60,-59.57,-50.00,-50.00
15.65,0.00,0.00,-0.86,2.97,34.48,-62.67,-50.00,-50.00
16.97,0.00,0.00,-1.08,2.95,30.67,-66.07,-50.00,-50.00
18.15,0.00,0.00,-1.28,2.94,27.16,-69.19,-50.00,-50.00
19.32,0.00,0.00,-1.50,2.93,23.47,-72.49,-50.00,-50.00
20.71,0.00,0.00,-1.76,2.93,19.09,-76.73,-50.00,-50.00
21.98,0.00,0.00,-2.02,2.93,14.85,-81.08,-50.00,-50.00
22.83,0.00,0.00,-2.21,2.93,11.89,-84.18,-50.00,-50.00
24.15,0.00,0.00,-2.51,2.93,6.99,-89.01,-50.00,-50.00
25.47,0.00,0.00,-2.81,2.93,1.91,-94.00,-50.00,-50.00
26.56,0.00,0.00,-3.09,2.92,-2.70,-98.33,-50.00,-50.00
27.77,0.00,0.00,-3.39,2.92,-7.69,-103.38,-50.00,-50.00
29.16,0.00,0.00,-3.77,2.92,-13.80,-109.49,-50.00,-50.00
30.52,0.00,0.00,-4.15,2.92,-20.28,-115.73,-50.00,-50.00
31.83,0.00,0.00,-4.53,2.91,-26.56,-121.79,-50.00,-50.00
32.68,0.00,0.00,-4.78,2.91,-30.61,-125.90,-50.00,-50.00
34.02,0.00,0.00,-5.19,2.91,-37.24,-132.52,-50.00,-50.00
35.37,0.00,0.00,-5.60,2.91,-44.03,-139.22,-50.00,-50.00
36.72,0.00,0.00,-6.03,2.91,-51.17,-146.34,-50.00,-50.00
37.82,0.00,0.00,-6.41,2.91,-57.30,-152.45,-50.00,-50.00
39.13,0.00,0.00,-6.85,2.91,-64.60,-159.74,-50.00,-50.00
40.47,0.00,0.00,-7.32,2.90,-72.33,-167.41,-50.00,-50.00
41.83,0.00,0.00,-7.81,2.91,-80.27,-175.41,-50.00,-50.00
43.16,0.00,0.00,-8.30,2.90,-88.42,-183.43,-50.00,-50.00
43.98,0.00,0.00,-8.61,2.90,-93.49,-188.48,-50.00,-50.00
45.33,0.00,0.00,-9.13,2.90,-102.02,-197.01,-50.00,-50.00
46.68,0.00,0.00,-9.67,2.90,-110.76,-205.73,-50.00,-50.00
48.02,0.00,0.00,-10.20,2.91,-119.44,-214.56,-50.00,-50.00
49.23,0.00,0.00,-10.70,2.91,-127.49,-222.74,-50.00,-50.00
50.48,0.00,0.00,-11.22,2.91,-136.01,-231.22,-50.00,-50.00
51.88,0.00,0.00,-11.80,2.91,-145.66,-240.84,-50.00,-50.00
53.20,0.00,0.00,-12.38,2.90,-155.13,-250.11,-50.00,-50.00
