Processing bluepill_f103c8 (platform: ststm32; board: bluepill_f103c8; framework: arduino)
--------------------------------------------------------------------------------
Verbose mode can be enabled via `-v, --verbose` option
CONFIGURATION: https://docs.platformio.org/page/boards/ststm32/bluepill_f103c8.html
PLATFORM: ST STM32 (17.0.0) > BluePill F103C8
HARDWARE: STM32F103C8T6 72MHz, 20KB RAM, 64KB Flash
DEBUG: Current (stlink) External (blackmagic, cmsis-dap, jlink, stlink)
PACKAGES: 
 - framework-arduinoststm32 @ 4.20600.231001 (2.6.0) 
 - framework-cmsis @ 2.50700.210515 (5.7.0) 
 - tool-dfuutil @ 1.11.0 
 - tool-dfuutil-arduino @ 1.11.0 
 - tool-openocd @ 3.1200.0 (12.0) 
 - tool-stm32duino @ 1.0.2 
 - toolchain-gccarmnoneeabi @ 1.120301.0 (12.3.1)
LDF: Library Dependency Finder -> https://bit.ly/configure-pio-ldf
LDF Modes: Finder ~ chain, Compatibility ~ soft
Found 17 compatible libraries
Scanning dependencies...
Dependency Graph
|-- ArduinoEigen @ 0.3.0
|-- SPI @ 1.0.0
Building in release mode
Compiling .pio\build\bluepill_f103c8\src\main.cpp.o
Linking .pio\build\bluepill_f103c8\firmware.elf
Checking size .pio\build\bluepill_f103c8\firmware.elf
Advanced Memory Usage is available via "PlatformIO Home > Project Inspect"
RAM:   [=         ]   8.0% (used 1632 bytes from 20480 bytes)
Flash: [====      ]  39.5% (used 25884 bytes from 65536 bytes)
Configuring upload protocol...
AVAILABLE: blackmagic, cmsis-dap, dfu, jlink, mbed, stlink
CURRENT: upload_protocol = stlink
Uploading .pio\build\bluepill_f103c8\firmware.elf
--- Terminal on COM5 | 460800 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),X_Puck(cm),Y_Puck(cm),Left_Angle(deg),Right_Angle(deg),Left_PWM,Right_PWM
0.00,0.00,0.00,-0.37,3.44,50.23,-62.29,-75.00,-75.00
1.70,0.00,0.00,-0.38,3.44,50.08,-62.47,-75.00,-75.00
2.65,0.00,0.00,-0.41,3.43,49.42,-62.84,-75.00,-75.00
3.86,0.00,0.00,-0.48,3.43,48.30,-63.92,-75.00,-75.00
5.13,0.00,0.00,-0.56,3.42,46.69,-65.15,-75.00,-75.00
6.51,0.00,0.00,-0.67,3.41,44.78,-66.86,-75.00,-75.00
7.32,0.00,0.00,-0.75,3.41,43.64,-68.14,-75.00,-75.00
8.63,0.00,0.00,-0.88,3.42,41.48,-70.38,-75.00,-75.00
9.95,0.00,0.00,-1.04,3.43,39.11,-73.17,-75.00,-75.00
10.90,0.00,0.00,-1.18,3.45,37.13,-75.67,-75.00,-75.00
12.28,0.00,0.00,-1.40,3.47,33.86,-79.78,-75.00,-75.00
13.55,0.00,0.00,-1.64,3.49,30.21,-83.89,-75.00,-75.00
14.94,0.00,0.00,-1.92,3.48,25.49,-88.48,-75.00,-75.00
15.75,0.00,0.00,-2.10,3.47,22.50,-91.19,-75.00,-75.00
17.08,0.00,0.00,-2.40,3.46,17.42,-95.98,-75.00,-75.00
18.39,0.00,0.00,-2.72,3.45,12.08,-100.99,-75.00,-75.00
19.47,0.00,0.00,-2.99,3.45,7.45,-105.49,-75.00,-75.00
20.77,0.00,0.00,-3.35,3.45,1.52,-111.29,-75.00,-75.00
22.09,0.00,0.00,-3.73,3.44,-4.77,-117.42,-75.00,-75.00
23.43,0.00,0.00,-4.15,3.44,-11.54,-124.30,-75.00,-75.00
24.78,0.00,0.00,-4.59,3.46,-18.48,-131.68,-75.00,-75.00
25.60,0.00,0.00,-4.86,3.46,-22.96,-136.30,-75.00,-75.00
26.95,0.00,0.00,-5.34,3.46,-30.74,-144.03,-75.00,-75.00
28.29,0.00,0.00,-5.83,3.46,-38.78,-152.05,-75.00,-75.00
29.39,0.00,0.00,-6.25,3.45,-45.81,-158.71,-75.00,-75.00
30.69,0.00,0.00,-6.76,3.44,-54.32,-166.86,-75.00,-75.00
