Processing bluepill_f103c8 (platform: ststm32; board: bluepill_f103c8; framework: arduino)
--------------------------------------------------------------------------------
Verbose mode can be enabled via `-v, --verbose` option
CONFIGURATION: https://docs.platformio.org/page/boards/ststm32/bluepill_f103c8.html
PLATFORM: ST STM32 (17.0.0) > BluePill F103C8
HARDWARE: STM32F103C8T6 72MHz, 20KB RAM, 64KB Flash
DEBUG: Current (stlink) External (blackmagic, cmsis-dap, jlink, stlink)
PACKAGES: 
 - framework-arduinoststm32 @ 4.20600.231001 (2.6.0) 
 - framework-cmsis @ 2.50700.210515 (5.7.0) 
 - tool-dfuutil @ 1.11.0 
 - tool-dfuutil-arduino @ 1.11.0 
 - tool-openocd @ 3.1200.0 (12.0) 
 - tool-stm32duino @ 1.0.2 
 - toolchain-gccarmnoneeabi @ 1.120301.0 (12.3.1)
LDF: Library Dependency Finder -> https://bit.ly/configure-pio-ldf
LDF Modes: Finder ~ chain, Compatibility ~ soft
Found 17 compatible libraries
Scanning dependencies...
Dependency Graph
|-- ArduinoEigen @ 0.3.0
|-- SPI @ 1.0.0
Building in release mode
Compiling .pio\build\bluepill_f103c8\src\main.cpp.o
Linking .pio\build\bluepill_f103c8\firmware.elf
Checking size .pio\build\bluepill_f103c8\firmware.elf
Advanced Memory Usage is available via "PlatformIO Home > Project Inspect"
RAM:   [=         ]   8.0% (used 1632 bytes from 20480 bytes)
Flash: [====      ]  39.5% (used 25884 bytes from 65536 bytes)
Configuring upload protocol...
AVAILABLE: blackmagic, cmsis-dap, dfu, jlink, mbed, stlink
CURRENT: upload_protocol = stlink
Uploading .pio\build\bluepill_f103c8\firmware.elf
--- Terminal on COM5 | 460800 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),X_Puck(cm),Y_Puck(cm),Left_Angle(deg),Right_Angle(deg),Left_PWM,Right_PWM
0.00,0.00,0.00,1.35,5.10,105.69,-61.39,75.00,-75.00
1.69,0.00,0.00,1.35,5.12,105.95,-61.61,75.00,-75.00
2.62,0.00,0.00,1.36,5.15,106.44,-62.05,75.00,-75.00
3.80,0.00,0.00,1.36,5.21,107.45,-63.04,75.00,-75.00
5.09,0.00,0.00,1.36,5.28,108.74,-64.20,75.00,-75.00
6.45,0.00,0.00,1.37,5.36,110.28,-65.37,75.00,-75.00
7.26,0.00,0.00,1.38,5.41,111.09,-66.07,75.00,-75.00
8.56,0.00,0.00,1.39,5.48,112.39,-66.95,75.00,-75.00
9.51,0.00,0.00,1.39,5.52,113.23,-67.59,75.00,-75.00
10.87,0.00,0.00,1.40,5.59,114.39,-68.51,75.00,-75.00
12.13,0.00,0.00,1.40,5.65,115.47,-69.54,75.00,-75.00
13.47,0.00,0.00,1.40,5.73,116.83,-70.91,75.00,-75.00
14.30,0.00,0.00,1.40,5.80,117.88,-71.96,75.00,-75.00
15.61,0.00,0.00,1.40,5.92,119.86,-73.89,75.00,-75.00
16.67,0.00,0.00,1.40,6.03,121.60,-75.70,75.00,-75.00
17.96,0.00,0.00,1.40,6.18,124.10,-78.24,75.00,-75.00
19.32,0.00,0.00,1.40,6.35,126.80,-81.06,75.00,-75.00
20.47,0.00,0.00,1.40,6.50,129.20,-83.52,75.00,-75.00
21.43,0.00,0.00,1.39,6.62,131.13,-85.63,75.00,-75.00
22.74,0.00,0.00,1.39,6.79,133.92,-88.44,75.00,-75.00
24.04,0.00,0.00,1.40,6.97,136.96,-91.27,75.00,-75.00
25.08,0.00,0.00,1.39,7.12,139.37,-93.82,75.00,-75.00
26.39,0.00,0.00,1.39,7.33,142.80,-97.27,75.00,-75.00
27.64,0.00,0.00,1.39,7.55,146.29,-100.85,75.00,-75.00
29.02,0.00,0.00,1.38,7.80,150.25,-105.12,75.00,-75.00
29.84,0.00,0.00,1.38,7.95,152.71,-107.58,75.00,-75.00
31.16,0.00,0.00,1.37,8.19,156.56,-111.69,75.00,-75.00
