Fully Homed
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),X_Puck(cm),Y_Puck(cm),Left_Angle(deg),Right_Angle(deg),Left_Error(deg),Right_Error(deg),Left_PID,Right_PID,Left_Feed_Forward,Right_Feed_Forward,Left_PWM, Right_PWM
26.69,137.02
0.00,26.69,50.00,6.99,5.08,197.59,31.25,1057.84,-412.84,1057.84,-412.84,0.00,0.00,25.00,-25.00
0.00,0.00
0.00,26.69,50.00,7.00,5.41,203.06,25.97,1052.37,-407.56,1052.37,-407.56,0.00,0.00,25.00,-25.00
20.54,26.69,50.00,7.00,5.47,204.05,25.00,1051.38,-406.59,1051.38,-406.59,0.00,0.00,25.00,-25.00
22.84,26.69,50.00,7.00,5.57,205.76,23.33,1049.67,-404.92,1049.67,-404.92,0.00,0.00,25.00,-25.00
24.99,26.69,50.00,7.00,5.66,207.26,21.80,1048.18,-403.39,1048.18,-403.39,0.00,0.00,25.00,-25.00
27.31,26.69,50.00,7.00,5.77,208.99,20.24,1046.44,-401.83,1046.44,-401.83,0.00,0.00,25.00,-25.00
29.19,26.69,50.00,7.00,5.86,210.46,18.70,1044.97,-400.29,1044.97,-400.29,0.00,0.00,25.00,-25.00
31.62,26.69,50.00,7.00,6.00,212.84,16.44,1042.59,-398.03,1042.59,-398.03,0.00,0.00,25.00,-25.00
33.42,26.69,50.00,7.00,6.11,214.68,14.55,1040.75,-396.14,1040.75,-396.14,0.00,0.00,25.00,-25.00
35.77,26.69,50.00,7.00,6.26,217.19,12.11,1038.24,-393.70,1038.24,-393.70,0.00,0.00,25.00,-25.00
38.21,26.69,50.00,7.00,6.43,219.85,9.34,1035.59,-390.93,1035.59,-390.93,0.00,0.00,25.00,-25.00
39.81,26.69,50.00,7.00,6.54,221.60,7.49,1033.83,-389.08,1033.83,-389.08,0.00,0.00,25.00,-25.00
26.68,137.10
42.46,26.68,50.00,6.99,6.77,225.41,3.60,1029.86,-385.36,1029.86,-385.36,0.00,0.00,25.00,-25.00
44.61,26.68,50.00,6.99,6.91,227.65,1.34,1027.62,-383.09,1027.62,-383.09,0.00,0.00,25.00,-25.00
47.16,26.68,50.00,6.99,7.12,231.10,-2.13,1024.17,-379.62,1024.17,-379.62,0.00,0.00,25.00,-25.00
48.89,26.68,50.00,6.99,7.27,233.51,-4.59,1021.75,-377.16,1021.75,-377.16,0.00,0.00,25.00,-25.00
51.43,26.68,50.00,6.99,7.51,237.32,-8.42,1017.95,-373.34,1017.95,-373.34,0.00,0.00,25.00,-25.00
53.20,26.68,50.00,7.00,7.67,240.13,-11.05,1015.14,-370.70,1015.14,-370.70,0.00,0.00,25.00,-25.00
55.50,26.68,50.00,7.00,7.89,243.75,-14.70,1011.52,-367.05,1011.52,-367.05,0.00,0.00,25.00,-25.00
57.39,26.68,50.00,6.99,8.09,246.94,-17.93,1008.33,-363.82,1008.33,-363.82,0.00,0.00,25.00,-25.00
59.93,26.68,50.00,7.00,8.35,251.29,-22.21,1003.98,-359.54,1003.98,-359.54,0.00,0.00,25.00,-25.00
61.67,26.68,50.00,7.00,8.54,254.43,-25.27,1000.84,-356.49,1000.84,-356.49,0.00,0.00,25.00,-25.00
64.22,26.68,50.00,7.00,8.82,259.00,-29.77,996.27,-351.98,996.27,-351.98,0.00,0.00,25.00,-25.00
65.87,26.68,50.00,7.00,9.01,262.10,-32.83,993.17,-348.93,993.17,-348.93,0.00,0.00,25.00,-25.00
26.14,136.83
68.47,26.14,50.00,7.00,9.37,267.92,-38.69,978.51,-351.90,978.51,-351.90,0.00,0.00,25.00,-25.00
71.10,26.14,50.00,7.00,9.64,272.43,-43.13,974.00,-347.46,974.00,-347.46,0.00,0.00,25.00,-25.00
72.73,26.14,50.00,7.00,9.84,275.70,-46.45,970.73,-344.14,970.73,-344.14,0.00,0.00,25.00,-25.00
75.35,26.14,50.00,7.00,10.17,281.11,-51.88,965.32,-338.72,965.32,-338.72,0.00,0.00,25.00,-25.00
77.02,26.14,50.00,7.00,10.38,284.58,-55.39,961.85,-335.20,961.85,-335.20,0.00,0.00,25.00,-25.00
79.66,26.14,50.00,7.00,10.73,290.27,-61.11,956.16,-329.49,956.16,-329.49,0.00,0.00,25.00,-25.00
81.47,26.14,50.00,7.00,10.98,294.27,-65.17,952.16,-325.42,952.16,-325.42,0.00,0.00,25.00,-25.00
83.81,26.14,50.00,7.00,11.31,299.70,-70.64,946.73,-319.95,946.73,-319.95,0.00,0.00,25.00,-25.00
85.79,26.14,50.00,7.00,11.59,304.27,-75.19,942.16,-315.40,942.16,-315.40,0.00,0.00,25.00,-25.00
88.22,26.14,50.00,7.00,11.94,310.07,-80.88,936.36,-309.71,936.36,-309.71,0.00,0.00,25.00,-25.00
90.01,26.14,50.00,7.00,12.20,314.29,-85.23,932.14,-305.36,932.14,-305.36,0.00,0.00,25.00,-25.00
26.83,136.69
92.41,26.83,50.00,7.00,12.64,321.51,-92.37,936.21,-286.93,936.21,-286.93,0.00,0.00,25.00,-25.00
95.26,26.83,50.00,7.00,13.00,327.47,-98.26,930.26,-281.04,930.26,-281.04,0.00,0.00,25.00,-25.00
96.99,26.83,50.00,7.00,13.28,332.00,-102.72,925.73,-276.58,925.73,-276.58,0.00,0.00,25.00,-25.00
