BEGIN CSV
BEGIN CSV
HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.12,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.21,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.11,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.12,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.15,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.15,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.20,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.15,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.15,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.14,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.14,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00HOME STATE
t, x_cmd, y_cmd, theta, v
0.20,0.50,0.10,0.13,0.00
