Processing bluepill_f103c8 (platform: ststm32; board: bluepill_f103c8; framework: arduino)
--------------------------------------------------------------------------------
Verbose mode can be enabled via `-v, --verbose` option
CONFIGURATION: https://docs.platformio.org/page/boards/ststm32/bluepill_f103c8.html
PLATFORM: ST STM32 (17.0.0) > BluePill F103C8
HARDWARE: STM32F103C8T6 72MHz, 20KB RAM, 64KB Flash
DEBUG: Current (stlink) External (blackmagic, cmsis-dap, jlink, stlink)
PACKAGES: 
 - framework-arduinoststm32 @ 4.20600.231001 (2.6.0) 
 - framework-cmsis @ 2.50700.210515 (5.7.0) 
 - tool-dfuutil @ 1.11.0 
 - tool-dfuutil-arduino @ 1.11.0 
 - tool-openocd @ 3.1200.0 (12.0) 
 - tool-stm32duino @ 1.0.2 
 - toolchain-gccarmnoneeabi @ 1.120301.0 (12.3.1)
LDF: Library Dependency Finder -> https://bit.ly/configure-pio-ldf
LDF Modes: Finder ~ chain, Compatibility ~ soft
Found 17 compatible libraries
Scanning dependencies...
Dependency Graph
|-- ArduinoEigen @ 0.3.0
|-- SPI @ 1.0.0
Building in release mode
Checking size .pio\build\bluepill_f103c8\firmware.elf
Advanced Memory Usage is available via "PlatformIO Home > Project Inspect"
RAM:   [=         ]  10.0% (used 2044 bytes from 20480 bytes)
Flash: [====      ]  43.1% (used 28236 bytes from 65536 bytes)
Configuring upload protocol...
AVAILABLE: blackmagic, cmsis-dap, dfu, jlink, mbed, stlink
CURRENT: upload_protocol = stlink
Uploading .pio\build\bluepill_f103c8\firmware.elf
--- Terminal on COM5 | 460800 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Fully Homed
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),X_Puck(cm),Y_Puck(cm),Left_Angle(deg),Right_Angle(deg),Left_Error(deg),Right_Error(deg),Left_PID,Right_PID,Left_Feed_Forward,Right_Feed_Forward,Left_PWM, Right_PWM
0.00,6.99,5.08,6.99,5.08,197.61,31.27,-0.02,0.00,-0.02,0.00,35.78,20.07,35.75,20.07
1.85,7.00,5.08,6.99,5.08,197.61,31.25,0.17,0.18,0.17,0.18,36.15,20.55,36.33,20.73
3.84,7.04,5.09,7.01,5.09,198.03,31.42,0.41,0.52,0.41,0.52,36.53,21.04,36.94,21.56
6.04,7.10,5.09,7.06,5.10,199.02,31.97,0.65,0.94,0.65,0.94,36.93,21.57,37.58,22.51
8.00,7.19,5.10,7.10,5.11,199.98,32.56,1.23,1.57,1.23,1.57,37.26,22.02,38.49,23.59
10.19,7.31,5.12,7.19,5.13,201.54,33.71,1.87,2.17,1.87,2.17,37.60,22.50,39.47,24.68
12.23,7.45,5.13,7.29,5.13,203.26,35.29,2.66,2.57,2.66,2.57,37.90,22.93,40.55,25.50
14.27,7.61,5.15,7.42,5.14,205.59,37.27,3.26,2.92,3.26,2.92,38.17,23.34,41.43,26.26
16.25,7.78,5.17,7.56,5.16,208.29,39.27,3.80,3.49,3.80,3.49,38.41,23.72,42.21,27.21
18.24,7.98,5.20,7.72,5.19,211.30,41.37,4.44,4.27,4.44,4.27,38.63,24.08,43.07,28.35
20.32,8.21,5.22,7.90,5.22,214.75,43.92,5.19,5.04,5.19,5.04,38.83,24.44,44.02,29.49
22.30,8.45,5.25,8.10,5.25,218.51,46.76,5.82,5.68,5.82,5.68,39.01,24.77,44.82,30.45
24.46,8.74,5.28,8.34,5.27,222.95,50.27,6.55,6.26,6.55,6.26,39.17,25.10,45.72,31.36
26.49,9.02,5.32,8.59,5.31,227.56,53.70,7.18,6.99,7.18,6.99,39.30,25.39,46.48,32.38
28.48,9.32,5.35,8.86,5.35,232.57,57.52,7.65,7.50,7.65,7.50,39.40,25.66,47.05,33.16
30.47,9.64,5.39,9.15,5.38,237.97,61.72,8.06,7.92,8.06,7.92,39.48,25.91,47.54,33.83
32.53,9.99,5.43,9.48,5.43,244.02,66.36,8.35,8.30,8.35,8.30,39.54,26.15,47.90,34.45
34.55,10.35,5.47,9.82,5.48,250.32,71.06,8.59,8.78,8.59,8.78,39.58,26.36,48.17,35.14
36.62,10.73,5.51,10.20,5.53,257.49,76.46,8.49,8.96,8.49,8.96,39.59,26.56,48.08,35.53
38.78,11.15,5.56,10.63,5.58,265.31,82.64,8.34,8.87,8.34,8.87,39.58,26.75,47.92,35.62
40.82,11.57,5.61,11.05,5.62,272.87,88.77,8.34,8.72,8.34,8.72,39.54,26.91,47.88,35.63
42.89,12.00,5.66,11.49,5.69,281.19,94.97,7.95,8.81,7.95,8.81,39.48,27.05,47.43,35.86
45.05,12.47,5.72,11.98,5.74,290.20,102.13,7.56,8.47,7.56,8.47,39.39,27.18,46.95,35.65
47.07,12.93,5.77,12.47,5.80,299.15,109.09,6.92,8.09,6.92,8.09,39.28,27.28,46.20,35.37
49.06,13.39,5.82,12.97,5.87,308.42,116.17,6.09,7.70,6.09,7.70,39.15,27.35,45.24,35.05
51.27,13.92,5.88,13.54,5.93,318.81,124.52,5.37,7.01,5.37,7.01,38.98,27.42,44.35,34.43
