Processing bluepill_f103c8 (platform: ststm32; board: bluepill_f103c8; framework: arduino)
--------------------------------------------------------------------------------
Verbose mode can be enabled via `-v, --verbose` option
CONFIGURATION: https://docs.platformio.org/page/boards/ststm32/bluepill_f103c8.html
PLATFORM: ST STM32 (17.0.0) > BluePill F103C8
HARDWARE: STM32F103C8T6 72MHz, 20KB RAM, 64KB Flash
DEBUG: Current (stlink) External (blackmagic, cmsis-dap, jlink, stlink)
PACKAGES: 
 - framework-arduinoststm32 @ 4.20600.231001 (2.6.0) 
 - framework-cmsis @ 2.50700.210515 (5.7.0) 
 - tool-dfuutil @ 1.11.0 
 - tool-dfuutil-arduino @ 1.11.0 
 - tool-openocd @ 3.1200.0 (12.0) 
 - tool-stm32duino @ 1.0.2 
 - toolchain-gccarmnoneeabi @ 1.120301.0 (12.3.1)
LDF: Library Dependency Finder -> https://bit.ly/configure-pio-ldf
LDF Modes: Finder ~ chain, Compatibility ~ soft
Found 17 compatible libraries
Scanning dependencies...
Dependency Graph
|-- ArduinoEigen @ 0.3.0
|-- SPI @ 1.0.0
Building in release mode
Compiling .pio\build\bluepill_f103c8\src\main.cpp.o
Linking .pio\build\bluepill_f103c8\firmware.elf
Checking size .pio\build\bluepill_f103c8\firmware.elf
Advanced Memory Usage is available via "PlatformIO Home > Project Inspect"
RAM:   [=         ]  10.4% (used 2120 bytes from 20480 bytes)
Flash: [====      ]  43.2% (used 28296 bytes from 65536 bytes)
Configuring upload protocol...
AVAILABLE: blackmagic, cmsis-dap, dfu, jlink, mbed, stlink
CURRENT: upload_protocol = stlink
Uploading .pio\build\bluepill_f103c8\firmware.elf
--- Terminal on COM5 | 460800 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Fully Homed
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),X_Puck(cm),Y_Puck(cm),Left_Angle(deg),Right_Angle(deg),Left_Error(deg),Right_Error(deg),Left_PID,Right_PID,Left_Feed_Forward,Right_Feed_Forward,Left_PWM, Right_PWM
0.00,6.99,5.08,6.99,5.08,197.52,31.33,0.07,-0.07,0.07,-0.07,72.26,-32.75,72.32,-32.81
1.70,7.00,5.09,6.99,5.07,197.43,31.29,0.37,-0.03,0.37,-0.03,72.43,-32.34,72.79,-32.37
3.76,7.02,5.11,7.00,5.10,198.03,31.09,0.61,0.14,0.61,0.14,72.61,-31.84,73.22,-31.70
5.81,7.06,5.16,7.04,5.19,200.12,30.34,-0.03,0.85,-0.03,0.85,72.77,-31.34,72.74,-30.50
7.62,7.12,5.21,7.10,5.27,202.55,29.95,-0.69,1.19,-0.69,1.19,72.89,-30.90,72.20,-29.72
9.45,7.18,5.29,7.17,5.35,204.99,29.71,-0.85,1.36,-0.85,1.36,73.00,-30.46,72.14,-29.10
11.74,7.29,5.40,7.26,5.43,207.76,29.93,-0.12,1.03,-0.12,1.03,73.10,-29.90,72.98,-28.87
14.01,7.41,5.53,7.37,5.50,210.64,30.72,1.16,0.11,1.16,0.11,73.18,-29.35,74.35,-29.24
15.88,7.53,5.65,7.48,5.57,213.63,31.14,2.14,-0.43,2.14,-0.43,73.23,-28.89,75.37,-29.32
17.88,7.67,5.80,7.60,5.71,217.83,30.96,2.68,-0.40,2.68,-0.40,73.26,-28.40,75.93,-28.80
19.91,7.83,5.97,7.75,5.89,223.36,30.43,2.48,-0.03,2.48,-0.03,73.26,-27.90,75.74,-27.93
21.81,7.99,6.14,7.91,6.09,229.25,29.86,2.08,0.37,2.08,0.37,73.25,-27.43,75.32,-27.06
23.66,8.16,6.32,8.08,6.28,235.07,29.53,2.01,0.53,2.01,0.53,73.22,-26.98,75.23,-26.45
25.75,8.37,6.54,8.27,6.47,241.29,29.44,2.82,0.40,2.82,0.40,73.16,-26.46,75.98,-26.06
27.63,8.57,6.76,8.45,6.64,247.11,29.58,3.76,0.07,3.76,0.07,73.09,-26.00,76.85,-25.93
29.44,8.77,6.97,8.65,6.84,253.60,29.60,4.17,-0.16,4.17,-0.16,73.00,-25.55,77.17,-25.71
31.55,9.02,7.24,8.89,7.10,261.88,29.31,4.39,-0.13,4.39,-0.13,72.88,-25.03,77.28,-25.16
33.48,9.27,7.50,9.14,7.38,270.41,28.89,4.11,0.04,4.11,0.04,72.75,-24.55,76.86,-24.51
