Processing bluepill_f103c8 (platform: ststm32; board: bluepill_f103c8; framework: arduino)
--------------------------------------------------------------------------------
Verbose mode can be enabled via `-v, --verbose` option
CONFIGURATION: https://docs.platformio.org/page/boards/ststm32/bluepill_f103c8.html
PLATFORM: ST STM32 (17.0.0) > BluePill F103C8
HARDWARE: STM32F103C8T6 72MHz, 20KB RAM, 64KB Flash
DEBUG: Current (stlink) External (blackmagic, cmsis-dap, jlink, stlink)
PACKAGES: 
 - framework-arduinoststm32 @ 4.20600.231001 (2.6.0) 
 - framework-cmsis @ 2.50700.210515 (5.7.0) 
 - tool-dfuutil @ 1.11.0 
 - tool-dfuutil-arduino @ 1.11.0 
 - tool-openocd @ 3.1200.0 (12.0) 
 - tool-stm32duino @ 1.0.2 
 - toolchain-gccarmnoneeabi @ 1.120301.0 (12.3.1)
LDF: Library Dependency Finder -> https://bit.ly/configure-pio-ldf
LDF Modes: Finder ~ chain, Compatibility ~ soft
Found 17 compatible libraries
Scanning dependencies...
Dependency Graph
|-- ArduinoEigen @ 0.3.0
|-- SPI @ 1.0.0
Building in release mode
Compiling .pio\build\bluepill_f103c8\src\main.cpp.o
Linking .pio\build\bluepill_f103c8\firmware.elf
Checking size .pio\build\bluepill_f103c8\firmware.elf
Advanced Memory Usage is available via "PlatformIO Home > Project Inspect"
RAM:   [=         ]   9.1% (used 1868 bytes from 20480 bytes)
Flash: [====      ]  42.8% (used 28036 bytes from 65536 bytes)
Configuring upload protocol...
AVAILABLE: blackmagic, cmsis-dap, dfu, jlink, mbed, stlink
CURRENT: upload_protocol = stlink
Uploading .pio\build\bluepill_f103c8\firmware.elf
--- Terminal on COM5 | 460800 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Fully Homed
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),X_Puck(cm),Y_Puck(cm),Left_Angle(deg),Right_Angle(deg),Left_Error(deg),Right_Error(deg),Left_PID,Right_PID,Left_Feed_Forward,Right_Feed_Forward,Left_PWM, Right_PWM
0.00,6.99,5.08,6.98,5.08,197.48,31.14,0.11,0.13,0.00,0.00,19.82,11.76,19.82,11.76
1.68,6.99,5.08,6.99,5.08,197.54,31.25,0.12,0.08,0.00,0.00,19.88,11.84,19.88,11.84
3.62,7.01,5.08,6.99,5.08,197.68,31.29,0.25,0.25,0.00,0.00,19.94,11.93,19.94,11.93
5.49,7.03,5.08,7.01,5.09,198.07,31.44,0.29,0.44,0.00,0.00,20.00,12.02,20.00,12.02
7.40,7.07,5.09,7.04,5.10,198.62,31.73,0.38,0.66,0.00,0.00,20.06,12.10,20.06,12.10
9.19,7.11,5.09,7.06,5.10,199.17,32.04,0.58,0.95,0.00,0.00,20.11,12.17,20.11,12.17
11.04,7.16,5.10,7.10,5.11,199.83,32.59,0.87,1.15,0.00,0.00,20.15,12.24,20.15,12.24
12.83,7.22,5.11,7.14,5.11,200.49,33.22,1.28,1.37,0.00,0.00,20.19,12.31,20.19,12.31
14.62,7.29,5.11,7.19,5.12,201.39,33.86,1.60,1.70,0.00,0.00,20.23,12.38,20.23,12.38
16.67,7.37,5.12,7.25,5.13,202.64,34.72,1.95,2.11,0.00,0.00,20.27,12.45,20.27,12.45
18.54,7.46,5.13,7.31,5.14,203.89,35.46,2.32,2.66,0.00,0.00,20.30,12.51,20.30,12.51
20.34,7.56,5.14,7.37,5.15,204.99,36.28,2.93,3.20,0.00,0.00,20.33,12.57,20.33,12.57
22.26,7.67,5.16,7.44,5.17,206.40,37.29,3.51,3.77,0.00,0.00,20.35,12.62,20.35,12.62
24.22,7.79,5.17,7.53,5.18,207.92,38.47,4.18,4.33,0.00,0.00,20.37,12.68,20.37,12.68
26.03,7.90,5.18,7.61,5.19,209.52,39.59,4.76,4.94,0.00,0.00,20.39,12.73,20.39,12.73
28.01,8.04,5.20,7.71,5.20,211.32,41.00,5.51,5.56,0.00,0.00,20.40,12.78,20.40,12.78
29.94,8.19,5.22,7.81,5.22,213.34,42.34,6.13,6.31,0.00,0.00,20.41,12.82,20.41,12.82
31.80,8.34,5.23,7.91,5.24,215.34,43.70,6.83,7.10,0.00,0.00,20.41,12.86,20.41,12.86
33.83,8.51,5.25,8.03,5.26,217.58,45.35,7.69,7.91,0.00,0.00,20.41,12.90,20.41,12.90
35.69,8.67,5.27,8.15,5.28,219.89,46.89,8.36,8.74,0.00,0.00,20.40,12.94,20.40,12.94
37.59,8.85,5.29,8.27,5.30,222.13,48.58,9.32,9.59,0.00,0.00,20.39,12.97,20.39,12.97
39.38,9.02,5.31,8.39,5.32,224.42,50.30,10.18,10.38,0.00,0.00,20.38,13.00,20.38,13.00
41.41,9.22,5.34,8.54,5.35,227.23,52.23,11.09,11.40,0.00,0.00,20.36,13.03,20.36,13.03
43.30,9.42,5.36,8.68,5.37,229.91,54.14,11.99,12.34,0.00,0.00,20.34,13.05,20.34,13.05
