Processing bluepill_f103c8 (platform: ststm32; board: bluepill_f103c8; framework: arduino)
--------------------------------------------------------------------------------
Verbose mode can be enabled via `-v, --verbose` option
CONFIGURATION: https://docs.platformio.org/page/boards/ststm32/bluepill_f103c8.html
PLATFORM: ST STM32 (17.0.0) > BluePill F103C8
HARDWARE: STM32F103C8T6 72MHz, 20KB RAM, 64KB Flash
DEBUG: Current (stlink) External (blackmagic, cmsis-dap, jlink, stlink)
PACKAGES: 
 - framework-arduinoststm32 @ 4.20600.231001 (2.6.0) 
 - framework-cmsis @ 2.50700.210515 (5.7.0) 
 - tool-dfuutil @ 1.11.0 
 - tool-dfuutil-arduino @ 1.11.0 
 - tool-openocd @ 3.1200.0 (12.0) 
 - tool-stm32duino @ 1.0.2 
 - toolchain-gccarmnoneeabi @ 1.120301.0 (12.3.1)
LDF: Library Dependency Finder -> https://bit.ly/configure-pio-ldf
LDF Modes: Finder ~ chain, Compatibility ~ soft
Found 17 compatible libraries
Scanning dependencies...
Dependency Graph
|-- ArduinoEigen @ 0.3.0
|-- SPI @ 1.0.0
Building in release mode
Compiling .pio\build\bluepill_f103c8\src\main.cpp.o
Linking .pio\build\bluepill_f103c8\firmware.elf
Checking size .pio\build\bluepill_f103c8\firmware.elf
Advanced Memory Usage is available via "PlatformIO Home > Project Inspect"
RAM:   [=         ]   8.0% (used 1632 bytes from 20480 bytes)
Flash: [====      ]  39.5% (used 25884 bytes from 65536 bytes)
Configuring upload protocol...
AVAILABLE: blackmagic, cmsis-dap, dfu, jlink, mbed, stlink
CURRENT: upload_protocol = stlink
Uploading .pio\build\bluepill_f103c8\firmware.elf
--- Terminal on COM5 | 460800 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),X_Puck(cm),Y_Puck(cm),Left_Angle(deg),Right_Angle(deg),Left_PWM,Right_PWM
0.00,0.00,0.00,-0.18,6.51,103.54,-109.49,-75.00,-75.00
1.70,0.00,0.00,-0.19,6.51,103.36,-109.67,-75.00,-75.00
2.71,0.00,0.00,-0.23,6.51,102.77,-110.21,-75.00,-75.00
3.99,0.00,0.00,-0.29,6.50,101.56,-111.20,-75.00,-75.00
5.17,0.00,0.00,-0.38,6.49,100.09,-112.50,-75.00,-75.00
6.57,0.00,0.00,-0.48,6.49,98.44,-114.13,-75.00,-75.00
7.88,0.00,0.00,-0.59,6.49,96.57,-115.97,-75.00,-75.00
8.70,0.00,0.00,-0.68,6.50,95.25,-117.40,-75.00,-75.00
10.02,0.00,0.00,-0.84,6.50,92.57,-120.19,-75.00,-75.00
11.36,0.00,0.00,-1.03,6.51,89.67,-123.35,-75.00,-75.00
12.48,0.00,0.00,-1.20,6.51,87.03,-126.25,-75.00,-75.00
13.80,0.00,0.00,-1.41,6.52,83.63,-129.84,-75.00,-75.00
15.09,0.00,0.00,-1.64,6.51,79.83,-133.46,-75.00,-75.00
16.43,0.00,0.00,-1.89,6.51,75.48,-137.50,-75.00,-75.00
17.79,0.00,0.00,-2.19,6.49,70.51,-142.12,-75.00,-75.00
18.61,0.00,0.00,-2.38,6.50,67.41,-145.24,-75.00,-75.00
19.93,0.00,0.00,-2.70,6.49,62.18,-150.42,-75.00,-75.00
21.26,0.00,0.00,-3.03,6.50,56.80,-155.87,-75.00,-75.00
22.59,0.00,0.00,-3.38,6.50,51.11,-161.61,-75.00,-75.00
23.69,0.00,0.00,-3.68,6.49,45.97,-166.57,-75.00,-75.00
24.98,0.00,0.00,-4.07,6.49,39.73,-172.88,-75.00,-75.00
26.31,0.00,0.00,-4.47,6.50,33.31,-179.56,-75.00,-75.00
27.68,0.00,0.00,-4.90,6.51,26.35,-186.72,-75.00,-75.00
28.50,0.00,0.00,-5.17,6.51,21.99,-191.18,-75.00,-75.00
29.82,0.00,0.00,-5.62,6.51,14.50,-198.61,-75.00,-75.00
31.15,0.00,0.00,-6.10,6.51,6.70,-206.52,-75.00,-75.00
