Processing bluepill_f103c8 (platform: ststm32; board: bluepill_f103c8; framework: arduino)
--------------------------------------------------------------------------------
Verbose mode can be enabled via `-v, --verbose` option
CONFIGURATION: https://docs.platformio.org/page/boards/ststm32/bluepill_f103c8.html
PLATFORM: ST STM32 (17.0.0) > BluePill F103C8
HARDWARE: STM32F103C8T6 72MHz, 20KB RAM, 64KB Flash
DEBUG: Current (stlink) External (blackmagic, cmsis-dap, jlink, stlink)
PACKAGES: 
 - framework-arduinoststm32 @ 4.20600.231001 (2.6.0) 
 - framework-cmsis @ 2.50700.210515 (5.7.0) 
 - tool-dfuutil @ 1.11.0 
 - tool-dfuutil-arduino @ 1.11.0 
 - tool-openocd @ 3.1200.0 (12.0) 
 - tool-stm32duino @ 1.0.2 
 - toolchain-gccarmnoneeabi @ 1.120301.0 (12.3.1)
LDF: Library Dependency Finder -> https://bit.ly/configure-pio-ldf
LDF Modes: Finder ~ chain, Compatibility ~ soft
Found 17 compatible libraries
Scanning dependencies...
Dependency Graph
|-- ArduinoEigen @ 0.3.0
|-- SPI @ 1.0.0
Building in release mode
Checking size .pio\build\bluepill_f103c8\firmware.elf
Advanced Memory Usage is available via "PlatformIO Home > Project Inspect"
RAM:   [=         ]   9.1% (used 1864 bytes from 20480 bytes)
Flash: [====      ]  42.8% (used 28040 bytes from 65536 bytes)
Configuring upload protocol...
AVAILABLE: blackmagic, cmsis-dap, dfu, jlink, mbed, stlink
CURRENT: upload_protocol = stlink
Uploading .pio\build\bluepill_f103c8\firmware.elf
--- Terminal on COM5 | 460800 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Fully Homed
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),X_Puck(cm),Y_Puck(cm),Left_Angle(deg),Right_Angle(deg),Left_Error(deg),Right_Error(deg),Left_PID,Right_PID,Left_Feed_Forward,Right_Feed_Forward,Left_PWM, Right_PWM
0.00,6.99,5.08,6.99,5.08,197.63,31.25,-0.04,0.02,-0.02,0.01,44.50,26.41,44.48,26.43
1.69,7.00,5.08,6.99,5.08,197.63,31.29,0.12,0.11,0.06,0.06,44.38,26.44,44.44,26.50
3.70,7.03,5.08,7.01,5.09,198.03,31.46,0.35,0.43,0.18,0.22,44.23,26.47,44.40,26.68
5.74,7.09,5.09,7.06,5.10,199.10,32.15,0.38,0.63,0.19,0.31,44.05,26.48,44.24,26.79
7.58,7.17,5.10,7.13,5.11,200.40,32.98,0.48,0.91,0.24,0.45,43.88,26.48,44.12,26.93
9.59,7.28,5.11,7.21,5.12,201.92,34.19,0.90,1.24,0.45,0.62,43.68,26.47,44.13,27.09
11.58,7.41,5.13,7.31,5.12,203.52,35.82,1.65,1.48,0.82,0.74,43.47,26.45,44.29,27.18
13.43,7.55,5.14,7.42,5.13,205.48,37.57,2.24,1.75,1.12,0.87,43.26,26.42,44.38,27.29
15.24,7.70,5.16,7.56,5.15,208.03,39.57,2.53,2.00,1.26,1.00,43.04,26.38,44.30,27.38
17.33,7.90,5.18,7.76,5.18,211.76,42.21,2.48,2.29,1.24,1.14,42.77,26.32,44.00,27.47
19.21,8.10,5.21,7.94,5.21,215.34,44.65,2.56,2.76,1.28,1.38,42.51,26.26,43.79,27.64
21.01,8.31,5.23,8.14,5.24,219.08,47.55,2.67,2.92,1.33,1.46,42.25,26.19,43.58,27.65
22.82,8.54,5.26,8.35,5.26,222.84,50.63,3.06,3.14,1.53,1.57,41.98,26.11,43.51,27.68
24.90,8.82,5.29,8.61,5.28,227.47,54.54,3.58,3.32,1.79,1.66,41.65,26.01,43.44,27.67
26.69,9.08,5.32,8.86,5.30,231.82,58.36,3.96,3.26,1.98,1.63,41.35,25.91,43.33,27.54
28.63,9.38,5.35,9.16,5.33,237.18,62.56,4.02,3.37,2.01,1.68,41.02,25.80,43.03,27.48
30.50,9.68,5.39,9.46,5.38,242.94,66.84,3.81,3.49,1.90,1.75,40.68,25.68,42.59,27.42
32.36,10.00,5.42,9.77,5.42,248.81,71.21,3.76,3.75,1.88,1.87,40.33,25.55,42.22,27.42
34.33,10.36,5.47,10.12,5.47,255.20,76.11,3.79,3.95,1.89,1.97,39.95,25.40,41.85,27.37
36.30,10.73,5.51,10.49,5.51,261.90,81.41,3.86,4.03,1.93,2.02,39.55,25.24,41.48,27.25
38.19,11.10,5.55,10.85,5.55,268.54,86.81,3.94,3.97,1.97,1.98,39.16,25.07,41.13,27.06
40.21,11.51,5.60,11.26,5.60,276.03,92.75,3.95,4.00,1.98,2.00,38.72,24.89,40.70,26.89
42.19,11.92,5.64,11.68,5.66,283.81,98.57,3.77,4.22,1.89,2.11,38.28,24.69,40.17,26.80
44.02,12.32,5.69,12.09,5.72,291.43,104.28,3.44,4.30,1.72,2.15,37.86,24.50,39.58,26.65
46.13,12.80,5.74,12.55,5.78,299.96,110.83,3.57,4.63,1.79,2.32,37.35,24.27,39.14,26.59
48.14,13.27,5.80,13.00,5.84,308.40,117.33,3.67,4.91,1.84,2.46,36.86,24.04,38.69,26.50
49.93,13.69,5.85,13.43,5.89,316.20,123.40,3.68,5.05,1.84,2.52,36.40,23.82,38.24,26.35
51.98,14.20,5.90,13.92,5.95,325.29,130.58,3.75,5.15,1.87,2.58,35.87,23.57,37.74,26.14
54.00,14.70,5.96,14.44,6.01,334.72,137.92,3.59,5.17,1.79,2.59,35.32,23.30,37.12,25.89
55.80,15.17,6.02,14.89,6.07,343.18,144.45,3.56,5.35,1.78,2.68,34.83,23.05,36.61,25.73
58.42,15.85,6.09,15.58,6.16,355.84,154.12,3.47,5.66,1.73,2.83,34.08,22.68,35.81,25.51
60.39,16.38,6.15,16.09,6.23,365.44,161.43,3.53,6.03,1.77,3.02,33.50,22.38,35.27,25.40
62.58,16.99,6.22,16.68,6.31,376.45,169.69,3.52,6.51,1.76,3.25,32.84,22.04,34.60,25.29
64.57,17.54,6.29,17.23,6.39,386.64,177.45,3.47,6.82,1.74,3.41,32.23,21.72,33.97,25.13
66.52,18.10,6.35,17.77,6.46,396.70,185.19,3.51,7.11,1.76,3.56,31.61,21.39,33.37,24.95
68.53,18.68,6.42,18.35,6.54,407.36,193.29,3.47,7.44,1.74,3.72,30.96,21.04,32.69,24.76
70.54,19.27,6.48,18.93,6.61,418.06,201.56,3.50,7.70,1.75,3.85,30.29,20.68,32.04,24.53
72.38,19.81,6.55,19.45,6.68,427.86,209.07,3.60,8.06,1.80,4.03,29.67,20.34,31.47,24.37
74.44,20.43,6.62,20.05,6.76,438.91,217.60,3.84,8.50,1.92,4.25,28.95,19.95,30.87,24.20
76.46,21.04,6.69,20.65,6.84,449.99,226.16,3.91,8.79,1.96,4.40,28.24,19.56,30.20,23.95
78.27,21.59,6.75,21.19,6.90,459.90,233.86,4.11,9.13,2.05,4.57,27.58,19.19,29.64,23.76
80.17,22.18,6.82,21.76,6.98,470.51,241.94,4.21,9.57,2.11,4.78,26.88,18.80,28.99,23.58
82.43,22.88,6.90,22.44,7.08,483.21,251.56,4.33,10.13,2.17,5.06,26.03,18.32,28.20,23.38
84.75,23.61,6.98,23.14,7.17,496.22,261.52,4.62,10.75,2.31,5.37,25.14,17.81,27.45,23.18
86.74,24.24,7.05,23.75,7.25,507.38,270.07,4.94,11.32,2.47,5.66,24.35,17.36,26.82,23.02
88.72,24.87,7.13,24.35,7.33,518.52,278.59,5.28,11.91,2.64,5.96,23.56,16.91,26.20,22.86
90.75,25.52,7.20,24.96,7.41,529.97,287.31,5.63,12.57,2.82,6.29,22.73,16.43,25.55,22.71
92.78,26.17,7.27,25.59,7.50,541.61,296.13,5.84,13.18,2.92,6.59,21.89,15.94,24.81,22.52
94.58,26.75,7.34,26.14,7.57,551.88,303.95,6.14,13.75,3.07,6.88,21.12,15.49,24.19,22.37
96.65,27.41,7.42,26.78,7.66,563.83,313.00,6.37,14.38,3.18,7.19,20.23,14.96,23.41,22.15
98.47,28.00,7.48,27.34,7.73,574.09,320.95,6.80,14.92,3.40,7.46,19.43,14.49,22.83,21.95
101.30,28.91,7.59,28.20,7.84,589.93,333.30,7.59,15.79,3.79,7.90,18.17,13.74,21.96,21.64
103.03,29.47,7.65,28.73,7.91,599.67,340.84,8.07,16.37,4.04,8.19,17.37,13.27,21.41,21.46
105.14,30.15,7.73,29.36,7.99,611.44,349.96,8.67,17.09,4.34,8.55,16.40,12.69,20.73,21.23
107.14,30.79,7.80,29.98,8.07,622.83,358.57,9.03,17.80,4.51,8.90,15.46,12.12,19.97,21.02
109.36,31.50,7.88,30.65,8.16,635.26,368.09,9.52,18.57,4.76,9.28,14.39,11.48,19.16,20.76
111.14,32.07,7.95,31.18,8.23,645.13,375.71,10.06,19.21,5.03,9.61,13.52,10.95,18.56,20.56
113.15,32.71,8.02,31.78,8.30,656.18,384.46,10.66,19.72,5.33,9.86,12.53,10.35,17.86,20.21
115.30,33.39,8.10,32.43,8.38,668.02,393.71,11.21,20.33,5.61,10.16,11.45,9.69,17.06,19.85
117.33,34.03,8.17,33.03,8.46,679.12,402.30,11.74,20.97,5.87,10.49,10.42,9.05,16.29,19.54
119.55,34.72,8.25,33.68,8.53,691.07,411.66,12.39,21.63,6.20,10.81,9.27,8.35,15.47,19.16
121.35,35.28,8.32,34.21,8.60,700.72,419.19,12.88,22.15,6.44,11.07,8.32,7.77,14.77,18.84
123.98,36.08,8.41,34.97,8.69,714.76,430.20,13.52,22.80,6.76,11.40,6.92,6.90,13.68,18.30
125.73,36.61,8.47,35.48,8.75,724.05,437.45,13.90,23.24,6.95,11.62,5.97,6.31,12.92,17.93
128.21,37.35,8.55,36.18,8.84,736.97,447.56,14.50,23.88,7.25,11.94,4.61,5.46,11.86,17.40
130.43,38.01,8.63,36.80,8.91,748.25,456.55,15.20,24.41,7.60,12.20,3.36,4.68,10.96,16.88
132.22,38.53,8.69,37.29,8.97,757.25,463.67,15.69,24.84,7.85,12.42,2.35,4.04,10.19,16.46
134.30,39.12,8.76,37.86,9.03,767.60,471.93,16.21,25.21,8.10,12.60,1.15,3.30,9.26,15.90
136.36,39.71,8.82,38.42,9.09,777.71,480.04,16.73,25.55,8.36,12.77,-0.05,2.54,8.32,15.31
138.59,40.33,8.89,39.00,9.16,788.39,488.65,17.34,25.91,8.67,12.96,-1.37,1.71,7.30,14.66
140.39,40.82,8.95,39.47,9.20,796.76,495.51,17.89,26.14,8.95,13.07,-2.44,1.03,6.51,14.10
142.38,41.35,9.01,39.98,9.25,805.95,502.98,18.41,26.38,9.20,13.19,-3.65,0.26,5.56,13.46
144.53,41.91,9.07,40.52,9.31,815.64,510.95,19.00,26.58,9.50,13.29,-4.97,-0.58,4.53,12.71
146.64,42.45,9.14,41.03,9.36,824.97,518.49,19.47,26.83,9.73,13.42,-6.27,-1.41,3.46,12.01
148.93,43.02,9.20,41.58,9.42,834.82,526.40,20.02,27.18,10.01,13.59,-7.71,-2.33,2.30,11.26
151.25,43.58,9.27,42.12,9.48,844.66,534.31,20.42,27.42,10.21,13.71,-9.20,-3.28,1.01,10.43
153.04,44.00,9.31,42.52,9.51,851.85,540.37,20.91,27.45,10.46,13.73,-10.36,-4.02,0.10,9.71
155.34,44.52,9.37,43.02,9.56,860.81,547.80,21.49,27.61,10.75,13.80,-11.86,-4.99,-1.11,8.82
157.35,44.97,9.42,43.45,9.60,868.52,554.06,21.84,27.75,10.92,13.88,-13.19,-5.84,-2.27,8.04
159.48,45.42,9.48,43.89,9.64,876.32,560.61,22.31,27.78,11.16,13.89,-14.62,-6.76,-3.46,7.13
161.66,45.86,9.53,44.33,9.68,884.10,567.16,22.67,27.70,11.34,13.85,-16.10,-7.72,-4.76,6.13
164.05,46.33,9.58,44.78,9.72,892.17,573.84,23.08,27.75,11.54,13.88,-17.73,-8.78,-6.19,5.10
166.36,46.76,9.63,45.20,9.76,899.75,580.19,23.34,27.63,11.67,13.82,-19.35,-9.83,-7.68,3.99
168.16,47.08,9.67,45.52,9.79,905.31,584.89,23.57,27.53,11.79,13.77,-20.61,-10.65,-8.83,3.12
170.38,47.45,9.71,45.88,9.82,911.83,590.32,23.85,27.52,11.93,13.76,-22.19,-11.68,-10.27,2.08
172.36,47.76,9.74,46.19,9.84,917.24,594.93,24.17,27.45,12.08,13.72,-23.62,-12.61,-11.54,1.11
174.52,48.08,9.78,46.50,9.87,922.82,599.72,24.44,27.31,12.22,13.65,-25.19,-13.64,-12.97,0.02
176.55,48.36,9.81,46.78,9.89,927.67,603.96,24.69,27.13,12.35,13.56,-26.68,-14.61,-14.33,-1.05
178.76,48.65,9.85,47.06,9.91,932.55,608.25,24.98,26.95,12.49,13.48,-28.32,-15.69,-15.83,-2.21
180.75,48.88,9.87,47.30,9.92,936.64,611.92,25.17,26.67,12.58,13.34,-29.82,-16.67,-17.24,-3.33
183.13,49.13,9.90,47.54,9.93,940.79,615.78,25.62,26.47,12.81,13.23,-31.63,-17.86,-18.82,-4.63
185.25,49.33,9.92,47.74,9.93,944.15,618.95,25.88,26.18,12.94,13.09,-33.25,-18.93,-20.31,-5.84
187.36,49.51,9.94,47.92,9.95,947.23,621.61,25.98,26.04,12.99,13.02,-34.89,-20.01,-21.91,-6.99
189.53,49.66,9.96,48.07,9.95,949.78,623.96,26.21,25.90,13.11,12.95,-36.60,-21.14,-23.49,-8.18
191.73,49.79,9.98,48.19,9.95,951.76,626.11,26.55,25.59,13.27,12.79,-38.34,-22.29,-25.07,-9.50
193.94,49.88,9.99,48.29,9.94,953.21,627.91,26.89,25.21,13.45,12.61,-40.11,-23.46,-26.67,-10.85
196.21,49.95,9.99,48.36,9.92,954.17,629.30,27.20,24.85,13.60,12.42,-41.95,-24.68,-28.34,-12.25
198.43,49.99,10.00,48.40,9.91,954.63,630.02,27.43,24.67,13.72,12.34,-43.77,-25.89,-30.05,-13.55
200.73,50.00,10.00,48.41,9.90,954.61,630.46,27.60,24.35,13.80,12.17,113.57,-113.55,100.00,-87.83
202.83,50.00,10.02,48.40,9.88,954.06,630.48,28.48,23.99,14.24,12.00,112.18,-112.11,100.00,-88.00
204.97,50.00,10.08,48.38,9.92,954.39,629.60,29.17,23.85,14.59,11.93,110.75,-110.62,100.00,-88.07
207.07,50.00,10.18,48.38,10.06,956.79,627.30,28.41,24.52,14.21,12.26,109.33,-109.15,100.00,-87.74
209.40,50.00,10.34,48.38,10.25,959.78,624.31,27.99,24.95,13.99,12.48,107.73,-107.48,100.00,-87.52
211.33,50.00,10.50,48.38,10.34,961.23,622.62,29.22,23.96,14.61,11.98,106.38,-106.08,100.00,-88.02
213.73,50.00,10.75,48.35,10.43,962.19,620.84,32.29,21.70,16.15,10.85,104.68,-104.32,100.00,-89.15
215.60,50.00,10.98,48.34,10.52,963.60,619.21,34.58,19.63,17.29,9.81,103.32,-102.92,100.00,-90.19
218.35,50.00,11.36,48.36,10.73,967.42,616.00,36.98,16.61,18.49,8.31,101.32,-100.85,100.00,-91.69
221.10,50.00,11.79,48.39,11.08,973.57,610.84,38.00,14.60,19.00,7.30,99.27,-98.74,100.00,-91.44
223.36,50.00,12.20,48.42,11.44,979.86,605.46,38.30,13.41,19.15,6.70,97.56,-96.98,100.00,-90.27
225.96,50.00,12.70,48.44,11.86,987.18,598.86,39.31,11.67,19.65,5.84,95.55,-94.92,100.00,-89.08
228.23,50.00,13.19,48.45,12.20,992.84,593.46,41.53,9.19,20.76,4.60,93.78,-93.10,100.00,-88.50
230.85,50.00,13.78,48.47,12.62,1000.10,586.98,44.07,5.88,22.04,2.94,91.70,-90.97,100.00,-88.03
233.14,50.00,14.35,48.52,13.07,1008.23,580.21,45.14,3.44,22.57,1.72,89.85,-89.08,100.00,-87.35
235.82,50.00,15.04,48.54,13.68,1018.64,570.74,46.12,1.52,23.06,0.76,87.67,-86.84,100.00,-86.08
238.10,50.00,15.67,48.58,14.24,1028.46,562.15,46.59,-0.17,23.29,-0.09,85.77,-84.90,100.00,-84.99
240.75,50.00,16.44,48.61,14.91,1039.87,551.65,47.74,-2.23,23.87,-1.11,83.54,-82.63,100.00,-83.74
243.01,50.00,17.12,48.63,15.46,1049.20,542.88,49.61,-4.67,24.81,-2.34,81.61,-80.66,100.00,-83.00
245.52,50.00,17.92,48.68,16.13,1060.87,532.84,50.92,-7.61,25.46,-3.80,79.44,-78.45,100.00,-82.25
247.72,50.00,18.64,48.71,16.76,1071.84,522.97,51.76,-9.54,25.88,-4.77,77.51,-76.49,100.00,-81.26
250.07,50.00,19.43,48.77,17.51,1084.91,511.79,51.73,-11.41,25.86,-5.70,75.42,-74.36,100.00,-80.07
252.20,50.00,20.18,48.80,18.21,1096.95,500.78,51.90,-12.61,25.95,-6.30,73.50,-72.42,99.45,-78.72
254.51,50.00,21.01,48.84,18.99,1110.31,488.63,52.14,-14.06,26.07,-7.03,71.40,-70.28,97.47,-77.31
256.55,50.00,21.76,48.87,19.68,1122.29,477.84,52.44,-15.54,26.22,-7.77,69.53,-68.39,95.74,-76.15
258.97,50.00,22.68,48.92,20.51,1136.52,465.07,53.21,-17.79,26.61,-8.89,67.27,-66.10,93.87,-74.99
260.93,50.00,23.43,48.97,21.22,1148.96,454.35,53.15,-19.44,26.58,-9.72,65.42,-64.23,92.00,-73.95
263.43,50.00,24.42,49.05,22.16,1165.88,440.20,52.39,-21.45,26.20,-10.73,63.04,-61.82,89.23,-72.54
265.28,50.00,25.17,49.11,22.90,1178.93,429.08,51.57,-22.56,25.78,-11.28,61.25,-60.01,87.03,-71.29
268.06,50.00,26.31,49.20,24.01,1198.47,412.21,50.67,-24.32,25.34,-12.16,58.54,-57.27,83.87,-69.43
270.88,50.00,27.48,49.28,25.17,1218.66,394.74,49.77,-26.15,24.89,-13.07,55.75,-54.46,80.64,-67.53
273.21,50.00,28.47,49.35,26.14,1235.84,379.93,48.79,-27.53,24.39,-13.77,53.42,-52.11,77.81,-65.88
275.79,50.00,29.59,49.44,27.26,1255.48,363.10,47.38,-28.94,23.69,-14.47,50.80,-49.48,74.49,-63.95
277.99,50.00,30.55,49.51,28.25,1272.91,348.11,45.77,-29.77,22.89,-14.89,48.54,-47.20,71.42,-62.08
280.34,50.00,31.59,49.59,29.31,1291.70,331.92,43.96,-30.56,21.98,-15.28,46.10,-44.75,68.09,-60.03
282.45,50.00,32.53,49.65,30.29,1308.64,317.09,42.46,-31.16,21.23,-15.58,43.89,-42.52,65.12,-58.11
284.77,50.00,33.57,49.72,31.35,1327.18,300.78,40.94,-31.89,20.47,-15.94,41.44,-40.07,61.91,-56.01
286.76,50.00,34.48,49.78,32.28,1343.42,286.48,39.49,-32.36,19.74,-16.18,39.31,-37.93,59.06,-54.11
289.24,50.00,35.61,49.86,33.46,1363.90,268.44,37.52,-32.83,18.76,-16.42,36.63,-35.24,55.39,-51.66
291.09,50.00,36.46,49.92,34.35,1379.45,254.82,35.84,-33.09,17.92,-16.54,34.62,-33.22,52.54,-49.76
293.87,50.00,37.74,49.99,35.70,1402.79,233.83,33.47,-33.07,16.73,-16.53,31.55,-30.15,48.28,-46.68
296.69,50.00,39.04,50.06,37.09,1426.56,212.34,31.09,-32.97,15.54,-16.49,28.40,-26.99,43.94,-43.47
298.97,50.00,40.10,50.11,38.22,1445.88,194.70,29.07,-32.63,14.54,-16.31,25.82,-24.41,40.36,-40.72
301.54,50.00,41.29,50.16,39.49,1467.52,174.64,26.93,-32.07,13.47,-16.04,22.89,-21.48,36.36,-37.52
303.73,50.00,42.31,50.20,40.58,1485.96,157.48,25.10,-31.51,12.55,-15.76,20.37,-18.96,32.92,-34.72
306.02,50.00,43.36,50.23,41.72,1505.14,139.31,23.25,-30.67,11.63,-15.34,17.71,-16.30,29.33,-31.64
308.11,50.00,44.33,50.25,42.76,1522.61,122.65,21.55,-29.79,10.78,-14.89,15.26,-13.86,26.03,-28.75
310.48,50.00,45.42,50.27,43.94,1542.25,103.73,19.77,-28.73,9.89,-14.37,12.45,-11.05,22.33,-25.42
312.44,50.00,46.32,50.28,44.91,1558.33,87.98,18.39,-27.68,9.19,-13.84,10.11,-8.72,19.30,-22.56
314.91,50.00,47.44,50.30,46.14,1578.66,68.14,16.53,-26.31,8.27,-13.15,7.12,-5.74,15.39,-18.89
316.79,50.00,48.29,50.30,47.07,1593.95,52.93,15.15,-25.01,7.58,-12.51,4.84,-3.47,12.41,-15.97
319.12,50.00,49.35,50.31,48.22,1612.96,34.06,13.36,-23.36,6.68,-11.68,1.97,-0.61,8.65,-12.29
321.06,50.00,50.21,50.31,49.17,1628.43,18.63,12.01,-22.05,6.00,-11.02,-0.42,1.77,5.58,-9.25
323.51,50.00,51.29,50.31,50.35,1647.78,-0.64,10.40,-20.53,5.20,-10.26,-3.49,4.82,1.71,-5.44
325.51,50.00,52.17,50.31,51.30,1663.27,-16.24,9.25,-19.26,4.62,-9.63,-6.01,7.33,-1.39,-2.30
327.84,50.00,53.18,50.30,52.40,1681.20,-34.34,7.82,-17.66,3.91,-8.83,-8.97,10.27,-5.06,1.44
329.98,50.00,54.09,50.29,53.40,1697.44,-50.80,6.50,-16.12,3.25,-8.06,-11.71,12.99,-8.46,4.93
332.41,50.00,55.11,50.29,54.52,1715.86,-69.30,4.84,-14.37,2.42,-7.19,-14.85,16.11,-12.43,8.93
334.66,50.00,56.04,50.28,55.54,1732.20,-86.04,3.73,-12.87,1.87,-6.43,-17.79,19.03,-15.92,12.59
337.24,50.00,57.09,50.27,56.67,1750.68,-104.81,2.37,-11.22,1.19,-5.61,-21.17,22.39,-19.99,16.78
339.51,50.00,57.99,50.26,57.65,1766.57,-120.98,1.27,-9.83,0.63,-4.92,-24.19,25.38,-23.55,20.46
342.02,50.00,58.97,50.25,58.72,1783.90,-138.56,-0.04,-8.28,-0.02,-4.14,-27.56,28.72,-27.58,24.58
344.28,50.00,59.83,50.25,59.65,1799.13,-153.83,-1.22,-7.06,-0.61,-3.53,-30.61,31.74,-31.21,28.21
346.75,50.00,60.74,50.25,60.64,1815.26,-170.11,-2.34,-5.78,-1.17,-2.89,-33.98,35.08,-35.15,32.19
348.94,50.00,61.53,50.24,61.49,1828.90,-184.15,-3.10,-4.63,-1.55,-2.32,-36.98,38.05,-38.52,35.73
351.27,50.00,62.35,50.24,62.36,1843.16,-198.37,-3.95,-3.83,-1.97,-1.91,-40.21,41.25,-42.19,39.34
353.38,50.00,63.07,50.24,63.12,1855.65,-210.92,-4.68,-3.03,-2.34,-1.51,-43.16,44.17,-45.50,42.65
355.72,50.00,63.84,50.23,63.93,1868.85,-224.27,-5.30,-2.25,-2.65,-1.12,-46.44,47.42,-49.10,46.29
357.76,50.00,64.49,50.23,64.62,1880.14,-235.63,-5.93,-1.55,-2.97,-0.78,-49.35,50.29,-52.31,49.51
360.12,50.00,65.21,50.23,65.40,1892.82,-248.33,-6.79,-0.68,-3.40,-0.34,-52.71,53.61,-56.11,53.28
362.08,50.00,65.79,50.23,66.02,1902.97,-258.40,-7.46,-0.09,-3.73,-0.04,-55.54,56.41,-59.27,56.36
364.58,50.00,66.49,50.23,66.75,1915.10,-270.46,-8.07,0.45,-4.03,0.22,-59.16,59.99,-63.20,60.21
366.43,50.00,66.99,50.24,67.28,1923.80,-279.01,-8.63,0.85,-4.31,0.43,-61.86,62.65,-66.18,63.08
368.74,50.00,67.58,50.24,67.89,1933.89,-288.94,-9.03,1.11,-4.52,0.55,-65.26,66.00,-69.77,66.56
370.78,50.00,68.08,50.25,68.42,1942.55,-297.44,-9.58,1.50,-4.79,0.75,-68.28,68.99,-73.07,69.74
372.97,50.00,68.58,50.25,68.94,1951.25,-305.88,-10.06,1.71,-5.03,0.86,-71.56,72.22,-76.59,73.07
375.04,50.00,69.02,50.26,69.41,1958.94,-313.53,-10.49,2.10,-5.24,1.05,-74.66,75.28,-79.91,76.33
377.21,50.00,69.46,50.27,69.88,1966.87,-320.95,-11.30,2.41,-5.65,1.20,-77.95,78.52,-83.60,79.73
