Processing bluepill_f103c8 (platform: ststm32; board: bluepill_f103c8; framework: arduino)
--------------------------------------------------------------------------------
Verbose mode can be enabled via `-v, --verbose` option
CONFIGURATION: https://docs.platformio.org/page/boards/ststm32/bluepill_f103c8.html
PLATFORM: ST STM32 (17.0.0) > BluePill F103C8
HARDWARE: STM32F103C8T6 72MHz, 20KB RAM, 64KB Flash
DEBUG: Current (stlink) External (blackmagic, cmsis-dap, jlink, stlink)
PACKAGES: 
 - framework-arduinoststm32 @ 4.20600.231001 (2.6.0) 
 - framework-cmsis @ 2.50700.210515 (5.7.0) 
 - tool-dfuutil @ 1.11.0 
 - tool-dfuutil-arduino @ 1.11.0 
 - tool-openocd @ 3.1200.0 (12.0) 
 - tool-stm32duino @ 1.0.2 
 - toolchain-gccarmnoneeabi @ 1.120301.0 (12.3.1)
LDF: Library Dependency Finder -> https://bit.ly/configure-pio-ldf
LDF Modes: Finder ~ chain, Compatibility ~ soft
Found 17 compatible libraries
Scanning dependencies...
Dependency Graph
|-- ArduinoEigen @ 0.3.0
|-- SPI @ 1.0.0
Building in release mode
Checking size .pio\build\bluepill_f103c8\firmware.elf
Advanced Memory Usage is available via "PlatformIO Home > Project Inspect"
RAM:   [=         ]   8.0% (used 1632 bytes from 20480 bytes)
Flash: [====      ]  39.5% (used 25884 bytes from 65536 bytes)
Configuring upload protocol...
AVAILABLE: blackmagic, cmsis-dap, dfu, jlink, mbed, stlink
CURRENT: upload_protocol = stlink
Uploading .pio\build\bluepill_f103c8\firmware.elf
--- Terminal on COM5 | 460800 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),X_Puck(cm),Y_Puck(cm),Left_Angle(deg),Right_Angle(deg),Left_PWM,Right_PWM
0.00,0.00,0.00,-1.69,-3.84,-90.59,35.13,25.00,-25.00
1.70,0.00,0.00,-1.70,-3.84,-90.55,35.05,25.00,-25.00
2.65,0.00,0.00,-1.69,-3.83,-90.37,34.91,25.00,-25.00
3.87,0.00,0.00,-1.69,-3.81,-90.00,34.61,25.00,-25.00
5.09,0.00,0.00,-1.69,-3.78,-89.49,34.19,25.00,-25.00
6.44,0.00,0.00,-1.68,-3.76,-89.03,33.93,25.00,-25.00
7.28,0.00,0.00,-1.68,-3.75,-88.92,33.79,25.00,-25.00
8.60,0.00,0.00,-1.68,-3.73,-88.55,33.51,25.00,-25.00
9.91,0.00,0.00,-1.68,-3.71,-88.26,33.27,25.00,-25.00
11.01,0.00,0.00,-1.68,-3.70,-87.98,33.13,25.00,-25.00
12.18,0.00,0.00,-1.68,-3.68,-87.76,32.81,25.00,-25.00
13.55,0.00,0.00,-1.67,-3.66,-87.23,32.45,25.00,-25.00
14.94,0.00,0.00,-1.67,-3.62,-86.57,31.95,25.00,-25.00
15.76,0.00,0.00,-1.66,-3.59,-86.02,31.62,25.00,-25.00
17.08,0.00,0.00,-1.66,-3.55,-85.28,30.94,25.00,-25.00
18.39,0.00,0.00,-1.65,-3.50,-84.35,30.17,25.00,-25.00
19.48,0.00,0.00,-1.65,-3.45,-83.65,29.47,25.00,-25.00
20.68,0.00,0.00,-1.65,-3.41,-82.92,28.85,25.00,-25.00
22.06,0.00,0.00,-1.65,-3.36,-82.13,27.99,25.00,-25.00
23.44,0.00,0.00,-1.65,-3.31,-81.32,27.16,25.00,-25.00
24.26,0.00,0.00,-1.65,-3.28,-80.82,26.67,25.00,-25.00
25.58,0.00,0.00,-1.65,-3.23,-79.83,25.82,25.00,-25.00
26.91,0.00,0.00,-1.65,-3.17,-78.84,24.90,25.00,-25.00
28.24,0.00,0.00,-1.64,-3.10,-77.70,23.91,25.00,-25.00
29.18,0.00,0.00,-1.65,-3.06,-77.01,23.05,25.00,-25.00
30.57,0.00,0.00,-1.65,-2.98,-75.78,21.80,25.00,-25.00
31.88,0.00,0.00,-1.65,-2.91,-74.62,20.52,25.00,-25.00
32.70,0.00,0.00,-1.65,-2.85,-73.67,19.64,25.00,-25.00
34.03,0.00,0.00,-1.66,-2.77,-72.47,18.15,25.00,-25.00
35.34,0.00,0.00,-1.66,-2.69,-71.28,16.87,25.00,-25.00
36.50,0.00,0.00,-1.66,-2.62,-70.09,15.71,25.00,-25.00
37.69,0.00,0.00,-1.66,-2.55,-68.95,14.50,25.00,-25.00
39.07,0.00,0.00,-1.66,-2.46,-67.41,13.10,25.00,-25.00
