Processing bluepill_f103c8 (platform: ststm32; board: bluepill_f103c8; framework: arduino)
--------------------------------------------------------------------------------
Verbose mode can be enabled via `-v, --verbose` option
CONFIGURATION: https://docs.platformio.org/page/boards/ststm32/bluepill_f103c8.html
PLATFORM: ST STM32 (17.0.0) > BluePill F103C8
HARDWARE: STM32F103C8T6 72MHz, 20KB RAM, 64KB Flash
DEBUG: Current (stlink) External (blackmagic, cmsis-dap, jlink, stlink)
PACKAGES: 
 - framework-arduinoststm32 @ 4.20600.231001 (2.6.0) 
 - framework-cmsis @ 2.50700.210515 (5.7.0) 
 - tool-dfuutil @ 1.11.0 
 - tool-dfuutil-arduino @ 1.11.0 
 - tool-openocd @ 3.1200.0 (12.0) 
 - tool-stm32duino @ 1.0.2 
 - toolchain-gccarmnoneeabi @ 1.120301.0 (12.3.1)
LDF: Library Dependency Finder -> https://bit.ly/configure-pio-ldf
LDF Modes: Finder ~ chain, Compatibility ~ soft
Found 17 compatible libraries
Scanning dependencies...
Dependency Graph
|-- ArduinoEigen @ 0.3.0
|-- SPI @ 1.0.0
Building in release mode
Compiling .pio\build\bluepill_f103c8\src\main.cpp.o
Linking .pio\build\bluepill_f103c8\firmware.elf
Checking size .pio\build\bluepill_f103c8\firmware.elf
Advanced Memory Usage is available via "PlatformIO Home > Project Inspect"
RAM:   [=         ]   8.0% (used 1632 bytes from 20480 bytes)
Flash: [====      ]  39.5% (used 25884 bytes from 65536 bytes)
Configuring upload protocol...
AVAILABLE: blackmagic, cmsis-dap, dfu, jlink, mbed, stlink
CURRENT: upload_protocol = stlink
Uploading .pio\build\bluepill_f103c8\firmware.elf
--- Terminal on COM5 | 460800 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),X_Puck(cm),Y_Puck(cm),Left_Angle(deg),Right_Angle(deg),Left_PWM,Right_PWM
0.00,0.00,0.00,-2.25,-1.28,-57.79,-15.97,50.00,50.00
1.70,0.00,0.00,-2.24,-1.28,-57.68,-15.82,50.00,50.00
2.65,0.00,0.00,-2.22,-1.28,-57.28,-15.42,50.00,50.00
3.88,0.00,0.00,-2.18,-1.28,-56.69,-14.68,50.00,50.00
5.09,0.00,0.00,-2.12,-1.28,-55.68,-13.75,50.00,50.00
6.45,0.00,0.00,-2.05,-1.28,-54.47,-12.63,50.00,50.00
7.28,0.00,0.00,-2.00,-1.28,-53.77,-11.80,50.00,50.00
8.60,0.00,0.00,-1.92,-1.29,-52.54,-10.46,50.00,50.00
9.91,0.00,0.00,-1.83,-1.29,-51.09,-8.92,50.00,50.00
11.01,0.00,0.00,-1.74,-1.29,-49.64,-7.27,50.00,50.00
12.15,0.00,0.00,-1.63,-1.30,-47.94,-5.38,50.00,50.00
13.49,0.00,0.00,-1.48,-1.30,-45.48,-3.05,50.00,50.00
14.85,0.00,0.00,-1.32,-1.29,-42.69,-0.42,50.00,50.00
15.72,0.00,0.00,-1.20,-1.29,-40.76,1.38,50.00,50.00
17.02,0.00,0.00,-1.02,-1.28,-37.71,4.31,50.00,50.00
18.04,0.00,0.00,-0.87,-1.28,-35.18,6.72,50.00,50.00
19.35,0.00,0.00,-0.67,-1.28,-31.93,10.11,50.00,50.00
20.58,0.00,0.00,-0.46,-1.29,-28.72,13.58,50.00,50.00
21.94,0.00,0.00,-0.22,-1.31,-25.09,17.75,50.00,50.00
22.78,0.00,0.00,-0.07,-1.31,-22.59,20.39,50.00,50.00
24.08,0.00,0.00,0.19,-1.31,-18.35,24.65,50.00,50.00
25.13,0.00,0.00,0.41,-1.31,-14.74,28.04,50.00,50.00
26.38,0.00,0.00,0.67,-1.30,-10.28,32.32,50.00,50.00
27.69,0.00,0.00,0.97,-1.30,-5.43,37.16,50.00,50.00
29.06,0.00,0.00,1.29,-1.30,-0.20,42.34,50.00,50.00
29.87,0.00,0.00,1.48,-1.30,2.97,45.44,50.00,50.00
31.15,0.00,0.00,1.79,-1.30,8.11,50.54,50.00,50.00
32.00,0.00,0.00,2.01,-1.30,11.62,54.10,50.00,50.00
33.32,0.00,0.00,2.36,-1.30,17.25,59.90,50.00,50.00
34.68,0.00,0.00,2.72,-1.31,23.12,65.96,50.00,50.00
35.49,0.00,0.00,2.94,-1.31,26.78,69.63,50.00,50.00
36.78,0.00,0.00,3.32,-1.30,33.00,75.61,50.00,50.00
37.77,0.00,0.00,3.61,-1.29,37.84,80.20,50.00,50.00
39.09,0.00,0.00,4.00,-1.29,44.38,86.64,50.00,50.00
40.33,0.00,0.00,4.39,-1.28,50.89,92.88,50.00,50.00
41.17,0.00,0.00,4.64,-1.28,55.06,96.99,50.00,50.00
42.48,0.00,0.00,5.05,-1.27,61.83,103.56,50.00,50.00
43.79,0.00,0.00,5.47,-1.28,68.62,110.43,50.00,50.00
44.77,0.00,0.00,5.79,-1.28,73.83,115.66,50.00,50.00
46.09,0.00,0.00,6.24,-1.28,81.21,123.02,50.00,50.00
47.37,0.00,0.00,6.68,-1.28,88.48,130.25,50.00,50.00
48.20,0.00,0.00,6.97,-1.28,93.19,135.04,50.00,50.00
49.51,0.00,0.00,7.44,-1.27,100.99,142.65,50.00,50.00
50.55,0.00,0.00,7.82,-1.27,107.23,148.78,0.00,0.00
51.80,0.00,0.00,8.27,-1.26,114.79,156.09,0.00,0.00
53.11,0.00,0.00,8.74,-1.26,122.48,163.67,0.00,0.00
53.94,0.00,0.00,9.03,-1.26,127.18,168.33,0.00,0.00
55.24,0.00,0.00,9.47,-1.25,134.45,175.45,0.00,0.00
56.55,0.00,0.00,9.91,-1.25,141.68,182.61,0.00,0.00
57.44,0.00,0.00,10.21,-1.25,146.58,187.58,0.00,0.00
58.77,0.00,0.00,10.64,-1.25,153.74,194.63,0.00,0.00
60.14,0.00,0.00,11.08,-1.25,161.04,201.84,0.00,0.00
60.97,0.00,0.00,11.34,-1.25,165.23,206.08,0.00,0.00
62.28,0.00,0.00,11.75,-1.24,172.00,212.61,0.00,0.00
63.56,0.00,0.00,12.14,-1.24,178.48,218.98,0.00,0.00
64.54,0.00,0.00,12.43,-1.24,183.23,223.75,0.00,0.00
65.88,0.00,0.00,12.82,-1.24,189.67,230.14,0.00,0.00
67.06,0.00,0.00,13.15,-1.23,195.14,235.48,0.00,0.00
68.02,0.00,0.00,13.42,-1.23,199.56,239.70,0.00,0.00
69.34,0.00,0.00,13.77,-1.22,205.49,245.43,0.00,0.00
70.62,0.00,0.00,14.10,-1.22,210.96,250.80,0.00,0.00
71.56,0.00,0.00,14.34,-1.21,214.87,254.64,0.00,0.00
72.89,0.00,0.00,14.67,-1.21,220.28,259.91,0.00,0.00
74.22,0.00,0.00,14.98,-1.21,225.44,265.12,0.00,0.00
75.05,0.00,0.00,15.18,-1.21,228.74,268.35,0.00,0.00
76.35,0.00,0.00,15.48,-1.21,233.64,273.27,0.00,0.00
77.33,0.00,0.00,15.71,-1.21,237.33,277.03,0.00,0.00
78.70,0.00,0.00,16.01,-1.21,242.36,281.93,0.00,0.00
79.84,0.00,0.00,16.26,-1.20,246.47,285.91,0.00,0.00
80.80,0.00,0.00,16.46,-1.20,249.79,289.14,0.00,0.00
82.10,0.00,0.00,16.73,-1.20,254.18,293.47,0.00,0.00
83.40,0.00,0.00,16.99,-1.19,258.62,297.71,0.00,0.00
84.35,0.00,0.00,17.17,-1.19,261.65,300.61,0.00,0.00
85.70,0.00,0.00,17.42,-1.19,265.80,304.65,0.00,0.00
86.93,0.00,0.00,17.65,-1.18,269.56,308.25,0.00,0.00
87.82,0.00,0.00,17.80,-1.18,272.13,310.74,0.00,0.00
89.12,0.00,0.00,18.04,-1.18,275.98,314.56,0.00,0.00
90.41,0.00,0.00,18.26,-1.18,279.56,318.27,0.00,0.00
91.49,0.00,0.00,18.44,-1.18,282.57,321.13,0.00,0.00
92.63,0.00,0.00,18.62,-1.18,285.58,324.10,0.00,0.00
93.99,0.00,0.00,18.83,-1.17,289.14,327.52,0.00,0.00
94.86,0.00,0.00,18.96,-1.17,291.27,329.55,0.00,0.00
96.18,0.00,0.00,19.16,-1.17,294.50,332.73,0.00,0.00
97.46,0.00,0.00,19.34,-1.17,297.40,335.65,0.00,0.00
98.49,0.00,0.00,19.47,-1.16,299.69,337.81,0.00,0.00
99.73,0.00,0.00,19.64,-1.16,302.45,340.47,0.00,0.00
101.08,0.00,0.00,19.81,-1.16,305.29,343.23,0.00,0.00
101.91,0.00,0.00,19.92,-1.16,307.07,344.97,0.00,0.00
103.22,0.00,0.00,20.08,-1.15,309.90,347.45,0.00,0.00
104.53,0.00,0.00,20.23,-1.14,312.47,349.76,0.00,0.00
105.59,0.00,0.00,20.35,-1.13,314.54,351.61,0.00,0.00
106.85,0.00,0.00,20.49,-1.13,316.89,353.80,0.00,0.00
108.18,0.00,0.00,20.63,-1.12,319.33,356.02,0.00,0.00
109.01,0.00,0.00,20.71,-1.12,320.73,357.32,0.00,0.00
110.31,0.00,0.00,20.83,-1.12,322.76,359.38,0.00,0.00
111.61,0.00,0.00,20.96,-1.12,324.82,361.34,0.00,0.00
112.78,0.00,0.00,21.06,-1.11,326.56,363.03,0.00,0.00
113.89,0.00,0.00,21.16,-1.11,328.25,364.61,0.00,0.00
115.27,0.00,0.00,21.28,-1.11,330.21,366.42,0.00,0.00
116.61,0.00,0.00,21.39,-1.10,332.18,368.13,0.00,0.00
117.44,0.00,0.00,21.45,-1.09,333.28,369.07,0.00,0.00
118.76,0.00,0.00,21.55,-1.09,335.00,370.61,0.00,0.00
120.07,0.00,0.00,21.65,-1.08,336.60,372.08,0.00,0.00
121.07,0.00,0.00,21.72,-1.08,337.87,373.14,0.00,0.00
122.43,0.00,0.00,21.80,-1.07,339.37,374.46,0.00,0.00
123.59,0.00,0.00,21.87,-1.07,340.60,375.49,0.00,0.00
124.56,0.00,0.00,21.93,-1.06,341.72,376.41,0.00,0.00
125.88,0.00,0.00,22.00,-1.05,342.97,377.42,0.00,0.00
127.20,0.00,0.00,22.07,-1.05,344.14,378.52,0.00,0.00
128.12,0.00,0.00,22.12,-1.05,344.99,379.23,0.00,0.00
129.50,0.00,0.00,22.19,-1.04,346.16,380.24,0.00,0.00
130.74,0.00,0.00,22.24,-1.04,346.99,381.07,0.00,0.00
131.64,0.00,0.00,22.28,-1.04,347.76,381.71,0.00,0.00
132.96,0.00,0.00,22.33,-1.04,348.64,382.59,0.00,0.00
134.27,0.00,0.00,22.38,-1.03,349.48,383.36,0.00,0.00
135.29,0.00,0.00,22.42,-1.03,350.13,383.97,0.00,0.00
136.55,0.00,0.00,22.46,-1.03,350.88,384.54,0.00,0.00
137.93,0.00,0.00,22.51,-1.03,351.65,385.25,0.00,0.00
139.14,0.00,0.00,22.55,-1.02,352.40,385.82,0.00,0.00
140.07,0.00,0.00,22.57,-1.02,352.73,386.19,0.00,0.00
141.39,0.00,0.00,22.60,-1.01,353.34,386.56,0.00,0.00
142.68,0.00,0.00,22.63,-1.01,353.94,387.07,0.00,0.00
143.73,0.00,0.00,22.65,-1.01,354.33,387.27,0.00,0.00
144.99,0.00,0.00,22.67,-1.01,354.68,387.60,0.00,0.00
146.33,0.00,0.00,22.69,-1.00,355.10,387.84,0.00,0.00
147.15,0.00,0.00,22.70,-1.00,355.25,387.99,0.00,0.00
148.45,0.00,0.00,22.72,-1.00,355.56,388.28,0.00,0.00
149.75,0.00,0.00,22.73,-1.00,355.83,388.52,0.00,0.00
150.92,0.00,0.00,22.74,-1.00,356.02,388.63,0.00,0.00
152.03,0.00,0.00,22.75,-0.99,356.29,388.72,0.00,0.00
153.41,0.00,0.00,22.76,-0.99,356.44,388.78,0.00,0.00
154.75,0.00,0.00,22.77,-0.98,356.64,388.83,0.00,0.00
155.58,0.00,0.00,22.78,-0.98,356.79,388.87,0.00,0.00
156.90,0.00,0.00,22.77,-0.98,356.81,388.81,0.00,0.00
158.21,0.00,0.00,22.77,-0.98,356.81,388.76,0.00,0.00
159.21,0.00,0.00,22.78,-0.98,356.88,388.83,0.00,0.00
160.55,0.00,0.00,22.77,-0.97,356.88,388.76,0.00,0.00
161.80,0.00,0.00,22.77,-0.97,356.88,388.74,0.00,0.00
162.67,0.00,0.00,22.77,-0.97,356.88,388.67,0.00,0.00
163.99,0.00,0.00,22.77,-0.97,356.88,388.70,0.00,0.00
165.29,0.00,0.00,22.77,-0.96,356.92,388.50,0.00,0.00
166.39,0.00,0.00,22.76,-0.96,356.88,388.43,0.00,0.00
167.51,0.00,0.00,22.76,-0.96,356.88,388.34,0.00,0.00
168.88,0.00,0.00,22.76,-0.96,356.86,388.32,0.00,0.00
169.79,0.00,0.00,22.76,-0.96,356.90,388.21,0.00,0.00
171.10,0.00,0.00,22.75,-0.96,356.84,388.15,0.00,0.00
172.41,0.00,0.00,22.75,-0.96,356.77,388.10,0.00,0.00
173.43,0.00,0.00,22.75,-0.96,356.75,388.13,0.00,0.00
174.75,0.00,0.00,22.75,-0.96,356.77,388.13,0.00,0.00
176.05,0.00,0.00,22.75,-0.96,356.70,388.08,0.00,0.00
177.34,0.00,0.00,22.75,-0.96,356.66,388.08,0.00,0.00
178.17,0.00,0.00,22.75,-0.96,356.70,388.15,0.00,0.00
179.48,0.00,0.00,22.75,-0.96,356.73,388.15,0.00,0.00
180.60,0.00,0.00,22.75,-0.96,356.68,388.13,0.00,0.00
181.88,0.00,0.00,22.75,-0.96,356.77,388.10,0.00,0.00
183.13,0.00,0.00,22.75,-0.96,356.70,388.10,0.00,0.00
184.47,0.00,0.00,22.75,-0.95,356.84,388.10,0.00,0.00
185.29,0.00,0.00,22.75,-0.96,356.79,388.17,0.00,0.00
186.60,0.00,0.00,22.75,-0.96,356.75,388.10,0.00,0.00
187.89,0.00,0.00,22.75,-0.95,356.86,388.10,0.00,0.00
189.06,0.00,0.00,22.75,-0.96,356.73,388.17,0.00,0.00
190.17,0.00,0.00,22.75,-0.96,356.79,388.10,0.00,0.00
191.55,0.00,0.00,22.75,-0.96,356.68,388.10,0.00,0.00
192.89,0.00,0.00,22.75,-0.96,356.77,388.06,0.00,0.00
193.72,0.00,0.00,22.75,-0.96,356.68,388.06,0.00,0.00
195.04,0.00,0.00,22.75,-0.96,356.68,388.04,0.00,0.00
196.35,0.00,0.00,22.75,-0.96,356.75,388.06,0.00,0.00
197.35,0.00,0.00,22.75,-0.96,356.70,388.15,0.00,0.00
198.69,0.00,0.00,22.75,-0.96,356.66,388.10,0.00,0.00
199.92,0.00,0.00,22.75,-0.96,356.62,388.08,0.00,0.00
========================= [SUCCESS] Took 11.83 seconds =========================
