BEGIN CSV
Fully Homed
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),X_Mallet(cm),Y_Mallet(cm),Left_Angle(deg),Right_Angle(deg),Left_Error(deg),Right_Error(deg),Left_PID,Right_PID,Left_Feed_Forward,Right_Feed_Forward,Left_PWM,Right_PWM,X_Puck,Y_Puck
0.01,6.99,5.08,6.99,5.08,197.59,31.27,0.00,0.00,0.00,0.01,76.65,-33.86,76.65,-33.86,0.00,0.00
2.40,7.00,5.09,6.99,5.08,197.54,31.29,0.47,-0.04,3.59,-0.27,76.58,-33.26,80.17,-33.53,0.00,0.00
4.56,7.04,5.13,7.02,5.13,198.99,30.96,0.13,0.26,-2.46,2.43,76.49,-32.71,74.03,-30.28,0.00,0.00
6.55,7.08,5.18,7.17,5.32,204.36,30.23,-3.60,0.93,-33.45,6.26,76.40,-32.20,42.95,-25.95,0.00,0.00
8.94,7.16,5.26,7.25,5.47,208.36,29.14,-4.91,1.95,-12.71,8.45,76.25,-31.60,63.54,-23.14,0.00,0.00
11.63,7.28,5.39,7.31,5.54,210.27,28.94,-2.83,2.02,10.54,1.98,76.06,-30.91,86.60,-28.94,0.00,0.00
13.58,7.39,5.50,7.33,5.54,210.57,29.33,0.37,1.52,27.22,-3.09,75.91,-30.42,100.00,-33.51,0.00,0.00
15.78,7.52,5.64,7.40,5.59,212.68,29.69,2.83,1.03,20.51,-2.89,75.71,-29.85,96.22,-32.75,0.00,0.00
17.96,7.67,5.81,7.51,5.76,217.17,28.74,3.53,1.82,7.85,7.27,75.49,-29.29,83.34,-22.03,0.00,0.00
20.66,7.89,6.03,7.69,6.05,225.01,26.85,2.91,3.49,-1.55,12.78,75.19,-28.60,73.63,-15.83,0.00,0.00
22.61,8.06,6.22,7.82,6.26,230.48,25.64,3.27,4.52,5.44,12.03,74.95,-28.10,80.38,-16.07,0.00,0.00
25.35,8.33,6.50,8.00,6.43,236.30,25.69,6.38,4.20,23.46,1.27,74.58,-27.40,98.04,-26.13,0.00,0.00
28.06,8.61,6.81,8.22,6.63,243.09,26.17,9.35,3.42,24.96,-2.13,74.19,-26.70,99.15,-28.83,0.00,0.00
30.00,8.84,7.04,8.42,6.85,249.99,25.64,9.97,3.73,12.65,5.34,73.89,-26.20,86.53,-20.86,0.00,0.00
33.02,9.21,7.44,8.75,7.32,263.07,23.33,9.42,5.66,4.08,14.75,73.38,-25.42,77.46,-10.67,0.00,0.00
34.95,9.46,7.71,8.97,7.62,271.57,22.17,9.46,6.57,7.48,12.66,73.04,-24.92,80.51,-12.26,0.00,0.00
