BEGIN CSV
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),X_Puck(cm),Y_Puck(cm),Left_Angle(deg),Right_Angle(deg),Left_PWM,Right_PWM
0.00,0.00,0.00,0.60,-5.84,-85.85,105.34,-50.00,50.00
1.69,0.00,0.00,0.60,-5.85,-85.96,105.51,-50.00,50.00
2.66,0.00,0.00,0.60,-5.87,-86.37,105.89,-50.00,50.00
3.86,0.00,0.00,0.59,-5.91,-87.03,106.50,-50.00,50.00
5.11,0.00,0.00,0.59,-5.96,-87.80,107.18,-50.00,50.00
6.49,0.00,0.00,0.59,-6.00,-88.51,107.91,-50.00,50.00
7.31,0.00,0.00,0.59,-6.02,-89.01,108.24,-50.00,50.00
8.61,0.00,0.00,0.59,-6.06,-89.67,108.90,-50.00,50.00
9.91,0.00,0.00,0.58,-6.10,-90.37,109.47,-50.00,50.00
10.98,0.00,0.00,0.58,-6.14,-90.97,110.06,-50.00,50.00
12.26,0.00,0.00,0.58,-6.18,-91.63,110.72,-50.00,50.00
13.62,0.00,0.00,0.58,-6.24,-92.55,111.64,-50.00,50.00
14.85,0.00,0.00,0.59,-6.30,-93.49,112.87,-50.00,50.00
15.75,0.00,0.00,0.59,-6.37,-94.53,113.91,-50.00,50.00
17.08,0.00,0.00,0.59,-6.46,-96.20,115.47,-50.00,50.00
18.41,0.00,0.00,0.59,-6.56,-97.84,117.00,-50.00,50.00
19.38,0.00,0.00,0.59,-6.64,-99.07,118.28,-50.00,50.00
20.76,0.00,0.00,0.59,-6.75,-100.79,120.23,-50.00,50.00
22.07,0.00,0.00,0.59,-6.86,-102.74,121.95,-50.00,50.00
23.46,0.00,0.00,0.59,-6.99,-104.74,124.04,-50.00,50.00
24.28,0.00,0.00,0.59,-7.07,-106.08,125.33,-50.00,50.00
25.61,0.00,0.00,0.59,-7.19,-108.08,127.42,-50.00,50.00
26.94,0.00,0.00,0.59,-7.33,-110.21,129.66,-50.00,50.00
28.28,0.00,0.00,0.60,-7.47,-112.61,132.10,-50.00,50.00
29.32,0.00,0.00,0.59,-7.59,-114.63,133.99,-50.00,50.00
30.68,0.00,0.00,0.59,-7.75,-117.22,136.63,-50.00,50.00
31.94,0.00,0.00,0.59,-7.90,-119.71,139.09,-50.00,50.00
33.33,0.00,0.00,0.59,-8.09,-122.65,142.08,-50.00,50.00
34.15,0.00,0.00,0.60,-8.20,-124.43,143.96,-50.00,50.00
35.49,0.00,0.00,0.60,-8.39,-127.62,147.11,-50.00,50.00
