BEGIN CSV
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),X_Puck(cm),Y_Puck(cm),Left_Angle(deg),Right_Angle(deg),Left_PWM,Right_PWM
0.00,0.00,0.00,-4.12,-7.99,-198.39,63.35,-100.00,-100.00
1.70,0.00,0.00,-4.14,-8.00,-198.79,63.22,-100.00,-100.00
2.78,0.00,0.00,-4.20,-8.00,-199.78,62.27,-100.00,-100.00
4.12,0.00,0.00,-4.33,-8.02,-202.13,60.40,-100.00,-100.00
5.35,0.00,0.00,-4.44,-8.02,-203.99,58.47,-100.00,-100.00
6.61,0.00,0.00,-4.58,-8.00,-206.02,56.05,-100.00,-100.00
8.01,0.00,0.00,-4.73,-7.99,-208.17,53.46,-100.00,-100.00
9.35,0.00,0.00,-4.90,-7.99,-210.89,50.56,-100.00,-100.00
10.78,0.00,0.00,-5.11,-8.00,-214.54,47.26,-100.00,-100.00
12.03,0.00,0.00,-5.32,-8.01,-218.10,44.01,-100.00,-100.00
12.94,0.00,0.00,-5.49,-8.01,-220.91,41.31,-100.00,-100.00
14.30,0.00,0.00,-5.77,-8.00,-225.46,36.47,-100.00,-100.00
15.65,0.00,0.00,-6.09,-7.98,-230.32,30.96,-100.00,-100.00
17.02,0.00,0.00,-6.43,-7.97,-235.74,25.16,-100.00,-100.00
18.38,0.00,0.00,-6.80,-7.96,-241.74,19.01,-100.00,-100.00
19.57,0.00,0.00,-7.15,-7.97,-247.43,13.40,-100.00,-100.00
20.87,0.00,0.00,-7.56,-7.96,-254.18,6.50,-100.00,-100.00
22.24,0.00,0.00,-8.02,-7.95,-261.45,-1.14,-100.00,-100.00
23.50,0.00,0.00,-8.48,-7.95,-268.90,-8.64,-100.00,-100.00
24.87,0.00,0.00,-9.00,-7.95,-277.56,-17.18,-100.00,-100.00
26.28,0.00,0.00,-9.54,-7.95,-286.35,-26.02,-100.00,-100.00
27.68,0.00,0.00,-10.10,-7.94,-295.38,-35.38,-100.00,-100.00
29.12,0.00,0.00,-10.70,-7.93,-305.07,-45.35,-100.00,-100.00
