BEGIN CSV
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),X_Puck(cm),Y_Puck(cm),Left_Angle(deg),Right_Angle(deg),Left_PWM,Right_PWM
0.00,0.00,0.00,-1.49,1.57,1.38,-50.16,50.00,50.00
1.69,0.00,0.00,-1.48,1.58,1.58,-50.03,50.00,50.00
2.54,0.00,0.00,-1.46,1.58,1.96,-49.68,50.00,50.00
3.67,0.00,0.00,-1.42,1.58,2.64,-49.00,50.00,50.00
5.01,0.00,0.00,-1.36,1.59,3.76,-48.14,50.00,50.00
5.83,0.00,0.00,-1.31,1.59,4.48,-47.50,50.00,50.00
7.12,0.00,0.00,-1.24,1.59,5.71,-46.32,50.00,50.00
8.14,0.00,0.00,-1.17,1.59,6.81,-45.26,50.00,50.00
9.39,0.00,0.00,-1.08,1.59,8.46,-43.70,50.00,50.00
10.66,0.00,0.00,-0.97,1.59,10.09,-41.97,50.00,50.00
11.48,0.00,0.00,-0.90,1.60,11.38,-40.89,50.00,50.00
12.78,0.00,0.00,-0.77,1.60,13.54,-38.85,50.00,50.00
13.86,0.00,0.00,-0.65,1.60,15.51,-36.85,50.00,50.00
15.10,0.00,0.00,-0.51,1.60,17.93,-34.54,50.00,50.00
16.43,0.00,0.00,-0.33,1.61,20.92,-31.71,50.00,50.00
17.73,0.00,0.00,-0.15,1.61,24.04,-28.81,50.00,50.00
18.54,0.00,0.00,-0.02,1.62,26.10,-26.92,50.00,50.00
19.84,0.00,0.00,0.19,1.63,29.73,-23.55,50.00,50.00
20.88,0.00,0.00,0.37,1.63,32.81,-20.63,50.00,50.00
22.14,0.00,0.00,0.60,1.64,36.65,-16.90,50.00,50.00
23.43,0.00,0.00,0.85,1.64,40.69,-12.94,50.00,50.00
24.23,0.00,0.00,1.01,1.64,43.37,-10.26,50.00,50.00
25.53,0.00,0.00,1.28,1.64,47.86,-5.89,50.00,50.00
26.83,0.00,0.00,1.56,1.64,52.38,-1.32,50.00,50.00
27.81,0.00,0.00,1.78,1.64,56.01,2.20,50.00,50.00
29.06,0.00,0.00,2.06,1.65,60.73,6.79,50.00,50.00
29.88,0.00,0.00,2.25,1.65,63.92,9.84,50.00,50.00
31.15,0.00,0.00,2.57,1.65,69.15,15.01,50.00,50.00
32.16,0.00,0.00,2.83,1.66,73.50,19.20,50.00,50.00
33.44,0.00,0.00,3.18,1.67,79.28,24.76,50.00,50.00
34.65,0.00,0.00,3.51,1.67,84.81,30.01,50.00,50.00
35.50,0.00,0.00,3.74,1.67,88.62,33.84,50.00,50.00
36.78,0.00,0.00,4.11,1.68,94.77,39.86,50.00,50.00
37.80,0.00,0.00,4.41,1.68,99.60,44.69,50.00,50.00
39.08,0.00,0.00,4.79,1.68,105.95,50.87,50.00,50.00
40.31,0.00,0.00,5.16,1.69,112.08,56.80,50.00,50.00
41.15,0.00,0.00,5.42,1.69,116.41,60.93,50.00,50.00
42.44,0.00,0.00,5.84,1.70,123.35,67.70,50.00,50.00
43.51,0.00,0.00,6.19,1.71,129.24,73.26,50.00,50.00
44.71,0.00,0.00,6.59,1.71,135.88,79.74,50.00,50.00
46.06,0.00,0.00,7.05,1.72,143.53,87.28,50.00,50.00
46.86,0.00,0.00,7.33,1.72,148.14,91.85,50.00,50.00
48.16,0.00,0.00,7.79,1.72,155.72,99.25,50.00,50.00
49.45,0.00,0.00,8.26,1.73,163.54,106.90,50.00,50.00
50.47,0.00,0.00,8.63,1.73,169.65,112.90,50.00,50.00
51.76,0.00,0.00,9.11,1.73,177.56,120.76,50.00,50.00
53.04,0.00,0.00,9.59,1.74,185.60,128.52,50.00,50.00
53.86,0.00,0.00,9.91,1.75,190.90,133.68,50.00,50.00
55.17,0.00,0.00,10.42,1.76,199.31,141.77,50.00,50.00
56.24,0.00,0.00,10.84,1.76,206.28,148.65,50.00,50.00
57.51,0.00,0.00,11.35,1.77,214.83,156.91,50.00,50.00
58.88,0.00,0.00,11.91,1.77,224.01,165.98,50.00,50.00
60.05,0.00,0.00,12.39,1.77,231.92,173.85,50.00,50.00
60.97,0.00,0.00,12.78,1.78,238.34,180.20,50.00,50.00
62.28,0.00,0.00,13.34,1.78,247.50,189.34,50.00,50.00
63.59,0.00,0.00,13.91,1.78,256.93,198.65,50.00,50.00
64.66,0.00,0.00,14.38,1.79,264.62,206.15,50.00,50.00
65.90,0.00,0.00,14.93,1.79,273.67,215.09,50.00,50.00
67.28,0.00,0.00,15.54,1.80,283.86,224.98,50.00,50.00
68.51,0.00,0.00,16.09,1.81,293.03,233.90,50.00,50.00
69.39,0.00,0.00,16.50,1.81,299.77,240.45,50.00,50.00
70.71,0.00,0.00,17.10,1.82,309.66,250.20,50.00,50.00
71.72,0.00,0.00,17.57,1.82,317.48,257.78,50.00,50.00
73.08,0.00,0.00,18.21,1.83,328.05,268.02,50.00,50.00
74.27,0.00,0.00,18.77,1.83,337.24,277.19,50.00,50.00
75.66,0.00,0.00,19.43,1.84,348.31,287.95,50.00,50.00
76.47,0.00,0.00,19.82,1.85,354.79,294.26,50.00,50.00
77.77,0.00,0.00,20.46,1.86,365.45,304.52,50.00,50.00
78.89,0.00,0.00,21.01,1.87,374.48,313.40,50.00,50.00
80.18,0.00,0.00,21.65,1.88,385.16,323.72,-50.00,-50.00
81.43,0.00,0.00,22.27,1.89,395.44,333.70,-50.00,-50.00
82.83,0.00,0.00,22.92,1.90,406.30,344.05,-50.00,-50.00
84.11,0.00,0.00,23.48,1.90,415.48,353.12,-50.00,-50.00
84.95,0.00,0.00,23.82,1.90,420.93,358.81,-50.00,-50.00
86.29,0.00,0.00,24.36,1.89,429.74,367.89,-50.00,-50.00
87.61,0.00,0.00,24.89,1.89,438.29,376.46,-50.00,-50.00
88.79,0.00,0.00,25.33,1.89,445.69,383.71,-50.00,-50.00
90.01,0.00,0.00,25.77,1.90,453.08,390.76,-50.00,-50.00
91.41,0.00,0.00,26.24,1.92,460.90,398.14,-50.00,-50.00
92.61,0.00,0.00,26.61,1.92,467.12,404.23,-50.00,-50.00
94.00,0.00,0.00,27.02,1.93,473.84,410.69,-50.00,-50.00
94.84,0.00,0.00,27.25,1.94,477.80,414.32,-50.00,-50.00
96.18,0.00,0.00,27.59,1.95,483.57,419.70,-50.00,-50.00
97.50,0.00,0.00,27.90,1.97,488.94,424.45,-50.00,-50.00
98.68,0.00,0.00,28.15,1.99,493.42,428.36,-50.00,-50.00
99.90,0.00,0.00,28.39,1.99,497.35,432.16,-50.00,-50.00
101.30,0.00,0.00,28.63,1.99,501.28,436.22,-50.00,-50.00
102.52,0.00,0.00,28.82,1.99,504.23,439.21,-50.00,-50.00
103.92,0.00,0.00,29.00,2.00,507.50,442.11,-50.00,-50.00
104.75,0.00,0.00,29.10,2.01,509.33,443.54,-50.00,-50.00
106.11,0.00,0.00,29.25,2.03,511.96,445.56,-50.00,-50.00
107.47,0.00,0.00,29.36,2.04,514.01,447.34,-50.00,-50.00
108.81,0.00,0.00,29.45,2.04,515.61,448.66,-50.00,-50.00
109.89,0.00,0.00,29.50,2.05,516.51,449.43,-50.00,-50.00
111.18,0.00,0.00,29.55,2.05,517.28,450.07,-50.00,-50.00
112.53,0.00,0.00,29.57,2.06,517.76,450.33,-50.00,-50.00
113.94,0.00,0.00,29.57,2.06,517.85,450.31,-50.00,-50.00
115.17,0.00,0.00,29.55,2.06,517.57,449.98,-50.00,-50.00
116.58,0.00,0.00,29.51,2.07,516.95,449.10,-50.00,-50.00
117.43,0.00,0.00,29.47,2.08,516.53,448.46,-50.00,-50.00
118.77,0.00,0.00,29.40,2.10,515.61,447.01,-50.00,-50.00
120.12,0.00,0.00,29.31,2.11,514.40,445.36,-50.00,-50.00
121.22,0.00,0.00,29.23,2.12,513.15,443.72,-50.00,-50.00
122.52,0.00,0.00,29.11,2.12,511.39,441.83,-50.00,-50.00
123.88,0.00,0.00,28.98,2.13,509.28,439.41,-50.00,-50.00
125.19,0.00,0.00,28.83,2.14,506.95,436.93,-50.00,-50.00
126.59,0.00,0.00,28.65,2.14,504.03,433.89,-50.00,-50.00
127.85,0.00,0.00,28.48,2.15,501.35,430.99,-50.00,-50.00
128.74,0.00,0.00,28.35,2.15,499.24,428.86,-50.00,-50.00
130.09,0.00,0.00,28.14,2.16,495.97,425.39,-50.00,-50.00
131.43,0.00,0.00,27.92,2.17,492.50,421.59,-50.00,-50.00
132.78,0.00,0.00,27.68,2.18,488.85,417.41,-50.00,-50.00
133.85,0.00,0.00,27.48,2.19,485.75,413.90,-50.00,-50.00
135.21,0.00,0.00,27.22,2.20,481.60,409.46,-50.00,-50.00
136.52,0.00,0.00,26.95,2.21,477.22,405.02,-50.00,-50.00
137.90,0.00,0.00,26.65,2.21,472.37,400.06,-50.00,-50.00
139.17,0.00,0.00,26.36,2.21,467.80,395.38,-50.00,-50.00
140.04,0.00,0.00,26.16,2.22,464.46,391.88,-50.00,-50.00
141.39,0.00,0.00,25.84,2.23,459.38,386.50,-50.00,-50.00
142.73,0.00,0.00,25.50,2.23,453.96,380.81,-50.00,-50.00
144.08,0.00,0.00,25.14,2.24,448.24,374.90,-50.00,-50.00
145.18,0.00,0.00,24.85,2.25,443.63,369.82,-50.00,-50.00
146.52,0.00,0.00,24.47,2.27,437.85,363.47,-50.00,-50.00
147.84,0.00,0.00,24.10,2.28,431.85,357.28,-50.00,-50.00
149.21,0.00,0.00,23.69,2.28,425.24,350.53,-50.00,-50.00
150.50,0.00,0.00,23.31,2.29,418.93,344.09,-50.00,-50.00
151.34,0.00,0.00,23.05,2.29,414.80,339.76,-50.00,-50.00
152.69,0.00,0.00,22.63,2.30,407.97,332.80,-50.00,-50.00
154.03,0.00,0.00,22.20,2.30,401.20,325.74,-50.00,-50.00
155.38,0.00,0.00,21.76,2.31,394.01,318.41,-50.00,-50.00
156.51,0.00,0.00,21.38,2.31,387.80,312.19,-50.00,-50.00
157.72,0.00,0.00,20.97,2.31,381.12,305.44,-50.00,-50.00
159.08,0.00,0.00,20.50,2.32,373.51,297.53,-50.00,-50.00
160.47,0.00,0.00,20.01,2.33,365.73,289.34,0.00,0.00
161.81,0.00,0.00,19.53,2.33,357.85,281.56,0.00,0.00
162.63,0.00,0.00,19.24,2.34,353.25,276.77,0.00,0.00
163.94,0.00,0.00,18.81,2.33,346.09,269.65,0.00,0.00
164.92,0.00,0.00,18.48,2.34,340.77,264.11,0.00,0.00
166.28,0.00,0.00,18.02,2.34,333.39,256.68,0.00,0.00
167.45,0.00,0.00,17.64,2.36,327.30,250.11,0.00,0.00
168.38,0.00,0.00,17.33,2.36,322.32,245.15,0.00,0.00
169.68,0.00,0.00,16.92,2.36,315.70,238.32,0.00,0.00
170.98,0.00,0.00,16.52,2.37,309.16,231.61,0.00,0.00
171.94,0.00,0.00,16.23,2.37,304.48,226.80,0.00,0.00
173.31,0.00,0.00,15.82,2.38,297.88,220.08,0.00,0.00
174.49,0.00,0.00,15.47,2.38,292.28,214.34,0.00,0.00
175.42,0.00,0.00,15.21,2.39,288.11,209.90,0.00,0.00
176.74,0.00,0.00,14.85,2.39,282.24,203.91,0.00,0.00
178.05,0.00,0.00,14.50,2.40,276.53,198.06,0.00,0.00
178.94,0.00,0.00,14.26,2.40,272.75,194.17,0.00,0.00
180.31,0.00,0.00,13.91,2.40,267.06,188.35,0.00,0.00
181.60,0.00,0.00,13.59,2.41,261.96,182.92,0.00,0.00
182.43,0.00,0.00,13.38,2.42,258.64,179.49,0.00,0.00
183.76,0.00,0.00,13.07,2.43,253.67,174.13,0.00,0.00
185.05,0.00,0.00,12.76,2.43,248.80,169.08,0.00,0.00
186.07,0.00,0.00,12.53,2.45,245.19,165.01,0.00,0.00
187.34,0.00,0.00,12.25,2.45,240.67,160.31,0.00,0.00
188.71,0.00,0.00,11.95,2.45,235.81,155.43,0.00,0.00
189.53,0.00,0.00,11.77,2.46,233.00,152.51,0.00,0.00
190.83,0.00,0.00,11.52,2.46,228.78,148.32,0.00,0.00
192.12,0.00,0.00,11.26,2.46,224.60,144.03,0.00,0.00
193.07,0.00,0.00,11.08,2.47,221.70,140.91,0.00,0.00
194.43,0.00,0.00,10.82,2.47,217.44,136.67,0.00,0.00
195.61,0.00,0.00,10.60,2.48,213.99,132.96,0.00,0.00
196.56,0.00,0.00,10.43,2.48,211.29,130.08,0.00,0.00
197.89,0.00,0.00,10.19,2.48,207.51,126.21,0.00,0.00
199.18,0.00,0.00,9.97,2.49,204.04,122.48,0.00,0.00
200.08,0.00,0.00,9.82,2.50,201.67,119.90,0.00,0.00
201.39,0.00,0.00,9.60,2.50,198.17,116.26,0.00,0.00
202.23,0.00,0.00,9.47,2.50,196.02,114.10,0.00,0.00
203.54,0.00,0.00,9.27,2.50,192.74,110.83,0.00,0.00
204.83,0.00,0.00,9.08,2.50,189.67,107.71,0.00,0.00
205.83,0.00,0.00,8.94,2.51,187.38,105.34,0.00,0.00
207.12,0.00,0.00,8.76,2.51,184.42,102.39,0.00,0.00
208.38,0.00,0.00,8.59,2.51,181.76,99.56,0.00,0.00
209.24,0.00,0.00,8.48,2.51,179.87,97.67,0.00,0.00
210.51,0.00,0.00,8.31,2.52,177.19,94.81,0.00,0.00
211.51,0.00,0.00,8.18,2.52,175.19,92.61,0.00,0.00
212.73,0.00,0.00,8.03,2.52,172.84,90.22,0.00,0.00
213.58,0.00,0.00,7.94,2.53,171.36,88.46,0.00,0.00
214.85,0.00,0.00,7.80,2.53,169.21,86.22,0.00,0.00
216.13,0.00,0.00,7.66,2.54,166.97,83.96,0.00,0.00
217.17,0.00,0.00,7.55,2.54,165.26,82.07,0.00,0.00
218.35,0.00,0.00,7.44,2.54,163.37,80.18,0.00,0.00
219.23,0.00,0.00,7.35,2.54,161.94,78.71,0.00,0.00
220.50,0.00,0.00,7.23,2.55,160.00,76.64,0.00,0.00
221.78,0.00,0.00,7.11,2.55,158.23,74.66,0.00,0.00
222.79,0.00,0.00,7.02,2.55,156.75,73.10,0.00,0.00
224.02,0.00,0.00,6.91,2.56,155.08,71.26,0.00,0.00
224.84,0.00,0.00,6.84,2.56,153.87,70.03,0.00,0.00
226.14,0.00,0.00,6.74,2.57,152.31,68.27,0.00,0.00
227.18,0.00,0.00,6.65,2.57,151.00,66.88,0.00,0.00
228.41,0.00,0.00,6.56,2.57,149.50,65.39,0.00,0.00
229.69,0.00,0.00,6.47,2.57,148.12,63.83,0.00,0.00
230.51,0.00,0.00,6.42,2.58,147.24,62.89,0.00,0.00
231.80,0.00,0.00,6.33,2.58,145.83,61.41,0.00,0.00
233.08,0.00,0.00,6.25,2.58,144.58,60.12,0.00,0.00
234.04,0.00,0.00,6.20,2.58,143.70,59.13,0.00,0.00
235.31,0.00,0.00,6.12,2.59,142.56,57.88,0.00,0.00
236.14,0.00,0.00,6.08,2.59,141.86,57.08,0.00,0.00
237.43,0.00,0.00,6.01,2.59,140.71,55.92,0.00,0.00
238.40,0.00,0.00,5.96,2.59,139.94,55.06,0.00,0.00
239.75,0.00,0.00,5.89,2.60,138.93,53.88,0.00,0.00
