BEGIN CSV
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),X_Puck(cm),Y_Puck(cm),Left_Angle(deg),Right_Angle(deg),Left_PWM,Right_PWM
0.00,0.00,0.00,-0.38,-7.43,-127.90,115.51,20.00,-20.00
1.70,0.00,0.00,-0.38,-7.43,-127.86,115.47,20.00,-20.00
2.71,0.00,0.00,-0.38,-7.42,-127.71,115.36,20.00,-20.00
3.99,0.00,0.00,-0.38,-7.41,-127.46,115.14,20.00,-20.00
5.17,0.00,0.00,-0.38,-7.40,-127.22,114.90,20.00,-20.00
6.57,0.00,0.00,-0.38,-7.38,-126.94,114.59,20.00,-20.00
7.83,0.00,0.00,-0.37,-7.37,-126.65,114.50,20.00,-20.00
9.20,0.00,0.00,-0.37,-7.35,-126.47,114.21,20.00,-20.00
10.07,0.00,0.00,-0.37,-7.34,-126.34,114.10,20.00,-20.00
11.42,0.00,0.00,-0.37,-7.33,-126.15,113.88,20.00,-20.00
12.75,0.00,0.00,-0.38,-7.31,-125.88,113.60,20.00,-20.00
13.85,0.00,0.00,-0.37,-7.30,-125.62,113.36,20.00,-20.00
15.16,0.00,0.00,-0.37,-7.27,-125.20,112.96,20.00,-20.00
16.50,0.00,0.00,-0.38,-7.24,-124.67,112.39,20.00,-20.00
17.81,0.00,0.00,-0.37,-7.21,-124.08,111.84,20.00,-20.00
19.21,0.00,0.00,-0.37,-7.17,-123.51,111.25,20.00,-20.00
20.46,0.00,0.00,-0.37,-7.14,-122.96,110.70,20.00,-20.00
21.39,0.00,0.00,-0.38,-7.11,-122.61,110.17,20.00,-20.00
22.73,0.00,0.00,-0.38,-7.08,-122.08,109.62,20.00,-20.00
24.07,0.00,0.00,-0.38,-7.04,-121.51,108.92,20.00,-20.00
25.42,0.00,0.00,-0.39,-7.00,-120.87,108.26,20.00,-20.00
26.48,0.00,0.00,-0.39,-6.96,-120.30,107.58,20.00,-20.00
27.80,0.00,0.00,-0.39,-6.91,-119.55,106.79,20.00,-20.00
29.14,0.00,0.00,-0.39,-6.86,-118.78,105.95,20.00,-20.00
