BEGIN CSV
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),X_Puck(cm),Y_Puck(cm),Left_Angle(deg),Right_Angle(deg),Left_PWM,Right_PWM
0.00,0.00,0.00,-0.38,-8.20,-140.36,127.99,50.00,-50.00
1.70,0.00,0.00,-0.38,-8.19,-140.32,127.81,50.00,-50.00
2.71,0.00,0.00,-0.38,-8.16,-139.79,127.35,50.00,-50.00
3.99,0.00,0.00,-0.38,-8.12,-139.09,126.61,50.00,-50.00
5.17,0.00,0.00,-0.38,-8.07,-138.34,125.84,50.00,-50.00
6.57,0.00,0.00,-0.38,-8.02,-137.48,125.02,50.00,-50.00
7.87,0.00,0.00,-0.38,-7.97,-136.78,124.30,50.00,-50.00
9.27,0.00,0.00,-0.38,-7.93,-136.08,123.57,50.00,-50.00
10.09,0.00,0.00,-0.38,-7.91,-135.79,123.22,50.00,-50.00
11.43,0.00,0.00,-0.37,-7.87,-134.93,122.74,50.00,-50.00
12.77,0.00,0.00,-0.37,-7.82,-134.08,122.01,50.00,-50.00
14.11,0.00,0.00,-0.37,-7.76,-132.98,120.96,50.00,-50.00
15.16,0.00,0.00,-0.36,-7.69,-131.77,120.15,50.00,-50.00
16.54,0.00,0.00,-0.35,-7.60,-130.08,118.59,50.00,-50.00
17.81,0.00,0.00,-0.34,-7.50,-128.34,117.11,50.00,-50.00
19.21,0.00,0.00,-0.33,-7.38,-126.15,115.38,50.00,-50.00
20.53,0.00,0.00,-0.32,-7.26,-124.10,113.75,50.00,-50.00
21.37,0.00,0.00,-0.32,-7.20,-123.02,112.70,50.00,-50.00
22.72,0.00,0.00,-0.31,-7.09,-121.16,110.94,50.00,-50.00
24.06,0.00,0.00,-0.31,-6.97,-119.31,109.01,50.00,-50.00
25.18,0.00,0.00,-0.31,-6.87,-117.55,107.38,50.00,-50.00
26.49,0.00,0.00,-0.32,-6.74,-115.49,105.14,50.00,-50.00
27.83,0.00,0.00,-0.32,-6.59,-113.09,102.66,50.00,-50.00
29.14,0.00,0.00,-0.32,-6.43,-110.52,100.11,50.00,-50.00
30.56,0.00,0.00,-0.31,-6.26,-107.56,97.27,50.00,-50.00
31.74,0.00,0.00,-0.31,-6.10,-104.99,94.88,50.00,-50.00
32.71,0.00,0.00,-0.31,-5.98,-102.94,92.92,50.00,-50.00
34.04,0.00,0.00,-0.30,-5.81,-100.11,90.13,50.00,-50.00
35.37,0.00,0.00,-0.31,-5.64,-97.40,87.25,50.00,-50.00
36.34,0.00,0.00,-0.32,-5.51,-95.36,84.99,50.00,-50.00
37.72,0.00,0.00,-0.32,-5.31,-92.26,81.67,50.00,-50.00
39.02,0.00,0.00,-0.33,-5.12,-89.19,78.35,50.00,-50.00
40.39,0.00,0.00,-0.33,-4.90,-85.65,74.79,50.00,-50.00
41.21,0.00,0.00,-0.33,-4.77,-83.41,72.66,50.00,-50.00
42.54,0.00,0.00,-0.33,-4.55,-79.85,69.10,50.00,-50.00
43.87,0.00,0.00,-0.32,-4.32,-76.11,65.48,50.00,-50.00
45.19,0.00,0.00,-0.33,-4.10,-72.49,61.77,50.00,-50.00
46.14,0.00,0.00,-0.33,-3.93,-69.83,58.93,50.00,-50.00
47.52,0.00,0.00,-0.34,-3.68,-65.81,54.73,50.00,-50.00
48.83,0.00,0.00,-0.34,-3.44,-61.96,50.69,50.00,-50.00
49.66,0.00,0.00,-0.35,-3.28,-59.37,48.03,50.00,-50.00
50.98,0.00,0.00,-0.35,-3.03,-55.31,43.90,50.00,-50.00
52.29,0.00,0.00,-0.35,-2.78,-51.17,39.73,50.00,-50.00
53.45,0.00,0.00,-0.35,-2.55,-47.40,36.08,50.00,-50.00
54.64,0.00,0.00,-0.35,-2.31,-43.55,32.12,50.00,-50.00
56.03,0.00,0.00,-0.34,-2.02,-38.74,27.51,50.00,-50.00
57.27,0.00,0.00,-0.34,-1.76,-34.39,23.27,50.00,-50.00
58.16,0.00,0.00,-0.34,-1.57,-31.20,20.13,50.00,-50.00
59.47,0.00,0.00,-0.34,-1.28,-26.67,15.38,50.00,-50.00
60.79,0.00,0.00,-0.34,-0.98,-21.75,10.48,50.00,-50.00
61.91,0.00,0.00,-0.34,-0.73,-17.51,6.26,50.00,-50.00
63.15,0.00,0.00,-0.34,-0.44,-12.83,1.67,50.00,-50.00
64.49,0.00,0.00,-0.34,-0.12,-7.65,-3.56,50.00,-50.00
65.73,0.00,0.00,-0.35,0.17,-2.97,-8.39,50.00,-50.00
66.61,0.00,0.00,-0.35,0.37,0.42,-11.80,50.00,-50.00
67.91,0.00,0.00,-0.34,0.70,5.80,-16.98,50.00,-50.00
69.22,0.00,0.00,-0.34,1.03,11.40,-22.41,50.00,-50.00
70.23,0.00,0.00,-0.33,1.29,15.64,-26.48,50.00,-50.00
71.59,0.00,0.00,-0.34,1.64,21.27,-32.34,50.00,-50.00
72.76,0.00,0.00,-0.34,1.95,26.35,-37.44,50.00,-50.00
73.70,0.00,0.00,-0.34,2.19,30.32,-41.37,50.00,-50.00
75.00,0.00,0.00,-0.33,2.53,36.04,-46.91,50.00,-50.00
76.31,0.00,0.00,-0.33,2.88,41.62,-52.51,50.00,-50.00
77.36,0.00,0.00,-0.34,3.15,46.08,-57.17,50.00,-50.00
78.66,0.00,0.00,-0.33,3.51,51.94,-62.89,50.00,-50.00
79.90,0.00,0.00,-0.33,3.85,57.68,-68.44,50.00,-50.00
81.24,0.00,0.00,-0.33,4.23,63.83,-74.60,50.00,-50.00
82.10,0.00,0.00,-0.33,4.47,67.81,-78.68,50.00,-50.00
83.42,0.00,0.00,-0.33,4.86,74.16,-85.03,50.00,-50.00
84.42,0.00,0.00,-0.33,5.16,78.99,-89.82,50.00,-50.00
85.80,0.00,0.00,-0.33,5.56,85.67,-96.50,50.00,-50.00
86.96,0.00,0.00,-0.33,5.91,91.34,-102.24,50.00,-50.00
88.31,0.00,0.00,-0.33,6.32,97.91,-108.85,50.00,-50.00
89.22,0.00,0.00,-0.34,6.59,102.33,-113.38,50.00,-50.00
90.54,0.00,0.00,-0.34,6.98,108.81,-119.86,50.00,-50.00
91.87,0.00,0.00,-0.34,7.40,115.51,-126.72,50.00,-50.00
