BEGIN CSV,,,,,,
Fully Homed,,,,,,
BEGIN CSV,,,,,,
y2,y1,frame time,frame prev,y_dist,travel time,time to dest
176.37,179.46,36045.96,36022.03,1.56,1.21,0.2
93.86,176.37,36251.41,36045.96,0.74,0.18,0.18
29.77,93.86,36454.87,36251.41,0.1,0.03,0.03
26.99,29.77,36495.76,36454.87,0.07,0.1,0.1
172,180.14,51486.84,51466.89,1.52,0.37,0.2
89.21,172,51700.26,51486.84,0.69,0.18,0.18
41.33,89.21,51893.75,51700.26,0.21,0.09,0.09
18.27,41.33,51996.48,51893.75,0.02,0.01,0.03
118.88,123.37,57655.33,57628.41,0.99,0.59,0.2
61.3,118.88,57868.78,57655.33,0.41,0.15,0.15
31.16,61.3,58036.32,57868.78,0.11,0.06,0.06
22.43,31.16,58098.15,58036.32,0.02,0.02,0.03
