BEGIN CSV
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),X_Mallet(cm),Y_Mallet(cm),Left_Angle(deg),Right_Angle(deg),Left_Error(deg),Right_Error(deg),Left_PID,Right_PID,Left_Feed_Forward,Right_Feed_Forward,Left_PWM,Right_PWM,X_Puck,Y_Puck
0.00,7.00,5.09,7.00,5.09,198.01,31.29,-0.02,-0.02,-128.19,-128.17,17.34,9.93,-100.00,-100.00,52.00,185.60
3.38,7.02,5.09,5.60,5.05,174.32,8.99,23.96,22.51,143.61,134.95,17.63,10.27,100.00,100.00,52.00,185.60
24.46,7.80,5.18,5.73,5.10,177.26,10.28,35.36,32.59,37.74,34.43,19.06,12.11,56.81,46.54,52.00,185.60
26.99,7.97,5.20,6.12,5.17,184.84,15.51,30.85,29.80,-6.55,4.49,19.19,12.29,12.64,16.78,52.00,185.60
29.57,8.16,5.23,6.68,5.23,194.93,23.80,24.19,24.23,-25.79,-18.36,19.32,12.48,-6.48,-5.88,52.00,185.60
31.96,8.35,5.25,7.09,5.22,201.41,30.63,21.12,20.10,-5.55,-14.11,19.43,12.64,13.87,-1.47,52.00,185.60
34.91,8.59,5.28,7.53,5.18,208.03,38.41,19.03,15.91,2.85,-12.13,19.55,12.83,22.40,0.70,52.00,185.60
37.08,8.79,5.30,7.89,5.19,214.24,44.23,16.38,12.92,-8.28,-13.80,19.63,12.97,11.36,-0.83,52.00,185.60
39.62,9.03,5.33,8.36,5.25,222.77,50.78,12.24,9.85,-18.76,-13.30,19.72,13.12,0.96,-0.18,52.00,185.60
42.44,9.31,5.36,8.76,5.34,230.81,55.96,9.36,8.75,-10.41,0.21,19.81,13.28,9.40,13.49,52.00,185.60
44.57,9.54,5.38,9.00,5.35,234.96,59.83,9.31,8.14,7.00,1.44,19.87,13.39,26.86,14.83,52.00,185.60
47.02,9.81,5.42,9.33,5.33,240.00,65.61,9.21,6.27,6.66,-8.29,19.93,13.52,26.58,5.23,52.00,185.60
49.21,10.06,5.44,9.70,5.35,246.41,71.28,7.35,4.22,-8.98,-13.07,19.97,13.62,11.00,0.55,52.00,185.60
51.97,10.39,5.48,10.02,5.41,252.54,75.39,7.24,4.88,5.07,8.09,20.03,13.75,25.09,21.84,52.00,185.60
54.26,10.67,5.52,10.26,5.47,257.44,78.51,7.51,5.86,8.09,12.19,20.06,13.85,28.15,26.04,52.00,185.60
57.20,11.05,5.56,10.62,5.49,263.81,83.94,8.03,5.90,9.52,4.94,20.09,13.96,29.61,18.91,52.00,185.60
59.41,11.34,5.59,10.92,5.51,268.93,88.57,8.30,5.53,8.75,1.55,20.11,14.05,28.86,15.60,52.00,185.60
61.70,11.65,5.63,11.23,5.55,274.71,92.92,8.24,5.72,6.13,5.98,20.12,14.13,26.25,20.10,52.00,185.60
64.68,12.08,5.68,11.63,5.63,282.51,98.15,8.13,6.59,5.89,10.39,20.12,14.22,26.01,24.61,52.00,185.60
66.92,12.40,5.72,11.93,5.68,288.29,102.19,8.31,7.27,8.02,11.12,20.12,14.28,28.14,25.40,52.00,185.60
69.75,12.83,5.76,12.34,5.74,295.94,108.17,8.39,7.42,7.24,6.89,20.10,14.36,27.34,21.24,52.00,185.60
72.01,13.17,5.80,12.69,5.77,302.24,113.18,8.41,7.43,6.89,6.00,20.08,14.41,26.97,20.40,52.00,185.60
74.34,13.54,5.85,13.06,5.83,309.14,118.37,8.16,7.51,4.62,6.65,20.05,14.45,24.67,21.10,52.00,185.60
76.79,13.93,5.89,13.43,5.88,316.13,123.57,8.37,8.01,8.17,9.95,20.02,14.50,28.18,24.44,52.00,185.60
79.54,14.38,5.94,13.89,5.94,324.66,130.14,8.06,7.96,4.48,6.02,19.96,14.54,24.45,20.56,52.00,185.60
81.77,14.75,5.99,14.27,5.99,331.64,135.59,7.86,7.89,4.72,5.79,19.91,14.56,24.63,20.35,52.00,185.60
84.34,15.19,6.04,14.72,6.06,340.13,141.88,7.38,7.95,2.64,6.77,19.85,14.59,22.49,21.36,52.00,185.60
87.23,15.69,6.10,15.22,6.13,349.42,148.80,7.23,8.28,4.86,8.61,19.76,14.60,24.62,23.22,52.00,185.60
89.49,16.09,6.14,15.62,6.17,356.74,154.78,7.20,8.09,5.59,4.98,19.69,14.61,25.28,19.59,52.00,185.60
92.09,16.56,6.20,16.11,6.22,365.57,161.98,6.89,7.63,3.38,3.05,19.60,14.61,22.97,17.66,52.00,185.60
94.41,16.98,6.24,16.56,6.27,373.74,168.38,6.43,7.36,1.70,3.81,19.51,14.61,21.20,18.42,52.00,185.60
96.68,17.40,6.29,16.99,6.34,381.96,174.40,5.85,7.39,0.23,6.21,19.41,14.60,19.63,20.80,52.00,185.60
99.20,17.87,6.35,17.51,6.40,391.34,181.80,5.08,6.82,-1.26,1.47,19.29,14.58,18.03,16.05,52.00,185.60
101.69,18.34,6.40,17.96,6.44,399.45,188.66,5.56,6.77,7.82,5.08,19.17,14.55,26.99,19.63,52.00,185.60
104.80,18.94,6.47,18.58,6.50,410.61,197.67,5.31,6.41,2.82,3.11,19.01,14.51,21.83,17.62,52.00,185.60
107.40,19.44,6.53,19.10,6.58,420.44,204.92,4.70,6.47,-0.34,5.54,18.86,14.46,18.52,20.01,52.00,185.60
110.01,19.96,6.59,19.64,6.67,430.63,212.37,3.89,6.46,-2.34,5.10,18.70,14.41,16.36,19.51,52.00,185.60
112.42,20.43,6.64,20.13,6.71,439.31,219.66,3.90,6.06,3.22,1.92,18.55,14.36,21.77,16.27,52.00,185.60
115.28,21.00,6.71,20.69,6.75,449.22,228.30,4.47,5.73,7.04,2.59,18.36,14.28,25.40,16.87,52.00,185.60
