BEGIN CSV
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),X_Puck(cm),Y_Puck(cm),Left_Angle(deg),Right_Angle(deg),Left_PWM,Right_PWM
0.00,0.00,0.00,-2.23,5.62,55.48,-128.47,-75.00,-75.00
1.70,0.00,0.00,-2.24,5.62,55.24,-128.65,-75.00,-75.00
2.68,0.00,0.00,-2.28,5.62,54.69,-129.22,-75.00,-75.00
3.93,0.00,0.00,-2.34,5.61,53.59,-130.19,-75.00,-75.00
5.13,0.00,0.00,-2.42,5.61,52.27,-131.40,-75.00,-75.00
6.52,0.00,0.00,-2.52,5.61,50.47,-133.13,-75.00,-75.00
7.82,0.00,0.00,-2.63,5.60,48.54,-134.80,-75.00,-75.00
8.66,0.00,0.00,-2.72,5.60,47.04,-136.25,-75.00,-75.00
9.98,0.00,0.00,-2.88,5.60,44.45,-138.74,-75.00,-75.00
11.30,0.00,0.00,-3.05,5.60,41.77,-141.72,-75.00,-75.00
12.44,0.00,0.00,-3.22,5.62,39.31,-144.58,-75.00,-75.00
13.62,0.00,0.00,-3.40,5.62,36.34,-147.74,-75.00,-75.00
15.01,0.00,0.00,-3.65,5.62,32.30,-151.70,-75.00,-75.00
16.40,0.00,0.00,-3.92,5.60,27.42,-155.76,-75.00,-75.00
17.65,0.00,0.00,-4.18,5.57,22.72,-159.65,-75.00,-75.00
18.55,0.00,0.00,-4.38,5.56,19.40,-162.73,-75.00,-75.00
19.88,0.00,0.00,-4.70,5.56,14.11,-167.94,-75.00,-75.00
21.21,0.00,0.00,-5.05,5.56,8.44,-173.65,-75.00,-75.00
22.27,0.00,0.00,-5.34,5.56,3.63,-178.51,-75.00,-75.00
23.59,0.00,0.00,-5.73,5.56,-2.81,-184.72,-75.00,-75.00
24.86,0.00,0.00,-6.11,5.56,-8.92,-191.05,-75.00,-75.00
26.25,0.00,0.00,-6.54,5.58,-15.71,-198.37,-75.00,-75.00
27.07,0.00,0.00,-6.80,5.58,-20.02,-202.72,-75.00,-75.00
28.41,0.00,0.00,-7.25,5.57,-27.58,-209.93,-75.00,-75.00
29.74,0.00,0.00,-7.72,5.56,-35.38,-217.38,-75.00,-75.00
31.07,0.00,0.00,-8.20,5.55,-43.51,-225.07,-75.00,-75.00
