BEGIN CSV
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),X_Puck(cm),Y_Puck(cm),Left_Angle(deg),Right_Angle(deg),Left_PWM,Right_PWM
0.00,0.00,0.00,2.73,3.24,97.78,-8.37,75.00,-75.00
1.69,0.00,0.00,2.73,3.26,98.06,-8.53,75.00,-75.00
2.54,0.00,0.00,2.73,3.29,98.55,-9.05,75.00,-75.00
3.66,0.00,0.00,2.73,3.35,99.58,-10.06,75.00,-75.00
5.02,0.00,0.00,2.73,3.43,100.81,-11.43,75.00,-75.00
5.84,0.00,0.00,2.73,3.48,101.69,-12.28,75.00,-75.00
7.14,0.00,0.00,2.73,3.54,102.61,-13.36,75.00,-75.00
8.24,0.00,0.00,2.72,3.59,103.23,-14.15,75.00,-75.00
9.51,0.00,0.00,2.72,3.63,103.93,-14.96,75.00,-75.00
10.75,0.00,0.00,2.71,3.67,104.50,-15.69,75.00,-75.00
12.12,0.00,0.00,2.70,3.73,105.34,-16.83,75.00,-75.00
12.93,0.00,0.00,2.70,3.76,105.86,-17.40,75.00,-75.00
14.26,0.00,0.00,2.71,3.84,107.23,-18.61,75.00,-75.00
15.56,0.00,0.00,2.72,3.96,109.29,-20.28,75.00,-75.00
16.57,0.00,0.00,2.72,4.06,111.05,-21.88,75.00,-75.00
17.90,0.00,0.00,2.74,4.23,113.99,-24.41,75.00,-75.00
19.17,0.00,0.00,2.74,4.40,116.78,-27.11,75.00,-75.00
20.01,0.00,0.00,2.74,4.50,118.63,-28.76,75.00,-75.00
21.32,0.00,0.00,2.75,4.66,121.33,-31.40,75.00,-75.00
22.63,0.00,0.00,2.75,4.83,124.04,-33.97,75.00,-75.00
23.77,0.00,0.00,2.75,4.97,126.36,-36.32,75.00,-75.00
24.94,0.00,0.00,2.74,5.11,128.58,-38.80,75.00,-75.00
26.28,0.00,0.00,2.75,5.28,131.40,-41.51,75.00,-75.00
27.62,0.00,0.00,2.75,5.46,134.54,-44.38,75.00,-75.00
28.43,0.00,0.00,2.75,5.59,136.54,-46.34,75.00,-75.00
29.74,0.00,0.00,2.77,5.80,140.27,-49.70,75.00,-75.00
30.82,0.00,0.00,2.77,6.01,143.68,-52.98,75.00,-75.00
32.11,0.00,0.00,2.78,6.27,148.07,-57.19,75.00,-75.00
33.41,0.00,0.00,2.77,6.53,152.34,-61.52,75.00,-75.00
34.69,0.00,0.00,2.77,6.78,156.49,-65.65,75.00,-75.00
35.53,0.00,0.00,2.78,6.95,159.21,-68.31,75.00,-75.00
36.86,0.00,0.00,2.78,7.21,163.54,-72.53,75.00,-75.00
38.17,0.00,0.00,2.78,7.48,167.87,-76.97,75.00,-75.00
39.24,0.00,0.00,2.77,7.70,171.47,-80.66,75.00,-75.00
40.51,0.00,0.00,2.77,7.97,175.89,-85.21,75.00,-75.00
41.83,0.00,0.00,2.78,8.27,180.81,-89.87,75.00,-75.00
43.11,0.00,0.00,2.79,8.57,185.91,-94.66,75.00,-75.00
43.97,0.00,0.00,2.79,8.78,189.43,-98.00,75.00,-75.00
45.28,0.00,0.00,2.80,9.13,195.25,-103.60,75.00,-75.00
46.61,0.00,0.00,2.79,9.48,200.98,-109.56,75.00,-75.00
47.63,0.00,0.00,2.80,9.76,205.55,-114.04,75.00,-75.00
49.02,0.00,0.00,2.79,10.15,211.88,-120.45,75.00,-75.00
50.17,0.00,0.00,2.79,10.48,217.24,-125.84,75.00,-75.00
51.56,0.00,0.00,2.79,10.87,223.51,-132.30,75.00,-75.00
52.46,0.00,0.00,2.78,11.11,227.50,-136.38,75.00,-75.00
53.80,0.00,0.00,2.79,11.49,233.64,-142.43,75.00,-75.00
55.12,0.00,0.00,2.79,11.87,240.10,-148.65,75.00,-75.00
56.22,0.00,0.00,2.80,12.20,245.43,-153.92,75.00,-75.00
57.47,0.00,0.00,2.80,12.58,251.76,-160.09,75.00,-75.00
58.86,0.00,0.00,2.80,13.02,258.97,-167.37,75.00,-75.00
