BEGIN CSV
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),X_Puck(cm),Y_Puck(cm),Left_Angle(deg),Right_Angle(deg),Left_PWM,Right_PWM
0.00,0.00,0.00,-2.02,-5.77,-127.53,61.48,30.00,-30.00
1.70,0.00,0.00,-2.01,-5.77,-127.44,61.52,30.00,-30.00
2.68,0.00,0.00,-2.01,-5.76,-127.24,61.50,30.00,-30.00
3.93,0.00,0.00,-2.00,-5.75,-126.83,61.48,30.00,-30.00
5.09,0.00,0.00,-1.99,-5.73,-126.30,61.28,30.00,-30.00
6.44,0.00,0.00,-1.98,-5.70,-125.82,60.86,30.00,-30.00
7.82,0.00,0.00,-1.98,-5.67,-125.27,60.51,30.00,-30.00
8.67,0.00,0.00,-1.97,-5.66,-124.85,60.31,30.00,-30.00
9.99,0.00,0.00,-1.97,-5.63,-124.45,59.92,30.00,-30.00
11.32,0.00,0.00,-1.97,-5.61,-124.08,59.44,30.00,-30.00
12.40,0.00,0.00,-1.97,-5.58,-123.71,59.11,30.00,-30.00
13.63,0.00,0.00,-1.98,-5.55,-123.29,58.56,30.00,-30.00
15.02,0.00,0.00,-1.98,-5.52,-122.67,57.99,30.00,-30.00
16.34,0.00,0.00,-1.98,-5.47,-121.90,57.22,30.00,-30.00
17.74,0.00,0.00,-1.98,-5.41,-120.94,56.25,30.00,-30.00
18.59,0.00,0.00,-1.98,-5.37,-120.32,55.61,30.00,-30.00
19.91,0.00,0.00,-1.98,-5.31,-119.27,54.47,30.00,-30.00
21.24,0.00,0.00,-1.98,-5.24,-118.21,53.39,30.00,-30.00
22.18,0.00,0.00,-1.98,-5.19,-117.44,52.54,30.00,-30.00
23.60,0.00,0.00,-1.99,-5.12,-116.39,51.24,30.00,-30.00
24.88,0.00,0.00,-1.99,-5.05,-115.25,50.08,30.00,-30.00
26.25,0.00,0.00,-1.99,-4.97,-113.91,48.76,30.00,-30.00
27.56,0.00,0.00,-1.99,-4.89,-112.61,47.48,30.00,-30.00
28.44,0.00,0.00,-1.99,-4.83,-111.60,46.52,30.00,-30.00
29.77,0.00,0.00,-1.99,-4.74,-110.02,45.02,30.00,-30.00
31.10,0.00,0.00,-1.99,-4.64,-108.50,43.48,30.00,-30.00
32.16,0.00,0.00,-1.99,-4.56,-107.09,42.10,30.00,-30.00
33.44,0.00,0.00,-1.99,-4.46,-105.45,40.43,30.00,-30.00
34.81,0.00,0.00,-1.99,-4.35,-103.71,38.56,30.00,-30.00
36.10,0.00,0.00,-1.99,-4.24,-102.00,36.76,30.00,-30.00
37.50,0.00,0.00,-2.00,-4.12,-100.15,34.69,30.00,-30.00
38.34,0.00,0.00,-2.00,-4.05,-98.99,33.53,30.00,-30.00
39.66,0.00,0.00,-2.00,-3.93,-97.08,31.60,30.00,-30.00
40.99,0.00,0.00,-2.00,-3.81,-95.12,29.51,30.00,-30.00
42.01,0.00,0.00,-2.01,-3.71,-93.54,27.88,30.00,-30.00
43.33,0.00,0.00,-2.01,-3.58,-91.38,25.71,30.00,-30.00
44.57,0.00,0.00,-2.01,-3.45,-89.32,23.60,30.00,-30.00
45.96,0.00,0.00,-2.00,-3.30,-86.75,21.20,30.00,-30.00
46.80,0.00,0.00,-2.00,-3.20,-85.17,19.60,30.00,-30.00
48.11,0.00,0.00,-2.01,-3.05,-82.88,17.14,30.00,-30.00
49.43,0.00,0.00,-2.01,-2.90,-80.44,14.57,30.00,-30.00
50.56,0.00,0.00,-2.02,-2.77,-78.42,12.41,30.00,-30.00
51.71,0.00,0.00,-2.02,-2.64,-76.27,10.15,30.00,-30.00
53.08,0.00,0.00,-2.02,-2.48,-73.63,7.51,30.00,-30.00
54.46,0.00,0.00,-2.03,-2.31,-71.04,4.64,30.00,-30.00
55.30,0.00,0.00,-2.03,-2.21,-69.35,2.99,30.00,-30.00
56.62,0.00,0.00,-2.03,-2.04,-66.56,0.24,30.00,-30.00
57.94,0.00,0.00,-2.02,-1.86,-63.59,-2.57,30.00,-30.00
58.91,0.00,0.00,-2.02,-1.73,-61.41,-4.72,30.00,-30.00
60.28,0.00,0.00,-2.02,-1.54,-58.38,-7.91,30.00,-30.00
61.47,0.00,0.00,-2.02,-1.37,-55.52,-10.57,30.00,-30.00
62.86,0.00,0.00,-2.02,-1.18,-52.43,-13.82,30.00,-30.00
63.76,0.00,0.00,-2.02,-1.05,-50.32,-15.93,30.00,-30.00
65.09,0.00,0.00,-2.02,-0.86,-47.18,-18.96,30.00,-30.00
66.42,0.00,0.00,-2.03,-0.68,-44.30,-22.06,30.00,-30.00
67.51,0.00,0.00,-2.02,-0.51,-41.51,-24.70,30.00,-30.00
68.75,0.00,0.00,-2.02,-0.32,-38.34,-27.71,30.00,-30.00
70.14,0.00,0.00,-2.02,-0.11,-34.87,-31.14,30.00,-30.00
71.42,0.00,0.00,-2.02,0.09,-31.53,-34.50,30.00,-30.00
72.81,0.00,0.00,-2.02,0.32,-27.84,-38.21,30.00,-30.00
73.66,0.00,0.00,-2.02,0.45,-25.77,-40.45,30.00,-30.00
74.98,0.00,0.00,-2.02,0.67,-22.17,-43.99,30.00,-30.00
76.31,0.00,0.00,-2.02,0.88,-18.63,-47.46,30.00,-30.00
77.29,0.00,0.00,-2.02,1.05,-15.95,-50.19,30.00,-30.00
78.63,0.00,0.00,-2.02,1.27,-12.26,-53.85,30.00,-30.00
79.93,0.00,0.00,-2.02,1.49,-8.61,-57.44,30.00,-30.00
81.31,0.00,0.00,-2.01,1.73,-4.55,-61.35,-30.00,30.00
82.16,0.00,0.00,-2.02,1.88,-2.31,-63.79,-30.00,30.00
83.40,0.00,0.00,-2.01,2.08,1.12,-67.02,-30.00,30.00
84.46,0.00,0.00,-2.02,2.23,3.52,-69.54,-30.00,30.00
85.68,0.00,0.00,-2.02,2.40,6.22,-72.22,-30.00,30.00
86.99,0.00,0.00,-2.01,2.58,9.32,-75.10,-30.00,30.00
88.33,0.00,0.00,-2.01,2.77,12.57,-78.27,-30.00,30.00
89.17,0.00,0.00,-2.01,2.90,14.61,-80.35,-30.00,30.00
90.48,0.00,0.00,-2.00,3.10,17.95,-83.52,-30.00,30.00
91.50,0.00,0.00,-2.00,3.25,20.48,-86.09,-30.00,30.00
92.78,0.00,0.00,-2.00,3.44,23.51,-89.14,-30.00,30.00
94.13,0.00,0.00,-2.01,3.63,26.56,-92.35,-30.00,30.00
95.37,0.00,0.00,-2.00,3.80,29.38,-94.97,-30.00,30.00
96.27,0.00,0.00,-2.00,3.92,31.40,-96.81,-30.00,30.00
97.60,0.00,0.00,-2.00,4.07,33.93,-99.25,-30.00,30.00
98.91,0.00,0.00,-1.99,4.21,36.25,-101.54,-30.00,30.00
99.92,0.00,0.00,-1.99,4.31,37.99,-103.10,-30.00,30.00
101.23,0.00,0.00,-1.99,4.44,40.14,-105.34,-30.00,30.00
102.56,0.00,0.00,-1.99,4.59,42.60,-107.60,-30.00,30.00
103.94,0.00,0.00,-1.98,4.72,44.87,-109.80,-30.00,30.00
104.78,0.00,0.00,-1.99,4.80,46.01,-111.12,-30.00,30.00
106.11,0.00,0.00,-1.99,4.92,47.92,-113.07,-30.00,30.00
107.45,0.00,0.00,-1.99,5.02,49.59,-114.85,-30.00,30.00
108.78,0.00,0.00,-1.99,5.12,51.20,-116.46,-30.00,30.00
109.80,0.00,0.00,-1.99,5.19,52.40,-117.64,-30.00,30.00
111.12,0.00,0.00,-1.99,5.28,53.88,-119.09,-30.00,30.00
112.45,0.00,0.00,-1.99,5.37,55.37,-120.45,-30.00,30.00
113.82,0.00,0.00,-1.98,5.45,56.69,-121.66,-30.00,30.00
114.67,0.00,0.00,-1.99,5.49,57.39,-122.39,-30.00,30.00
116.00,0.00,0.00,-1.98,5.57,58.75,-123.49,-30.00,30.00
117.34,0.00,0.00,-1.97,5.63,59.92,-124.52,-30.00,30.00
118.67,0.00,0.00,-1.98,5.69,60.89,-125.55,-30.00,30.00
119.69,0.00,0.00,-1.98,5.74,61.61,-126.28,-30.00,30.00
121.01,0.00,0.00,-1.98,5.79,62.34,-127.18,-30.00,30.00
122.34,0.00,0.00,-1.98,5.83,63.04,-127.92,-30.00,30.00
123.69,0.00,0.00,-1.98,5.87,63.59,-128.56,-30.00,30.00
124.54,0.00,0.00,-1.99,5.89,63.92,-128.94,-30.00,30.00
125.86,0.00,0.00,-1.99,5.91,64.27,-129.33,-30.00,30.00
127.19,0.00,0.00,-1.99,5.93,64.53,-129.59,-30.00,30.00
128.27,0.00,0.00,-1.99,5.94,64.71,-129.77,-30.00,30.00
129.58,0.00,0.00,-1.99,5.95,64.86,-129.97,-30.00,30.00
130.90,0.00,0.00,-1.99,5.95,64.84,-130.08,-30.00,30.00
132.23,0.00,0.00,-2.00,5.96,64.78,-130.21,-30.00,30.00
133.60,0.00,0.00,-2.00,5.96,64.80,-130.25,-30.00,30.00
134.44,0.00,0.00,-2.00,5.95,64.69,-130.28,-30.00,30.00
135.77,0.00,0.00,-2.01,5.94,64.42,-130.17,-30.00,30.00
137.10,0.00,0.00,-2.01,5.93,64.12,-129.90,-30.00,30.00
138.43,0.00,0.00,-2.01,5.90,63.72,-129.42,-30.00,30.00
139.47,0.00,0.00,-2.01,5.88,63.37,-129.13,-30.00,30.00
140.78,0.00,0.00,-2.01,5.85,62.84,-128.63,-30.00,30.00
142.12,0.00,0.00,-2.01,5.81,62.29,-128.03,-30.00,30.00
143.49,0.00,0.00,-2.01,5.78,61.68,-127.42,-30.00,30.00
144.33,0.00,0.00,-2.01,5.75,61.24,-126.94,-30.00,30.00
145.67,0.00,0.00,-2.00,5.70,60.56,-126.04,-30.00,30.00
147.01,0.00,0.00,-2.00,5.65,59.70,-125.13,-30.00,30.00
148.33,0.00,0.00,-1.99,5.59,58.89,-124.15,-30.00,30.00
149.36,0.00,0.00,-1.99,5.54,58.03,-123.20,-30.00,30.00
150.67,0.00,0.00,-1.99,5.47,56.98,-122.01,-30.00,30.00
152.01,0.00,0.00,-1.99,5.39,55.72,-120.74,-30.00,30.00
153.38,0.00,0.00,-1.98,5.31,54.47,-119.33,-30.00,30.00
154.23,0.00,0.00,-1.98,5.26,53.66,-118.56,-30.00,30.00
155.55,0.00,0.00,-1.98,5.18,52.40,-117.14,-30.00,30.00
156.90,0.00,0.00,-1.98,5.09,50.93,-115.71,-30.00,30.00
158.22,0.00,0.00,-1.98,5.00,49.37,-114.30,-30.00,30.00
159.25,0.00,0.00,-1.99,4.93,48.12,-113.16,-30.00,30.00
160.56,0.00,0.00,-1.99,4.83,46.54,-111.67,0.00,0.00
161.90,0.00,0.00,-1.99,4.73,44.82,-110.13,0.00,0.00
162.73,0.00,0.00,-2.00,4.67,43.81,-109.20,0.00,0.00
164.02,0.00,0.00,-2.00,4.59,42.39,-107.97,0.00,0.00
165.33,0.00,0.00,-2.01,4.50,40.78,-106.55,0.00,0.00
166.29,0.00,0.00,-2.01,4.43,39.62,-105.40,0.00,0.00
167.65,0.00,0.00,-2.01,4.33,37.86,-103.82,0.00,0.00
168.84,0.00,0.00,-2.02,4.23,36.23,-102.30,0.00,0.00
169.78,0.00,0.00,-2.02,4.16,35.07,-101.21,0.00,0.00
171.08,0.00,0.00,-2.02,4.06,33.44,-99.60,0.00,0.00
172.39,0.00,0.00,-2.03,3.96,31.62,-98.02,0.00,0.00
173.26,0.00,0.00,-2.03,3.89,30.48,-96.92,0.00,0.00
174.60,0.00,0.00,-2.03,3.79,28.78,-95.27,0.00,0.00
175.94,0.00,0.00,-2.03,3.70,27.29,-93.71,0.00,0.00
176.77,0.00,0.00,-2.03,3.64,26.39,-92.83,0.00,0.00
178.06,0.00,0.00,-2.03,3.55,24.90,-91.30,0.00,0.00
179.04,0.00,0.00,-2.03,3.48,23.80,-90.24,0.00,0.00
180.36,0.00,0.00,-2.03,3.39,22.26,-88.64,0.00,0.00
181.51,0.00,0.00,-2.03,3.31,20.94,-87.32,0.00,0.00
182.47,0.00,0.00,-2.03,3.24,19.86,-86.31,0.00,0.00
183.76,0.00,0.00,-2.03,3.15,18.33,-84.86,0.00,0.00
185.05,0.00,0.00,-2.03,3.07,16.92,-83.52,0.00,0.00
185.98,0.00,0.00,-2.03,3.01,15.97,-82.49,0.00,0.00
187.29,0.00,0.00,-2.03,2.92,14.59,-81.06,0.00,0.00
188.11,0.00,0.00,-2.03,2.87,13.78,-80.24,0.00,0.00
189.41,0.00,0.00,-2.02,2.79,12.55,-78.82,0.00,0.00
190.70,0.00,0.00,-2.03,2.71,11.27,-77.59,0.00,0.00
191.76,0.00,0.00,-2.02,2.65,10.24,-76.46,0.00,0.00
192.96,0.00,0.00,-2.03,2.58,8.99,-75.37,0.00,0.00
194.30,0.00,0.00,-2.02,2.49,7.56,-73.85,0.00,0.00
195.13,0.00,0.00,-2.02,2.44,6.72,-73.02,0.00,0.00
196.41,0.00,0.00,-2.02,2.36,5.54,-71.83,0.00,0.00
197.31,0.00,0.00,-2.03,2.31,4.53,-70.95,0.00,0.00
198.60,0.00,0.00,-2.03,2.23,3.30,-69.72,0.00,0.00
199.46,0.00,0.00,-2.03,2.18,2.46,-68.95,0.00,0.00
200.72,0.00,0.00,-2.03,2.11,1.36,-67.72,0.00,0.00
202.00,0.00,0.00,-2.03,2.04,0.13,-66.53,0.00,0.00
203.06,0.00,0.00,-2.03,1.97,-1.01,-65.41,0.00,0.00
204.23,0.00,0.00,-2.03,1.91,-2.04,-64.45,0.00,0.00
205.58,0.00,0.00,-2.04,1.83,-3.38,-63.28,0.00,0.00
206.41,0.00,0.00,-2.03,1.79,-3.93,-62.58,0.00,0.00
207.71,0.00,0.00,-2.03,1.72,-5.05,-61.44,0.00,0.00
208.67,0.00,0.00,-2.03,1.67,-5.87,-60.60,0.00,0.00
209.99,0.00,0.00,-2.03,1.61,-6.90,-59.48,0.00,0.00
211.26,0.00,0.00,-2.03,1.54,-8.02,-58.38,0.00,0.00
212.09,0.00,0.00,-2.03,1.49,-8.77,-57.59,0.00,0.00
213.38,0.00,0.00,-2.03,1.43,-9.93,-56.62,0.00,0.00
214.41,0.00,0.00,-2.03,1.38,-10.66,-55.72,0.00,0.00
215.63,0.00,0.00,-2.03,1.32,-11.76,-54.84,0.00,0.00
216.96,0.00,0.00,-2.03,1.25,-12.66,-53.72,0.00,0.00
217.81,0.00,0.00,-2.03,1.21,-13.47,-52.98,0.00,0.00
219.12,0.00,0.00,-2.03,1.14,-14.50,-51.94,0.00,0.00
220.43,0.00,0.00,-2.03,1.08,-15.51,-50.91,0.00,0.00
221.43,0.00,0.00,-2.03,1.03,-16.24,-50.08,0.00,0.00
222.78,0.00,0.00,-2.02,0.98,-17.18,-49.11,0.00,0.00
223.95,0.00,0.00,-2.03,0.92,-18.06,-48.30,0.00,0.00
