BEGIN CSV
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),X_Puck(cm),Y_Puck(cm),Left_Angle(deg),Right_Angle(deg),Left_PWM,Right_PWM
0.00,0.00,0.00,-1.77,-8.27,-164.38,106.30,-75.00,75.00
1.70,0.00,0.00,-1.77,-8.28,-164.55,106.61,-75.00,75.00
2.71,0.00,0.00,-1.76,-8.32,-164.99,107.27,-75.00,75.00
3.99,0.00,0.00,-1.76,-8.38,-166.03,108.26,-75.00,75.00
5.17,0.00,0.00,-1.75,-8.44,-166.86,109.42,-75.00,75.00
6.57,0.00,0.00,-1.75,-8.52,-168.05,110.76,-75.00,75.00
7.88,0.00,0.00,-1.75,-8.59,-169.28,112.04,-75.00,75.00
9.27,0.00,0.00,-1.76,-8.69,-171.04,113.55,-75.00,75.00
10.09,0.00,0.00,-1.77,-8.75,-172.09,114.28,-75.00,75.00
11.43,0.00,0.00,-1.78,-8.83,-173.76,115.49,-75.00,75.00
12.78,0.00,0.00,-1.79,-8.91,-175.21,116.52,-75.00,75.00
14.11,0.00,0.00,-1.81,-8.99,-176.75,117.58,-75.00,75.00
15.15,0.00,0.00,-1.82,-9.06,-178.00,118.48,-75.00,75.00
16.54,0.00,0.00,-1.83,-9.16,-179.93,120.12,-75.00,75.00
17.81,0.00,0.00,-1.83,-9.28,-181.78,121.90,-75.00,75.00
19.21,0.00,0.00,-1.83,-9.42,-184.17,124.19,-75.00,75.00
20.53,0.00,0.00,-1.82,-9.57,-186.57,126.89,-75.00,75.00
21.37,0.00,0.00,-1.82,-9.68,-188.28,128.72,-75.00,75.00
22.72,0.00,0.00,-1.81,-9.86,-190.96,131.70,-75.00,75.00
24.06,0.00,0.00,-1.81,-10.05,-194.13,134.78,-75.00,75.00
25.42,0.00,0.00,-1.82,-10.26,-197.80,138.08,-75.00,75.00
26.52,0.00,0.00,-1.84,-10.44,-200.94,140.76,-75.00,75.00
27.85,0.00,0.00,-1.85,-10.65,-204.68,144.14,-75.00,75.00
29.23,0.00,0.00,-1.84,-10.88,-208.26,147.94,-75.00,75.00
30.47,0.00,0.00,-1.83,-11.09,-211.60,151.61,-75.00,75.00
31.86,0.00,0.00,-1.82,-11.34,-215.40,155.79,-75.00,75.00
33.29,0.00,0.00,-1.82,-11.61,-219.79,160.25,-75.00,75.00
34.12,0.00,0.00,-1.82,-11.77,-222.39,162.84,-75.00,75.00
35.48,0.00,0.00,-1.81,-12.04,-226.76,167.41,-75.00,75.00
36.84,0.00,0.00,-1.81,-12.32,-231.24,172.11,-75.00,75.00
38.19,0.00,0.00,-1.80,-12.61,-235.90,177.08,-75.00,75.00
39.54,0.00,0.00,-1.80,-12.92,-240.95,182.02,-75.00,75.00
40.59,0.00,0.00,-1.81,-13.17,-245.15,186.00,-75.00,75.00
41.96,0.00,0.00,-1.82,-13.50,-250.82,191.34,-75.00,75.00
43.30,0.00,0.00,-1.81,-13.84,-256.31,196.96,-75.00,75.00
44.67,0.00,0.00,-1.80,-14.19,-261.85,202.79,-75.00,75.00
46.01,0.00,0.00,-1.80,-14.54,-267.54,208.54,-75.00,75.00
47.41,0.00,0.00,-1.81,-14.92,-273.82,214.52,-75.00,75.00
48.23,0.00,0.00,-1.81,-15.15,-277.58,218.34,-75.00,75.00
49.58,0.00,0.00,-1.80,-15.52,-283.54,224.71,-75.00,75.00
50.93,0.00,0.00,-1.80,-15.91,-289.89,231.06,-75.00,75.00
52.27,0.00,0.00,-1.79,-16.29,-296.06,237.30,-75.00,75.00
53.42,0.00,0.00,-1.79,-16.63,-301.55,242.95,-75.00,75.00
54.65,0.00,0.00,-1.78,-17.00,-307.40,249.06,-75.00,75.00
56.02,0.00,0.00,-1.79,-17.42,-314.38,255.94,-75.00,75.00
57.44,0.00,0.00,-1.79,-17.86,-321.70,263.10,-75.00,75.00
58.72,0.00,0.00,-1.78,-18.27,-328.34,269.91,-75.00,75.00
60.10,0.00,0.00,-1.78,-18.72,-335.74,277.32,-75.00,75.00
60.96,0.00,0.00,-1.79,-19.01,-340.49,282.02,-75.00,75.00
62.32,0.00,0.00,-1.79,-19.48,-348.20,289.60,-75.00,75.00
63.68,0.00,0.00,-1.79,-19.96,-355.96,297.47,-75.00,75.00
65.03,0.00,0.00,-1.79,-20.44,-363.89,305.27,-75.00,75.00
66.38,0.00,0.00,-1.79,-20.93,-371.82,313.33,-75.00,75.00
67.49,0.00,0.00,-1.79,-21.32,-378.33,319.75,-75.00,75.00
68.81,0.00,0.00,-1.79,-21.81,-386.35,327.70,-75.00,75.00
70.19,0.00,0.00,-1.79,-22.33,-394.83,336.14,-75.00,75.00
71.44,0.00,0.00,-1.80,-22.80,-402.69,343.89,-75.00,75.00
72.83,0.00,0.00,-1.79,-23.34,-411.33,352.73,-75.00,75.00
74.25,0.00,0.00,-1.78,-23.90,-420.40,362.09,-75.00,75.00
75.08,0.00,0.00,-1.78,-24.23,-425.85,367.45,-75.00,75.00
76.45,0.00,0.00,-1.78,-24.79,-434.99,376.59,-75.00,75.00
77.81,0.00,0.00,-1.78,-25.35,-444.22,385.88,-75.00,75.00
79.16,0.00,0.00,-1.78,-25.92,-453.47,395.22,-75.00,75.00
80.51,0.00,0.00,-1.78,-26.49,-462.77,404.60,75.00,-75.00
81.56,0.00,0.00,-1.78,-26.93,-469.95,411.72,75.00,-75.00
82.93,0.00,0.00,-1.78,-27.44,-478.41,420.05,75.00,-75.00
84.27,0.00,0.00,-1.78,-27.89,-485.84,427.41,75.00,-75.00
85.63,0.00,0.00,-1.77,-28.35,-493.02,435.15,75.00,-75.00
86.97,0.00,0.00,-1.77,-28.83,-500.87,443.08,75.00,-75.00
88.37,0.00,0.00,-1.77,-29.37,-509.74,451.78,75.00,-75.00
89.20,0.00,0.00,-1.77,-29.69,-515.02,457.12,75.00,-75.00
90.54,0.00,0.00,-1.76,-30.19,-522.99,465.42,75.00,-75.00
91.89,0.00,0.00,-1.76,-30.67,-530.90,473.33,75.00,-75.00
93.23,0.00,0.00,-1.76,-31.15,-538.64,481.14,75.00,-75.00
94.38,0.00,0.00,-1.76,-31.55,-545.30,487.75,75.00,-75.00
95.62,0.00,0.00,-1.76,-31.96,-552.06,494.34,75.00,-75.00
97.00,0.00,0.00,-1.76,-32.37,-558.74,501.11,75.00,-75.00
98.41,0.00,0.00,-1.75,-32.74,-564.65,507.39,75.00,-75.00
99.68,0.00,0.00,-1.74,-33.07,-569.84,512.75,75.00,-75.00
101.07,0.00,0.00,-1.75,-33.43,-575.82,518.60,75.00,-75.00
101.93,0.00,0.00,-1.75,-33.66,-579.70,522.40,75.00,-75.00
103.30,0.00,0.00,-1.74,-34.02,-585.48,528.49,75.00,-75.00
104.67,0.00,0.00,-1.73,-34.37,-590.95,534.33,75.00,-75.00
106.02,0.00,0.00,-1.73,-34.70,-596.43,539.65,75.00,-75.00
107.37,0.00,0.00,-1.74,-35.02,-601.70,544.79,75.00,-75.00
108.62,0.00,0.00,-1.74,-35.29,-606.14,549.29,75.00,-75.00
109.87,0.00,0.00,-1.74,-35.54,-610.20,553.36,75.00,-75.00
111.20,0.00,0.00,-1.74,-35.77,-614.07,557.12,75.00,-75.00
