BEGIN CSV
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),X_Puck(cm),Y_Puck(cm),Left_Angle(deg),Right_Angle(deg),Left_PWM,Right_PWM
0.00,0.00,0.00,5.24,-4.11,18.57,153.08,-75.00,-75.00
1.69,0.00,0.00,5.23,-4.11,18.39,152.86,-75.00,-75.00
2.65,0.00,0.00,5.20,-4.11,17.84,152.27,-75.00,-75.00
3.86,0.00,0.00,5.13,-4.09,16.98,151.02,-75.00,-75.00
5.15,0.00,0.00,5.04,-4.08,15.71,149.37,-75.00,-75.00
6.44,0.00,0.00,4.95,-4.07,14.39,147.52,-75.00,-75.00
7.28,0.00,0.00,4.87,-4.06,13.25,146.21,-75.00,-75.00
8.61,0.00,0.00,4.74,-4.06,11.23,144.12,-75.00,-75.00
9.91,0.00,0.00,4.60,-4.07,8.70,141.90,-75.00,-75.00
10.98,0.00,0.00,4.47,-4.07,6.46,139.77,-75.00,-75.00
12.21,0.00,0.00,4.29,-4.08,3.45,137.13,-75.00,-75.00
13.60,0.00,0.00,4.07,-4.09,-0.20,133.55,-75.00,-75.00
14.86,0.00,0.00,3.84,-4.08,-3.85,129.68,-75.00,-75.00
15.72,0.00,0.00,3.68,-4.07,-6.42,126.78,-75.00,-75.00
17.03,0.00,0.00,3.41,-4.05,-10.44,122.01,-75.00,-75.00
18.36,0.00,0.00,3.12,-4.03,-14.88,117.03,-75.00,-75.00
19.48,0.00,0.00,2.86,-4.03,-19.05,112.83,-75.00,-75.00
20.70,0.00,0.00,2.56,-4.03,-24.15,107.93,-75.00,-75.00
22.07,0.00,0.00,2.19,-4.03,-30.23,101.82,-75.00,-75.00
23.46,0.00,0.00,1.79,-4.03,-36.72,95.25,-75.00,-75.00
24.27,0.00,0.00,1.54,-4.03,-40.69,91.25,-75.00,-75.00
25.60,0.00,0.00,1.13,-4.03,-47.48,84.57,-75.00,-75.00
26.92,0.00,0.00,0.71,-4.03,-54.34,77.67,-75.00,-75.00
28.24,0.00,0.00,0.28,-4.02,-61.17,70.40,-75.00,-75.00
29.24,0.00,0.00,-0.06,-4.01,-66.73,64.69,-75.00,-75.00
30.63,0.00,0.00,-0.57,-4.01,-74.86,56.32,-75.00,-75.00
31.85,0.00,0.00,-1.02,-4.00,-82.24,48.69,-75.00,-75.00
33.22,0.00,0.00,-1.55,-4.00,-90.90,40.03,-75.00,-75.00
34.09,0.00,0.00,-1.90,-4.00,-96.57,34.39,-75.00,-75.00
35.42,0.00,0.00,-2.44,-3.99,-105.34,25.42,-75.00,-75.00
36.77,0.00,0.00,-3.00,-3.99,-114.30,16.19,-75.00,-75.00
37.87,0.00,0.00,-3.47,-3.98,-122.06,8.39,-75.00,-75.00
39.17,0.00,0.00,-4.04,-3.98,-131.29,-1.03,-75.00,-75.00
40.55,0.00,0.00,-4.67,-3.98,-141.53,-11.29,-75.00,-75.00
41.80,0.00,0.00,-5.25,-3.97,-151.02,-20.92,-75.00,-75.00
43.19,0.00,0.00,-5.91,-3.98,-161.92,-31.73,-75.00,-75.00
44.60,0.00,0.00,-6.61,-3.97,-173.14,-43.11,-75.00,-75.00
45.42,0.00,0.00,-7.02,-3.97,-179.98,-49.97,-75.00,-75.00
46.76,0.00,0.00,-7.70,-3.97,-191.01,-61.15,-75.00,-75.00
48.10,0.00,0.00,-8.40,-3.96,-202.28,-72.69,-75.00,-75.00
49.45,0.00,0.00,-9.11,-3.95,-213.77,-84.51,-75.00,-75.00
50.70,0.00,0.00,-9.78,-3.95,-224.71,-95.54,-75.00,-75.00
51.92,0.00,0.00,-10.46,-3.95,-235.77,-106.59,-75.00,-75.00
53.30,0.00,0.00,-11.22,-3.94,-248.29,-119.16,-75.00,-75.00
