BEGIN CSV
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),X_Puck(cm),Y_Puck(cm),Left_Angle(deg),Right_Angle(deg),Left_PWM,Right_PWM
0.00,0.00,0.00,9.79,0.35,165.98,154.40,75.00,75.00
1.68,0.00,0.00,9.80,0.35,166.16,154.62,75.00,75.00
2.58,0.00,0.00,9.83,0.35,166.71,155.15,75.00,75.00
3.74,0.00,0.00,9.89,0.36,167.74,156.05,75.00,75.00
5.09,0.00,0.00,9.98,0.36,169.28,157.43,75.00,75.00
5.90,0.00,0.00,10.03,0.37,170.31,158.23,75.00,75.00
7.19,0.00,0.00,10.13,0.37,171.80,159.72,75.00,75.00
8.49,0.00,0.00,10.23,0.37,173.52,161.54,75.00,75.00
9.53,0.00,0.00,10.33,0.36,175.06,163.26,75.00,75.00
10.76,0.00,0.00,10.47,0.36,177.25,165.45,75.00,75.00
12.10,0.00,0.00,10.64,0.36,180.11,168.38,75.00,75.00
12.93,0.00,0.00,10.77,0.36,182.22,170.51,75.00,75.00
14.25,0.00,0.00,10.99,0.37,185.98,173.91,75.00,75.00
15.56,0.00,0.00,11.23,0.38,190.00,177.67,75.00,75.00
16.65,0.00,0.00,11.44,0.39,193.67,180.90,75.00,75.00
17.82,0.00,0.00,11.67,0.39,197.36,184.61,75.00,75.00
19.16,0.00,0.00,11.95,0.39,202.10,189.25,75.00,75.00
20.53,0.00,0.00,12.27,0.39,207.27,194.57,75.00,75.00
21.36,0.00,0.00,12.49,0.39,210.76,198.11,75.00,75.00
22.67,0.00,0.00,12.85,0.38,216.58,204.04,75.00,75.00
23.72,0.00,0.00,13.14,0.39,221.53,208.67,75.00,75.00
24.99,0.00,0.00,13.51,0.40,227.59,214.61,75.00,75.00
26.36,0.00,0.00,13.92,0.40,234.38,221.29,75.00,75.00
27.57,0.00,0.00,14.30,0.40,240.62,227.42,75.00,75.00
28.47,0.00,0.00,14.58,0.41,245.43,232.01,75.00,75.00
29.79,0.00,0.00,15.02,0.42,252.66,239.04,75.00,75.00
31.10,0.00,0.00,15.48,0.41,260.16,246.64,75.00,75.00
32.14,0.00,0.00,15.86,0.41,266.46,252.93,75.00,75.00
33.42,0.00,0.00,16.35,0.41,274.35,260.82,75.00,75.00
34.76,0.00,0.00,16.87,0.42,282.99,269.19,75.00,75.00
35.56,0.00,0.00,17.19,0.43,288.33,274.33,75.00,75.00
36.88,0.00,0.00,17.71,0.43,297.07,282.85,75.00,75.00
38.21,0.00,0.00,18.27,0.44,306.30,291.86,75.00,75.00
39.20,0.00,0.00,18.69,0.44,313.24,298.72,75.00,75.00
