BEGIN CSV
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),X_Puck(cm),Y_Puck(cm),Left_Angle(deg),Right_Angle(deg),Left_PWM,Right_PWM
0.00,0.00,0.00,-9.53,0.09,-154.58,-157.39,75.00,75.00
1.70,0.00,0.00,-9.52,0.08,-154.49,-157.10,75.00,75.00
2.68,0.00,0.00,-9.48,0.09,-153.79,-156.60,75.00,75.00
3.93,0.00,0.00,-9.41,0.10,-152.45,-155.63,75.00,75.00
5.12,0.00,0.00,-9.33,0.11,-150.93,-154.60,75.00,75.00
6.50,0.00,0.00,-9.23,0.12,-149.13,-153.15,75.00,75.00
7.87,0.00,0.00,-9.12,0.13,-147.17,-151.57,75.00,75.00
8.68,0.00,0.00,-9.05,0.13,-146.01,-150.29,75.00,75.00
10.01,0.00,0.00,-8.91,0.12,-143.81,-147.79,75.00,75.00
11.33,0.00,0.00,-8.75,0.11,-141.35,-144.98,75.00,75.00
12.40,0.00,0.00,-8.60,0.10,-139.04,-142.40,75.00,75.00
13.71,0.00,0.00,-8.39,0.10,-135.79,-139.06,75.00,75.00
15.07,0.00,0.00,-8.16,0.11,-131.64,-135.40,75.00,75.00
16.35,0.00,0.00,-7.91,0.14,-127.29,-131.73,75.00,75.00
17.74,0.00,0.00,-7.63,0.17,-122.17,-127.64,75.00,75.00
18.56,0.00,0.00,-7.46,0.18,-119.07,-125.09,75.00,75.00
19.90,0.00,0.00,-7.15,0.19,-114.06,-120.19,75.00,75.00
21.21,0.00,0.00,-6.82,0.18,-108.76,-114.57,75.00,75.00
22.29,0.00,0.00,-6.53,0.18,-104.06,-109.84,75.00,75.00
23.60,0.00,0.00,-6.17,0.18,-98.13,-103.97,75.00,75.00
24.95,0.00,0.00,-5.78,0.18,-91.67,-97.54,75.00,75.00
26.18,0.00,0.00,-5.41,0.18,-85.65,-91.38,75.00,75.00
27.06,0.00,0.00,-5.13,0.19,-81.01,-87.08,75.00,75.00
28.37,0.00,0.00,-4.71,0.20,-73.96,-80.35,75.00,75.00
29.68,0.00,0.00,-4.28,0.21,-66.51,-73.48,75.00,75.00
30.76,0.00,0.00,-3.90,0.22,-60.18,-67.46,75.00,75.00
32.00,0.00,0.00,-3.45,0.23,-52.62,-60.27,75.00,75.00
33.37,0.00,0.00,-2.94,0.24,-44.25,-52.03,75.00,75.00
34.61,0.00,0.00,-2.47,0.24,-36.47,-44.38,75.00,75.00
35.50,0.00,0.00,-2.12,0.25,-30.72,-38.76,75.00,75.00
36.80,0.00,0.00,-1.60,0.25,-21.99,-30.30,75.00,75.00
37.82,0.00,0.00,-1.17,0.26,-14.92,-23.36,75.00,75.00
39.18,0.00,0.00,-0.59,0.27,-5.30,-14.00,75.00,75.00
40.36,0.00,0.00,-0.08,0.27,3.14,-5.69,75.00,75.00
41.71,0.00,0.00,0.54,0.28,13.38,4.24,75.00,75.00
42.51,0.00,0.00,0.91,0.28,19.40,10.24,75.00,75.00
43.79,0.00,0.00,1.51,0.29,29.47,19.89,75.00,75.00
44.82,0.00,0.00,2.00,0.30,37.64,27.77,75.00,75.00
46.03,0.00,0.00,2.59,0.31,47.46,37.20,75.00,75.00
46.85,0.00,0.00,2.98,0.32,54.07,43.64,75.00,75.00
48.14,0.00,0.00,3.63,0.33,64.84,54.12,75.00,75.00
49.43,0.00,0.00,4.29,0.34,75.85,64.62,75.00,75.00
50.44,0.00,0.00,4.81,0.35,84.48,73.04,75.00,75.00
51.70,0.00,0.00,5.47,0.36,95.49,83.74,75.00,75.00
52.50,0.00,0.00,5.91,0.36,102.63,90.73,75.00,75.00
53.79,0.00,0.00,6.60,0.37,114.17,101.93,75.00,75.00
55.09,0.00,0.00,7.32,0.38,126.12,113.69,75.00,75.00
56.16,0.00,0.00,7.92,0.39,136.05,123.24,75.00,75.00
57.38,0.00,0.00,8.62,0.40,147.61,134.54,75.00,75.00
58.73,0.00,0.00,9.40,0.41,160.66,147.08,75.00,75.00
59.54,0.00,0.00,9.87,0.42,168.55,154.71,75.00,75.00
60.87,0.00,0.00,10.67,0.44,181.87,167.37,75.00,75.00
62.18,0.00,0.00,11.46,0.45,195.01,180.26,75.00,75.00
63.15,0.00,0.00,12.06,0.46,204.87,189.93,75.00,75.00
64.53,0.00,0.00,12.91,0.46,218.83,203.71,75.00,75.00
65.71,0.00,0.00,13.64,0.47,230.98,215.64,75.00,75.00
66.63,0.00,0.00,14.22,0.47,240.47,225.00,75.00,75.00
67.93,0.00,0.00,15.04,0.48,254.07,238.32,75.00,75.00
69.24,0.00,0.00,15.88,0.49,267.96,251.92,75.00,75.00
70.33,0.00,0.00,16.59,0.50,279.69,263.47,75.00,75.00
71.50,0.00,0.00,17.35,0.51,292.35,275.63,75.00,75.00
72.85,0.00,0.00,18.24,0.53,307.24,290.04,75.00,75.00
74.21,0.00,0.00,19.14,0.54,322.16,304.56,75.00,75.00
75.04,0.00,0.00,19.70,0.54,331.35,313.59,75.00,75.00
76.35,0.00,0.00,20.58,0.55,345.94,327.88,75.00,75.00
77.40,0.00,0.00,21.30,0.56,357.87,339.41,75.00,75.00
78.68,0.00,0.00,22.18,0.58,372.59,353.56,75.00,75.00
80.04,0.00,0.00,23.13,0.59,388.32,369.10,-75.00,-75.00
81.27,0.00,0.00,23.99,0.60,402.52,382.94,-75.00,-75.00
82.17,0.00,0.00,24.59,0.61,412.54,392.54,-75.00,-75.00
83.51,0.00,0.00,25.42,0.63,426.36,405.77,-75.00,-75.00
84.85,0.00,0.00,26.23,0.64,439.83,418.80,-75.00,-75.00
86.19,0.00,0.00,27.01,0.66,453.03,431.30,-75.00,-75.00
87.24,0.00,0.00,27.62,0.68,463.23,441.04,-75.00,-75.00
88.59,0.00,0.00,28.37,0.69,475.80,453.08,-75.00,-75.00
89.88,0.00,0.00,29.04,0.71,486.98,463.80,-75.00,-75.00
91.26,0.00,0.00,29.71,0.73,498.41,474.41,-75.00,-75.00
92.07,0.00,0.00,30.09,0.74,504.67,480.39,-75.00,-75.00
93.41,0.00,0.00,30.68,0.76,514.58,489.86,-75.00,-75.00
94.74,0.00,0.00,31.22,0.77,523.67,498.58,-75.00,-75.00
96.08,0.00,0.00,31.74,0.77,532.18,507.06,-75.00,-75.00
97.13,0.00,0.00,32.12,0.78,538.48,513.06,-75.00,-75.00
98.48,0.00,0.00,32.57,0.79,546.06,520.16,-75.00,-75.00
99.76,0.00,0.00,32.96,0.80,552.72,526.40,-75.00,-75.00
101.15,0.00,0.00,33.34,0.82,559.27,532.27,-75.00,-75.00
102.43,0.00,0.00,33.65,0.85,564.68,536.92,-75.00,-75.00
103.31,0.00,0.00,33.85,0.86,568.10,540.02,-75.00,-75.00
