--- Terminal on COM9 | 460800 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Fully Homed
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),Left_Error(deg),Right_Error(deg),Left_PID,Right_PID,Left_Feed_Forward,Right_Feed_Forward
0.00,0.00,0.00,-197.59,-31.33,-197.59,-31.33,41.30,12.39
1.22,0.00,0.00,-197.49,-31.21,-197.49,-31.21,41.56,12.55
2.69,0.02,0.01,-197.10,-31.04,-197.10,-31.04,41.85,12.75
4.15,0.05,0.01,-196.44,-30.62,-196.44,-30.62,42.13,12.94
5.62,0.10,0.02,-195.60,-30.01,-195.60,-30.01,42.40,13.13
7.08,0.16,0.04,-194.43,-29.31,-194.43,-29.31,42.66,13.31
8.54,0.23,0.05,-192.91,-28.44,-192.91,-28.44,42.90,13.48
10.01,0.31,0.07,-191.29,-27.32,-191.29,-27.32,43.12,13.65
11.47,0.41,0.09,-189.42,-26.16,-189.42,-26.16,43.34,13.81
12.95,0.52,0.12,-187.15,-24.81,-187.15,-24.81,43.54,13.97
14.42,0.64,0.15,-184.69,-23.27,-184.69,-23.27,43.73,14.12
15.89,0.77,0.18,-181.97,-21.56,-181.97,-21.56,43.90,14.27
17.37,0.92,0.21,-179.10,-19.82,-179.10,-19.82,44.06,14.41
18.83,1.07,0.25,-175.96,-17.85,-175.96,-17.85,44.21,14.55
20.30,1.24,0.29,-172.54,-15.72,-172.54,-15.72,44.34,14.67
21.78,1.42,0.33,-168.99,-13.45,-168.99,-13.45,44.46,14.80
23.26,1.61,0.37,-165.21,-11.05,-165.21,-11.05,44.57,14.92
24.73,1.81,0.42,-161.13,-8.59,-161.13,-8.59,44.66,15.03
26.20,2.02,0.47,-156.83,-5.89,-156.83,-5.89,44.74,15.13
27.67,2.24,0.52,-152.40,-3.12,-152.40,-3.12,44.80,15.24
29.13,2.47,0.57,-147.82,-0.24,-147.82,-0.24,44.86,15.33
30.59,2.71,0.63,-142.95,2.76,-142.95,2.76,44.89,15.42
32.05,2.96,0.69,-137.79,5.89,-137.79,5.89,44.92,15.50
33.50,3.22,0.75,-132.67,9.11,-132.67,9.11,44.93,15.58
34.97,3.48,0.81,-127.29,12.45,-127.29,12.45,44.93,15.65
36.43,3.76,0.87,-121.68,15.90,-121.68,15.90,44.91,15.72
37.89,4.04,0.94,-115.96,19.50,-115.96,19.50,44.88,15.78
39.35,4.34,1.01,-110.10,23.23,-110.10,23.23,44.84,15.83
40.81,4.64,1.08,-104.01,26.97,-104.01,26.97,44.78,15.88
42.27,4.95,1.15,-97.62,30.85,-97.62,30.85,44.71,15.92
43.73,5.27,1.23,-91.24,34.86,-91.24,34.86,44.63,15.96
45.19,5.59,1.30,-84.76,39.02,-84.76,39.02,44.53,15.99
46.64,5.92,1.38,-78.08,43.14,-78.08,43.14,44.42,16.02
48.10,6.26,1.46,-71.14,47.42,-71.14,47.42,44.30,16.04
49.55,6.61,1.54,-64.22,51.79,-64.22,51.79,44.16,16.06
51.02,6.97,1.62,-57.06,56.19,-57.06,56.19,44.01,16.07
52.47,7.33,1.70,-49.70,60.71,-49.70,60.71,43.85,16.07
53.93,7.69,1.79,-42.43,65.30,-42.43,65.30,43.67,16.07
55.38,8.06,1.88,-34.90,70.07,-34.90,70.07,43.48,16.06
56.83,8.44,1.96,-27.28,74.70,-27.28,74.70,43.28,16.05
58.29,8.83,2.05,-19.45,79.59,-19.45,79.59,43.07,16.03
59.74,9.22,2.14,-11.68,84.50,-11.68,84.50,42.84,16.01
61.20,9.61,2.24,-3.64,89.47,-3.64,89.47,42.59,15.98
62.66,10.02,2.33,4.54,94.55,4.54,94.55,42.34,15.94
64.11,10.42,2.42,12.63,99.67,12.63,99.67,42.07,15.90
65.55,10.83,2.52,20.94,104.70,20.94,104.70,41.79,15.86
67.01,11.25,2.62,29.31,109.97,29.31,109.97,41.49,15.80
68.47,11.67,2.71,37.85,115.27,37.85,115.27,41.18,15.75
69.94,12.10,2.81,46.51,120.69,46.51,120.69,40.85,15.68
71.39,12.52,2.91,55.04,126.05,55.04,126.05,40.52,15.62
72.84,12.95,3.01,63.85,131.44,63.85,131.44,40.17,15.54
74.30,13.39,3.11,72.65,137.06,72.65,137.06,39.81,15.46
75.75,13.83,3.22,81.56,142.50,81.56,142.50,39.43,15.38
77.21,14.28,3.32,90.45,148.04,90.45,148.04,39.04,15.29
78.67,14.72,3.42,99.49,153.64,99.49,153.64,38.64,15.19
80.13,15.18,3.53,108.59,159.30,108.59,159.30,38.22,15.09
81.58,15.63,3.63,117.75,165.02,117.75,165.02,37.79,14.98
83.05,16.08,3.74,126.96,170.79,126.96,170.79,37.34,14.86
84.51,16.54,3.85,136.24,176.59,136.24,176.59,36.89,14.74
85.98,17.01,3.96,145.55,182.33,145.55,182.33,36.41,14.62
87.44,17.47,4.06,154.92,188.19,154.92,188.19,35.93,14.49
88.90,17.93,4.17,164.26,194.01,164.26,194.01,35.43,14.35
90.35,18.40,4.28,173.63,199.86,173.63,199.86,34.92,14.21
91.81,18.86,4.39,183.02,205.68,183.02,205.68,34.40,14.06
93.27,19.33,4.50,192.51,211.53,192.51,211.53,33.86,13.91
94.73,19.80,4.61,201.99,217.45,201.99,217.45,33.31,13.75
96.20,20.27,4.71,211.47,223.42,211.47,223.42,32.74,13.59
97.66,20.74,4.82,220.94,229.29,220.94,229.29,32.16,13.41
99.12,21.22,4.93,230.49,235.27,230.49,235.27,31.57,13.24
100.59,21.69,5.04,240.01,241.12,240.01,241.12,30.96,13.06
102.05,22.16,5.15,249.48,247.12,249.48,247.12,30.34,12.87
103.51,22.63,5.26,259.00,253.01,259.00,253.01,29.71,12.68
104.96,23.10,5.37,268.39,258.90,268.39,258.90,29.07,12.48
106.40,23.56,5.48,277.83,264.69,277.83,264.69,28.41,12.28
107.87,24.03,5.59,287.34,270.64,287.34,270.64,27.74,12.07
109.33,24.50,5.70,296.71,276.47,296.71,276.47,27.05,11.85
110.79,24.97,5.81,306.21,282.39,306.21,282.39,26.35,11.63
112.26,25.43,5.91,315.65,288.26,315.65,288.26,25.64,11.40
113.72,25.90,6.02,324.96,294.07,324.96,294.07,24.91,11.17
115.18,26.36,6.13,334.26,299.88,334.26,299.88,24.17,10.93
116.65,26.82,6.24,343.62,305.70,343.62,305.70,23.41,10.69
118.11,27.28,6.34,352.84,311.37,352.84,311.37,22.65,10.44
119.58,27.73,6.45,361.98,317.20,361.98,317.20,21.86,10.18
121.03,28.18,6.55,371.11,322.72,371.11,322.72,21.07,9.93
122.49,28.63,6.66,380.09,328.34,380.09,328.34,20.26,9.66
123.95,29.08,6.76,389.09,334.01,389.09,334.01,19.45,9.39
125.40,29.52,6.86,397.93,339.54,397.93,339.54,18.62,9.11
126.86,29.95,6.97,406.77,345.03,406.77,345.03,17.77,8.83
128.32,30.39,7.07,415.48,350.42,415.48,350.42,16.91,8.54
129.78,30.82,7.17,424.22,355.94,424.22,355.94,16.03,8.25
131.25,31.25,7.27,432.93,361.31,432.93,361.31,15.15,7.95
132.71,31.67,7.37,441.41,366.59,441.41,366.59,14.24,7.64
134.17,32.09,7.46,449.90,371.88,449.90,371.88,13.33,7.33
135.62,32.50,7.56,458.19,377.04,458.19,377.04,12.41,7.01
137.07,32.91,7.65,466.42,382.20,466.42,382.20,11.47,6.69
138.52,33.31,7.75,474.51,387.13,474.51,387.13,10.52,6.37
139.99,33.71,7.84,482.61,392.26,482.61,392.26,9.55,6.03
141.45,34.10,7.93,490.54,397.16,490.54,397.16,8.57,5.69
142.91,34.49,8.02,498.32,402.02,498.32,402.02,7.58,5.35
144.36,34.87,8.11,506.05,406.79,506.05,406.79,6.57,5.00
145.82,35.24,8.20,513.49,411.44,513.49,411.44,5.56,4.65
147.28,35.61,8.28,520.88,416.08,520.88,416.08,4.52,4.29
148.74,35.97,8.37,528.25,420.64,528.25,420.64,3.48,3.92
150.20,36.33,8.45,535.38,425.12,535.38,425.12,2.41,3.55
151.65,36.68,8.53,542.48,429.51,542.48,429.51,1.34,3.17
153.11,37.02,8.61,549.37,433.81,549.37,433.81,0.25,2.78
154.57,37.35,8.69,556.04,437.93,556.04,437.93,-0.84,2.40
156.02,37.68,8.76,562.62,442.07,562.62,442.07,-1.95,2.00
157.48,37.99,8.84,569.02,446.07,569.02,446.07,-3.08,1.60
158.93,38.31,8.91,575.33,450.00,575.33,450.00,-4.22,1.20
160.39,38.61,8.98,581.45,453.72,581.45,453.72,-5.37,0.79
161.85,38.90,9.05,587.38,457.42,587.38,457.42,-6.54,0.37
163.32,39.19,9.11,593.16,461.07,593.16,461.07,-7.73,-0.06
164.78,39.47,9.18,598.83,464.52,598.83,464.52,-8.92,-0.49
166.25,39.74,9.24,604.24,467.89,604.24,467.89,-10.14,-0.92
167.71,40.00,9.30,609.51,471.23,609.51,471.23,-11.36,-1.36
169.18,40.25,9.36,614.51,474.38,614.51,474.38,-12.60,-1.81
170.65,40.49,9.42,619.45,477.34,619.45,477.34,-13.86,-2.27
172.12,40.73,9.47,624.08,480.33,624.08,480.33,-15.13,-2.73
173.59,40.95,9.52,628.61,483.13,628.61,483.13,-16.42,-3.19
175.06,41.16,9.57,632.92,485.86,632.92,485.86,-17.72,-3.67
176.53,41.36,9.62,637.02,488.36,637.02,488.36,-19.03,-4.15
178.00,41.55,9.66,640.92,490.74,640.92,490.74,-20.36,-4.63
179.47,41.73,9.71,644.50,492.99,644.50,492.99,-21.69,-5.12
180.93,41.90,9.74,647.76,495.06,647.76,495.06,-23.04,-5.61
182.39,42.06,9.78,651.13,497.08,651.13,497.08,-24.40,-6.11
183.86,42.20,9.82,654.06,498.92,654.06,498.92,-25.78,-6.61
