Processing bluepill_f103c8 (platform: ststm32; board: bluepill_f103c8; framework: arduino)
--------------------------------------------------------------------------------
Verbose mode can be enabled via `-v, --verbose` option
CONFIGURATION: https://docs.platformio.org/page/boards/ststm32/bluepill_f103c8.html
PLATFORM: ST STM32 (17.0.0) > BluePill F103C8
HARDWARE: STM32F103C8T6 72MHz, 20KB RAM, 64KB Flash
DEBUG: Current (stlink) External (blackmagic, cmsis-dap, jlink, stlink)
PACKAGES: 
 - framework-arduinoststm32 @ 4.20600.231001 (2.6.0) 
 - framework-cmsis @ 2.50700.210515 (5.7.0) 
 - tool-dfuutil @ 1.11.0 
 - tool-dfuutil-arduino @ 1.11.0 
 - tool-openocd @ 3.1200.0 (12.0) 
 - tool-stm32duino @ 1.0.2 
 - toolchain-gccarmnoneeabi @ 1.120301.0 (12.3.1)
LDF: Library Dependency Finder -> https://bit.ly/configure-pio-ldf
LDF Modes: Finder ~ chain, Compatibility ~ soft
Found 17 compatible libraries
Scanning dependencies...
Dependency Graph
|-- ArduinoEigen @ 0.3.0
|-- SPI @ 1.0.0
Building in release mode
Compiling .pio\build\bluepill_f103c8\src\main.cpp.o
Linking .pio\build\bluepill_f103c8\firmware.elf
Checking size .pio\build\bluepill_f103c8\firmware.elf
Advanced Memory Usage is available via "PlatformIO Home > Project Inspect"
RAM:   [=         ]   8.0% (used 1632 bytes from 20480 bytes)
Flash: [====      ]  38.3% (used 25100 bytes from 65536 bytes)
Configuring upload protocol...
AVAILABLE: blackmagic, cmsis-dap, dfu, jlink, mbed, stlink
CURRENT: upload_protocol = stlink
Uploading .pio\build\bluepill_f103c8\firmware.elf
--- Terminal on COM5 | 460800 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),Left_Error(deg),Right_Error(deg),Left_PWM,Right_PWM
0.00,0.00,0.00,49.26,97.65,5.00,-5.00
0.87,0.00,0.00,54.93,92.02,5.00,-5.00
1.58,0.00,0.00,49.26,92.11,5.00,-5.00
2.33,0.00,0.00,54.76,97.60,5.00,-5.00
3.13,0.00,0.00,49.22,97.56,5.00,-5.00
4.27,0.00,0.00,54.71,91.80,5.00,-5.00
5.14,0.00,0.00,54.62,97.43,5.00,-5.00
5.86,0.00,0.00,54.58,91.67,5.00,-5.00
6.57,0.00,0.00,54.45,97.29,5.00,-5.00
7.80,0.00,0.00,48.65,97.12,5.00,-5.00
8.55,0.00,0.00,48.47,96.90,5.00,-5.00
9.38,0.00,0.00,54.01,96.81,5.00,-5.00
10.09,0.00,0.00,53.83,91.01,5.00,-5.00
10.93,0.00,0.00,53.61,96.59,5.00,-5.00
12.15,0.00,0.00,47.72,90.57,5.00,-5.00
12.86,0.00,0.00,47.42,96.06,5.00,-5.00
13.61,0.00,0.00,47.33,90.26,5.00,-5.00
14.43,0.00,0.00,52.69,95.60,5.00,-5.00
15.58,0.00,0.00,46.67,100.96,5.00,-5.00
16.44,0.00,0.00,46.36,95.08,5.00,-5.00
17.16,0.00,0.00,51.77,100.48,5.00,-5.00
18.03,0.00,0.00,45.92,94.59,5.00,-5.00
19.29,0.00,0.00,50.93,99.78,5.00,-5.00
20.01,0.00,0.00,50.60,99.47,5.00,-5.00
20.88,0.00,0.00,55.79,99.21,5.00,-5.00
21.77,0.00,0.00,49.86,93.19,5.00,-5.00
22.74,0.00,0.00,54.95,92.83,5.00,-5.00
23.45,0.00,0.00,48.98,98.15,5.00,-5.00
24.17,0.00,0.00,54.34,92.26,5.00,-5.00
25.25,0.00,0.00,53.72,97.40,5.00,-5.00
26.25,0.00,0.00,53.20,96.92,5.00,-5.00
26.97,0.00,0.00,52.80,96.70,5.00,-5.00
27.85,0.00,0.00,46.69,96.26,5.00,-5.00
29.03,0.00,0.00,46.03,95.73,5.00,-5.00
29.74,0.00,0.00,51.31,89.82,5.00,-5.00
30.55,0.00,0.00,50.82,83.76,5.00,-5.00
31.29,0.00,0.00,44.87,83.41,5.00,-5.00
32.48,0.00,0.00,38.54,82.84,5.00,-5.00
33.31,0.00,0.00,38.06,87.98,5.00,-5.00
34.04,0.00,0.00,43.24,87.58,5.00,-5.00
34.92,0.00,0.00,42.80,81.43,5.00,-5.00
36.09,0.00,0.00,42.10,80.82,5.00,-5.00
36.81,0.00,0.00,36.08,80.46,5.00,-5.00
37.62,0.00,0.00,35.46,79.94,5.00,-5.00
38.35,0.00,0.00,40.74,79.50,5.00,-5.00
39.55,0.00,0.00,34.41,78.79,5.00,-5.00
40.37,0.00,0.00,39.51,84.00,5.00,-5.00
41.10,0.00,0.00,38.91,89.14,5.00,-5.00
42.00,0.00,0.00,43.97,88.66,5.00,-5.00
43.09,0.00,0.00,37.68,88.00,5.00,-5.00
43.87,0.00,0.00,42.74,81.94,5.00,-5.00
44.68,0.00,0.00,36.67,81.41,5.00,-5.00
45.42,0.00,0.00,36.15,81.06,5.00,-5.00
