Processing bluepill_f103c8 (platform: ststm32; board: bluepill_f103c8; framework: arduino)
--------------------------------------------------------------------------------
Verbose mode can be enabled via `-v, --verbose` option
CONFIGURATION: https://docs.platformio.org/page/boards/ststm32/bluepill_f103c8.html
PLATFORM: ST STM32 (17.0.0) > BluePill F103C8
HARDWARE: STM32F103C8T6 72MHz, 20KB RAM, 64KB Flash
DEBUG: Current (stlink) External (blackmagic, cmsis-dap, jlink, stlink)
PACKAGES: 
 - framework-arduinoststm32 @ 4.20600.231001 (2.6.0) 
 - framework-cmsis @ 2.50700.210515 (5.7.0) 
 - tool-dfuutil @ 1.11.0 
 - tool-dfuutil-arduino @ 1.11.0 
 - tool-openocd @ 3.1200.0 (12.0) 
 - tool-stm32duino @ 1.0.2 
 - toolchain-gccarmnoneeabi @ 1.120301.0 (12.3.1)
LDF: Library Dependency Finder -> https://bit.ly/configure-pio-ldf
LDF Modes: Finder ~ chain, Compatibility ~ soft
Found 17 compatible libraries
Scanning dependencies...
Dependency Graph
|-- ArduinoEigen @ 0.3.0
|-- SPI @ 1.0.0
Building in release mode
Checking size .pio\build\bluepill_f103c8\firmware.elf
Advanced Memory Usage is available via "PlatformIO Home > Project Inspect"
RAM:   [=         ]   8.0% (used 1632 bytes from 20480 bytes)
Flash: [====      ]  38.2% (used 25060 bytes from 65536 bytes)
Configuring upload protocol...
AVAILABLE: blackmagic, cmsis-dap, dfu, jlink, mbed, stlink
CURRENT: upload_protocol = stlink
Uploading .pio\build\bluepill_f103c8\firmware.elf
--- Terminal on COM5 | 460800 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
BEGIN CSV
Time(ms),X_Target(cm),Y_Target(cm),Left_Error(deg),Right_Error(deg),Left_PWM,Right_PWM
0.00,0.00,0.00,-32.59,-34.94,20.00,-20.00
0.90,0.00,0.00,-26.87,-34.94,20.00,-20.00
1.61,0.00,0.00,-27.05,-34.94,20.00,-20.00
2.83,0.00,0.00,-32.72,-35.16,20.00,-20.00
3.75,0.00,0.00,-27.31,-40.96,20.00,-20.00
4.47,0.00,0.00,-27.44,-35.42,20.00,-20.00
5.69,0.00,0.00,-33.29,-41.31,20.00,-20.00
6.50,0.00,0.00,-33.55,-35.82,20.00,-20.00
7.27,0.00,0.00,-39.38,-35.99,20.00,-20.00
8.50,0.00,0.00,-39.68,-42.14,20.00,-20.00
9.42,0.00,0.00,-34.50,-42.50,20.00,-20.00
10.13,0.00,0.00,-34.72,-37.18,20.00,-20.00
11.37,0.00,0.00,-40.91,-43.33,20.00,-20.00
12.18,0.00,0.00,-41.26,-43.77,20.00,-20.00
13.48,0.00,0.00,-36.34,-44.34,20.00,-20.00
14.20,0.00,0.00,-42.36,-44.69,20.00,-20.00
15.13,0.00,0.00,-42.85,-39.62,20.00,-20.00
16.35,0.00,0.00,-38.01,-40.32,20.00,-20.00
17.07,0.00,0.00,-43.95,-40.67,20.00,-20.00
17.94,0.00,0.00,-44.52,-35.49,20.00,-20.00
19.19,0.00,0.00,-34.04,-41.86,20.00,-20.00
19.91,0.00,0.00,-34.61,-36.76,20.00,-20.00
20.86,0.00,0.00,-40.85,-37.38,20.00,-20.00
22.09,0.00,0.00,-36.10,-38.17,20.00,-20.00
22.80,0.00,0.00,-36.54,-38.65,20.00,-20.00
24.02,0.00,0.00,-37.38,-50.76,20.00,-20.00
24.95,0.00,0.00,-43.66,-45.75,20.00,-20.00
25.67,0.00,0.00,-44.14,-51.94,20.00,-20.00
26.89,0.00,0.00,-50.71,-52.87,20.00,-20.00
27.74,0.00,0.00,-45.70,-53.39,20.00,-20.00
29.04,0.00,0.00,-52.38,-48.78,20.00,-20.00
